Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
.TOTAL ALIMENTACION;;99.978;99.976;99.991;99.972;99.98;99.978;99.98;99.968;99.985;99.983;99.973;99.958;99.985;99.987;99.984;99.985;99.983;99.977;99.978;99.976;99.969;99.986;99.982;99.982;99.972;99.979;99.988;99.954;99.972;99.981;99.978;99.973;99.986;99.977;99.965;99.968;99.986;99.979;99.981;99.978;99.995;99.986;0.0;VALOR
T.HUEVOS KGS;;96.936;97.851;96.737;96.924;96.336;96.555;96.843;97.388;97.415;97.031;96.829;97.586;97.14;97.199;96.673;96.944;96.478;97.014;96.97;97.465;97.973;96.914;98.066;97.337;94.463;92.064;97.832;95.026;95.563;95.634;96.542;97.514;98.601;96.538;97.157;97.39;97.771;97.689;97.038;96.833;96.431;96.73;1.0;VALOR
T.HUEVOS UNDS.;;96.936;97.851;96.737;96.924;96.336;96.555;96.843;97.388;97.415;97.031;96.829;97.586;97.14;97.199;96.673;96.944;96.478;97.014;96.97;97.465;97.973;96.914;98.066;97.337;94.463;92.064;97.832;95.026;95.563;95.634;96.542;97.514;98.601;96.538;97.157;97.39;97.771;97.689;97.038;96.833;96.431;96.73;1.0;VALOR
TOTAL HUEVOS GALLINA;;96.766;97.668;96.48;96.749;96.248;96.413;96.703;97.213;97.079;96.824;96.704;97.371;96.97;97.008;96.554;96.788;96.403;96.835;96.701;97.286;97.771;96.733;97.903;97.133;94.245;91.99;97.727;95.039;95.178;95.345;96.356;97.392;98.565;96.557;96.841;97.215;97.498;97.404;96.809;96.837;96.185;96.644;2.0;VALOR
OTRAS AVES;;16.574;21.167;17.988;15.892;14.587;13.522;15.637;17.966;21.603;16.573;16.585;13.393;17.37;18.328;14.758;16.596;9.496;17.458;19.278;21.613;20.764;17.414;20.708;13.984;10.269;8.294;19.699;5.944;19.596;17.45;16.994;14.601;16.603;7.68;14.126;17.97;22.005;20.779;17.462;22.151;9.294;13.859;2.0;VALOR
MIEL;;34.913;35.67;33.399;34.798;35.559;34.915;35.145;34.76;35.048;32.985;37.21;43.258;31.156;36.824;36.632;36.737;32.241;36.832;33.969;36.807;39.282;35.452;31.82;36.164;31.68;29.423;30.426;42.407;32.46;34.477;34.548;35.293;36.631;27.616;38.95;34.77;35.029;36.993;38.919;34.084;31.258;37.201;1.0;VALOR
GRANEL;;10.813;10.406;8.5;12.408;8.117;12.784;11.998;6.898;5.992;9.517;12.363;4.626;8.017;11.071;14.221;12.555;13.644;11.082;8.437;9.282;10.886;9.133;8.492;11.787;17.486;14.718;14.313;5.937;15.348;14.844;9.311;10.939;9.215;10.733;10.717;6.905;8.568;11.65;7.757;10.071;11.604;15.215;2.0;VALOR
ENVASADA;;28.518;30.014;27.544;27.798;31.22;26.841;28.113;31.418;30.514;27.774;29.497;40.898;26.348;30.288;27.949;29.14;24.194;29.678;29.22;31.788;33.773;29.946;25.655;30.023;21.93;20.696;21.514;39.774;21.557;24.623;29.148;29.659;31.324;23.012;34.114;31.426;29.145;31.68;35.695;27.457;23.948;27.836;2.0;VALOR
TOTAL CARNE;;99.871;99.927;99.797;99.82;99.873;99.915;99.853;99.909;99.96;99.83;99.921;99.83;99.896;99.872;99.908;99.889;99.766;99.898;99.9;99.934;99.766;99.958;99.933;99.901;99.955;99.874;99.874;99.504;99.879;99.849;99.911;99.804;99.885;99.605;99.86;99.909;99.94;99.963;99.953;99.843;99.798;99.897;1.0;VALOR
CARNE CERTIFICADA;;83.515;89.244;82.349;84.551;82.552;77.886;82.433;88.284;88.232;83.657;83.727;82.38;84.451;86.245;82.762;84.533;74.876;84.039;87.057;89.081;82.976;82.322;83.839;82.789;84.844;89.051;83.157;81.031;85.524;83.665;83.21;82.877;84.375;70.666;81.072;88.29;89.483;89.848;85.491;87.517;74.441;82.449;2.0;VALOR
CARNE FRESCA;;99.319;99.725;98.947;99.4;99.178;99.111;99.165;99.734;99.805;99.145;99.545;99.465;99.348;99.402;99.326;99.368;98.122;99.609;99.604;99.869;99.022;99.377;99.701;99.398;99.56;99.459;99.163;98.124;99.222;99.264;99.44;99.078;99.448;97.455;99.434;99.734;99.846;99.892;99.509;99.757;97.354;99.482;2.0;VALOR
SALCHICHAS FRESCAS;;36.173;41.321;36.53;37.945;35.192;30.129;34.467;43.36;44.339;37.367;35.073;39.984;38.024;40.368;32.441;36.429;24.682;36.314;41.244;45.058;49.556;32.567;31.856;36.117;46.304;28.913;38.442;8.096;43.284;40.715;34.558;34.462;36.57;25.781;35.971;43.371;44.104;48.878;39.546;39.135;25.267;31.453;3.0;VALOR
CARNE VACUNO;;91.711;95.151;91.193;91.675;89.784;89.809;90.929;94.821;94.523;91.322;92.253;92.981;91.789;92.292;91.909;92.109;85.401;93.298;94.364;94.357;92.731;90.21;88.837;92.89;93.399;91.254;94.346;92.001;90.782;90.642;91.647;91.666;93.235;80.794;91.053;94.817;94.762;95.525;93.978;93.949;83.377;91.928;3.0;VALOR
TERNERA;;87.478;91.941;87.253;88.268;85.539;83.482;86.265;92.688;91.312;87.597;87.393;89.725;88.238;88.267;86.519;87.422;78.521;89.558;91.406;91.489;89.959;85.995;84.153;88.629;88.54;89.264;90.76;79.131;86.001;88.132;87.823;86.028;88.714;77.721;87.714;92.685;92.252;92.242;90.031;90.58;74.972;86.095;4.0;VALOR
AÑOJO;;56.417;63.64;54.699;56.071;57.796;50.225;55.473;61.176;63.242;57.257;56.201;56.332;58.768;61.216;53.443;57.363;47.84;56.157;59.442;63.805;46.295;55.747;54.216;66.52;56.896;36.923;72.196;79.446;60.594;50.314;54.8;59.115;60.87;41.876;56.724;61.186;65.217;67.154;56.143;59.71;53.01;52.784;4.0;VALOR
MAYOR;;31.527;36.539;32.029;30.456;31.358;27.962;31.522;34.508;31.554;31.066;32.318;39.121;30.376;33.312;31.399;32.378;25.623;32.202;34.708;35.117;34.386;28.681;26.303;32.504;38.344;19.289;44.823;37.72;33.377;29.352;29.531;35.118;32.561;24.837;33.444;34.522;36.14;38.401;29.31;31.77;23.825;31.744;4.0;VALOR
CARNE POLLO;;97.761;98.82;97.2;97.929;97.156;97.171;97.363;98.947;99.042;97.477;98.133;98.176;97.877;98.149;97.558;97.88;95.164;98.07;98.589;99.249;97.642;98.069;98.374;97.959;98.255;97.259;97.742;94.267;97.583;98.164;97.919;97.379;97.621;94.243;98.046;98.948;99.152;99.225;98.441;98.375;94.091;97.677;3.0;VALOR
POLLO ENTERO;;61.323;69.217;60.376;63.387;59.069;54.083;59.153;70.037;71.382;61.816;61.397;64.674;63.741;64.643;58.705;61.73;41.585;62.357;69.417;74.34;61.836;64.458;65.857;59.839;64.331;58.168;60.588;44.751;71.743;67.135;61.884;56.644;57.908;43.56;61.32;70.044;74.555;75.185;63.664;68.315;37.353;57.065;4.0;VALOR
POLLO FILETES;;80.204;85.886;79.09;80.947;78.522;75.418;78.068;88.033;87.731;81.682;78.488;85.565;83.721;81.077;75.496;78.453;71.489;79.116;84.385;87.507;79.43;78.299;83.527;84.501;78.748;74.507;77.904;72.996;73.8;79.552;80.343;80.137;82.933;74.743;82.125;88.034;88.31;88.359;83.716;79.108;67.313;75.228;4.0;VALOR
POLLO POR PIEZAS;;95.867;97.815;95.247;96.099;95.469;94.104;95.24;97.679;98.102;95.917;95.845;96.491;96.274;96.995;94.673;95.93;91.167;96.662;97.274;98.423;96.14;96.664;96.922;96.237;96.375;93.752;95.337;90.645;96.426;96.059;96.381;95.019;95.444;90.179;96.378;97.682;98.324;98.579;97.852;97.131;91.528;94.49;4.0;VALOR
CARNE CONEJO;;46.141;47.38;44.236;45.472;47.127;47.052;48.407;42.566;41.062;43.227;50.982;43.666;41.097;49.627;54.388;51.609;39.377;52.067;50.999;43.16;54.343;56.037;37.303;43.061;45.157;46.486;49.668;29.524;55.914;48.563;45.61;43.444;45.849;44.024;38.429;42.584;43.569;56.076;44.466;56.658;35.199;54.089;3.0;VALOR
CARNE OVINO/CAPRINO;;49.838;51.907;47.888;48.856;48.551;52.223;51.542;45.582;49.431;47.048;54.44;49.856;46.244;52.787;57.428;54.69;43.284;54.893;50.171;52.274;57.699;59.432;38.1;52.598;55.032;39.557;60.314;13.86;58.504;55.064;47.903;46.529;51.731;41.677;47.261;45.598;53.903;56.187;47.0;58.632;37.773;57.269;3.0;VALOR
CORDERO;;47.267;49.972;46.248;45.868;45.949;49.171;48.815;43.205;47.862;45.2;51.196;48.936;44.422;50.303;54.041;51.685;40.451;52.195;48.184;49.958;54.852;56.841;36.104;50.549;52.517;37.642;55.94;11.886;56.155;52.585;45.331;43.342;49.859;40.03;44.706;43.222;52.538;52.669;44.593;56.724;36.404;53.536;4.0;VALOR
CABRITO;;8.586;9.045;6.908;8.48;8.849;9.364;9.121;5.545;7.299;7.113;10.286;5.352;6.548;9.12;10.817;9.908;8.296;9.968;6.765;9.076;13.82;8.659;4.892;6.171;10.722;6.452;12.793;4.653;11.323;9.218;8.585;7.283;9.192;5.459;7.976;5.546;7.421;11.269;7.6;10.447;4.254;10.977;4.0;VALOR
OTRO OVINO/CAPRINO;;2.701;3.421;2.854;3.678;2.193;2.293;2.546;4.342;3.233;3.019;2.568;2.814;3.374;3.124;2.238;2.69;1.352;2.856;4.311;3.136;3.348;2.617;2.025;3.696;5.896;2.691;2.241;1.133;4.587;4.383;2.702;2.801;1.97;1.792;1.841;4.343;3.813;4.389;3.629;2.846;1.978;2.075;4.0;VALOR
OVINO/CAPRINO ENTE;;9.333;11.256;7.144;9.017;8.604;10.033;9.684;6.627;8.523;7.74;11.059;6.068;6.677;9.804;11.685;10.744;6.961;11.684;8.465;10.287;9.275;6.123;4.217;12.316;20.223;8.454;16.999;0.774;14.642;10.39;8.719;9.722;7.761;1.54;6.298;6.628;8.607;10.417;8.173;13.843;3.034;12.111;4.0;VALOR
OVINO/CAPRINO PIEZ;;47.708;48.958;46.75;46.955;45.993;50.235;49.359;43.826;47.679;45.356;51.903;50.388;45.015;49.912;55.075;52.087;41.937;52.621;48.592;48.906;56.015;58.784;37.079;49.789;49.266;35.962;57.337;13.647;55.565;53.047;45.596;44.174;50.556;42.432;45.123;43.843;51.92;53.129;44.513;56.356;36.214;54.834;4.0;VALOR
CARNE CERDO;;96.696;98.158;96.1;96.556;96.305;95.94;96.126;98.229;98.791;96.25;97.289;96.15;96.514;97.617;96.886;97.278;92.338;97.237;98.261;99.022;96.217;96.292;97.633;96.79;97.415;97.264;96.824;93.821;97.153;97.124;96.799;96.066;96.802;87.893;95.648;98.23;98.945;99.354;97.603;98.52;92.511;96.74;3.0;VALOR
CARNE CERDO ADOBAD;;63.46;71.811;65.764;64.469;63.08;52.775;60.62;74.044;74.869;67.069;59.26;64.708;69.804;69.801;51.925;61.285;46.0;62.978;72.347;75.905;57.269;58.086;60.935;73.505;79.931;57.584;73.086;51.986;68.121;64.055;61.94;62.32;66.893;46.147;65.072;74.05;77.674;79.934;69.336;67.276;52.207;50.733;4.0;VALOR
CARN.CERDO IBERICO;;31.038;35.613;30.98;30.894;29.917;27.895;30.836;40.281;34.479;31.135;31.514;39.776;30.366;33.864;31.698;32.66;21.911;34.111;35.075;35.232;32.145;28.326;37.902;33.697;36.48;19.331;26.842;20.047;31.992;30.37;30.425;29.609;35.128;19.468;34.247;40.316;35.336;43.91;29.401;37.647;18.027;30.913;4.0;VALOR
CARNE DESPOJOS;;45.513;48.685;44.259;43.108;47.735;45.858;46.858;45.31;43.209;43.547;48.885;49.899;42.469;50.003;49.816;49.69;37.33;49.46;51.265;45.512;48.127;48.097;45.787;45.367;55.967;45.495;42.573;18.959;54.323;45.892;45.453;42.28;47.462;35.526;45.544;45.323;46.009;55.836;46.378;54.621;34.806;49.129;3.0;VALOR
DESPOJOS CERDO;;31.121;34.144;31.562;29.883;30.666;31.759;31.859;31.763;32.07;29.925;33.648;35.587;29.48;34.797;33.47;33.879;24.783;32.115;35.568;33.868;35.398;32.714;34.067;29.262;41.929;27.956;27.598;2.969;38.973;34.581;31.599;27.156;30.535;26.176;35.475;31.78;35.467;38.669;32.171;35.268;23.451;33.488;4.0;VALOR
