Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
.TOTAL ALIMENTACION;;26878173.571560003;4496633.378981999;747906.396311;681194.8301080001;2972552.747004;841819.471261;4776472.725007;3325254.896135;1255671.333998;629789.0458579999;1532730.207585;1660409.9648370002;647194.924807;297729.455671;1268709.6046699998;165558.25320900002;339674.253387;1238872.0245400001;0.0;VALOR
T.HUEVOS KGS;;374391.5992;58864.601129999995;11215.444533999998;6698.027263;42909.168859;10431.488145;64839.49967999999;50428.52250099999;16211.556086000002;7079.561024999999;20956.348345000002;22073.617810999996;9285.474202;5522.512682999999;23048.902077;2940.685974;5985.6382220000005;15900.546099;1.0;VALOR
T.HUEVOS UNDS.;;5973626.680000001;944428.0109999999;181901.79339999997;107821.7077;682127.6119;167105.84245999999;1037542.4759999999;800120.3101;259768.68259999997;112177.35325999999;333389.8705;351195.4271;145934.70807999998;86713.18049000001;370610.1537000001;46813.18686;94605.44187;251370.84995000003;1.0;VALOR
TOTAL HUEVOS GALLINA;;5826950.600000001;915191.13;174007.9;104070.559;668294.3099999999;162230.18000000002;1008593.9800000002;785691.0999999999;252108.69;110329.398;326341.66;343734.51;144928.27999999997;86210.757;358200.00999999995;45788.039;93325.626;247904.40000000002;2.0;VALOR
OTRAS AVES;;146676.08000000002;29236.881000000005;7893.893400000001;3751.1486999999997;13833.301900000002;4875.66246;28948.496000000003;14429.2101;7659.9926;1847.95526;7048.210499999999;7460.9171;1006.4280799999999;502.42349;12410.1437;1025.1478600000003;1279.81587;3466.4499499999997;2.0;VALOR
MIEL;;15086.941200000001;2626.0432;379.2460900000001;341.6839070000001;1853.1204;412.36518;2405.98509;2272.6817;645.33999;219.219344;876.7854000000002;911.0632;269.69505799999996;128.232413;871.95037;63.24601800000001;154.01190200000002;656.27076;1.0;VALOR
GRANEL;;5010.6347;669.74114;187.14882699999995;30.543877;609.802398;98.495802;782.6911799999999;707.2502079999999;247.12008400000002;40.210497000000004;411.02522300000004;401.41603299999997;90.820728;41.006181999999995;442.476444;16.703706;82.163522;152.018778;2.0;VALOR
ENVASADA;;10076.3041;1956.3021;192.097283;311.14001700000006;1243.31796;313.86936;1623.29403;1565.43147;398.2198699999999;179.008834;465.76009;509.64725000000004;178.874322;87.22623299999998;429.4739;46.542309;71.848367;504.25198;2.0;VALOR
TOTAL CARNE;;1828097.0;299214.8;55722.137;40038.533;201577.34999999995;56173.866;310784.18;243743.03000000003;92201.19300000001;38666.351;117035.164;108717.712;41995.68;18054.086000000003;97605.93000000001;12911.959;25429.984999999997;68224.89700000001;1.0;VALOR
CARNE CERTIFICADA;;286838.0;46281.771;8723.211399999998;6554.4521;29318.866000000005;7633.3863;43196.702;36616.51899999999;13330.894700000003;5372.0285;21365.511000000002;25228.903000000002;7311.833199999999;2912.3837999999996;15155.23;1728.3266600000002;4212.217000000001;11895.7873;2.0;VALOR
CARNE FRESCA;;1304606.3;218838.45999999996;41914.152;29832.831;148416.38999999998;38497.009000000005;211596.09999999998;171757.44;64187.545;25777.900999999998;87280.411;82441.568;29955.400000000005;12824.630700000002;73078.385;9542.612799999999;19392.236999999997;39273.158;2.0;VALOR
SALCHICHAS FRESCAS;;13566.895;3944.1428;895.35306;255.45111999999995;926.06068;462.58874999999995;1461.68915;1270.4378499999998;780.9770100000001;292.8697900000001;1487.05608;284.32229;236.59570999999997;115.309353;701.2572100000001;128.964736;280.70699;43.111676;3.0;VALOR
CARNE VACUNO;;179694.53000000003;30448.304999999997;4976.155699999999;3912.4280999999996;16887.944;3830.6031;20156.389000000003;31266.752999999997;6904.3094999999985;2411.1413999999995;12643.489399999999;13521.8992;5281.723099999999;2407.6205;13328.1592;1075.99868;2931.8229;7709.784599999999;3.0;VALOR
