Alimentos;;T.ESPAÑA;TIENDA TRADICIONAL;ECONOMATO/COOPERATIVA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;TIENDA CONGELADOS;HERBORISTERIAS;VENTA A DOMICILIO;FARMACIAS;PESCADERIAS;CARNICERIA/CHARCUT;MERCADILLOS/AMBULANTES;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;RESTO CANALES;E-COMMERCE;Nivel;Hoja
.TOTAL ALIMENTACION;;81671305.2374;11807821.295921;252780.82348199998;10970777.9048;51822047.125;41673034.4471;10149013.63644;481096.97646700003;89794.499893;418638.940855;41747.097362;1260826.2781170001;3127156.980395;746781.078681;1827460.3274219998;21738.030357999996;1198851.101609;127227.72511300001;3115760.928135;1317032.3479229999;323267.50619700004;2257291.8186299996;1754864.594422;0.0;VALOR
T.HUEVOS KGS;;1316029.5657;119996.12056;5700.6205;143175.70282;834283.9213;672449.8625999999;161834.09903;867.31564;2118.2680800000003;4437.446190000001;0.0;52.409947;26180.067346;11468.561716;30105.383748;6708.009784999999;6251.8245;1471.686649;34311.485818;106708.239373;36571.47744;34279.401889999994;19408.189421999996;1.0;VALOR
T.HUEVOS UNDS.;;1316029.5657;119996.12056;5700.6205;143175.70282;834283.9213;672449.8625999999;161834.09903;867.31564;2118.2680800000003;4437.446190000001;0.0;52.409947;26180.067346;11468.561716;30105.383748;6708.009784999999;6251.8245;1471.686649;34311.485818;106708.239373;36571.47744;34279.401889999994;19408.189421999996;1.0;VALOR
TOTAL HUEVOS GALLINA;;1300748.06;117993.946;5700.6205;141340.34;824818.3300000001;663697.79;161120.58000000002;867.31564;2118.2680800000003;4392.660599999999;0.0;52.409947;25832.168;11459.7268;28860.267;6675.670899999999;6251.8245;1471.686649;34179.673;105607.758;36484.452;33734.136999999995;19216.206000000002;2.0;VALOR
OTRAS AVES;;15281.5057;2002.1745600000002;0.0;1835.3628200000003;9465.591299999998;8752.0726;713.51903;0.0;0.0;44.78559;0.0;0.0;347.899346;8.834916;1245.116748;32.338885000000005;0.0;0.0;131.812818;1100.481373;87.02544;545.26489;191.983422;2.0;VALOR
MIEL;;121218.619;19819.247999999996;665.18817;13522.837100000002;53097.922;42487.479;10610.444;42.07886;2809.1566299999995;404.21285;0.0;0.0;1940.3516300000001;5206.2823;4933.3628499999995;77.81062;776.96349;452.34086;5914.246900000001;5862.422480000001;9325.70601;11735.261700000001;1579.5293499999998;1.0;VALOR
GRANEL;;47864.906;16862.376;530.814148;0.0;227.35347;227.35347;0.0;0.0;2539.0494699999995;404.21285;0.0;0.0;1804.1970999999999;4960.6426;4208.766570000001;77.81062;656.3844300000001;452.34086;4849.557999999999;5862.422480000001;9051.461729999999;9610.476799999999;355.14655899999997;2.0;VALOR
ENVASADA;;73353.704;2956.87312;134.37401499999999;13522.837100000002;52870.569;42260.127;10610.444;42.07886;270.10713999999996;0.0;0.0;0.0;136.15448;245.639131;724.5963099999999;0.0;120.57905;0.0;1064.68875;0.0;274.24444;2124.78379;1224.38277;2.0;VALOR
TOTAL CARNE;;15924161.0;3469508.4000000004;32609.366;1755650.9999999998;9787921.7;8027499.6;1760422.3999999997;38867.768;4266.1647;15383.818200000002;141.85879;2488.8628500000004;2860092.9;28099.153;442621.0700000001;1022.692007;7268.384800000001;2690.0848400000004;16907.978600000002;171132.02;76570.09700000001;344757.99;242526.75;1.0;VALOR
CARNE CERTIFICADA;;2800810.7;997522.55;7303.8559000000005;263682.86000000004;1345682.3399999999;1142776.75;202905.51999999996;6859.3023;731.4550810000001;2499.23938;13.43306;740.5021360000001;847455.76;4665.047500000001;128728.95;192.19009;250.34931;230.02497;2464.3075900000003;58195.16489;19826.8238;70222.631;31210.244999999995;2.0;VALOR
CARNE FRESCA;;10354937.4;2757399.9;19188.449200000003;979020.47;6029353.199999999;4936913.8;1092439.3000000003;5600.923199999999;1827.1104299999997;6841.963;13.43306;1615.8226560000003;2348060.6;10054.3955;351042.33999999997;338.51363;2428.07583;985.72012;7761.9441;162298.905;42784.594;197100.3;150895.457;2.0;VALOR
SALCHICHAS FRESCAS;;123582.34700000001;59607.65200000001;393.315817;8337.325;50237.68299999999;46384.87;3852.8152999999998;32.57844;14.255510000000001;0.0;0.0;0.0;51100.611000000004;539.78489;7258.1698;0.0;34.03497;8.61247;50.521498;153.73935;259.130879;2272.95351;1780.76017;3.0;VALOR
CARNE VACUNO;;2193914.2;823378.9599999998;4842.3366;241963.91999999998;1012326.8299999998;860214.33;152112.46;1489.16658;330.145641;924.9763700000001;0.0;728.6872760000001;715366.5100000001;3707.1251;95944.473;129.2439;387.58919;132.69414999999998;1983.1133900000004;12928.173850000001;5071.61913;55669.23599999999;33101.102999999996;3.0;VALOR
TERNERA;;1597938.0999999999;698721.01;4249.3301;134823.783;683525.1699999999;573009.57;110515.59599999998;733.8119;215.96608500000002;825.20709;0.0;728.6872760000001;610752.14;3435.53452;77317.35899999998;129.2439;312.78531999999996;132.69414999999998;1856.2727700000005;12176.952790000001;3916.6952;31674.909;24589.5147;4.0;VALOR
AÑOJO;;463865.8;89650.364;467.88358;79253.73800000001;268748.71;235032.94;33715.773;364.82878000000005;54.654666;75.81782;0.0;0.0;73609.69200000001;255.50833999999998;15291.8528;0.0;74.80387;0.0;9.461606;583.24226;339.144732;17571.4504;6919.945000000001;4.0;VALOR
MAYOR;;132110.328;35007.563;125.12292;27886.393;60052.931000000004;52171.822000000015;7881.1113000000005;390.52598;59.524892;23.95154;0.0;0.0;31004.679300000003;16.08208;3335.2685499999993;0.0;0.0;0.0;117.37904;167.97899;815.7792;6422.875879999999;1591.64223;4.0;VALOR
CARNE POLLO;;3053852.1999999997;595690.14;4427.58315;269167.37;2041267.5999999999;1612954.2999999998;428313.2300000001;1619.6974700000003;463.849741;2143.1759;0.0;358.37551;512601.5199999999;1065.54245;67677.734;29.86359;443.37648399999995;286.87078;1363.33768;39797.215;7575.56699;44725.861000000004;47992.083;3.0;VALOR
POLLO ENTERO;;502432.7;118116.00499999999;752.60282;41931.676999999996;281598.18;238678.80999999997;42919.398;135.028823;99.79419999999999;860.4065599999999;0.0;79.89196;99279.353;314.74996;14910.966400000001;0.0;134.97088;131.4897;181.60501;35545.055;5029.717300000001;8643.091100000001;9641.2242;4.0;VALOR
