Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
.TOTAL ALIMENTACION;;99.973;99.97;99.959;99.981;99.979;99.942;99.976;99.968;99.959;99.994;99.982;99.987;99.991;99.986;99.987;99.922;99.931;99.965;0.0;VALOR
T.HUEVOS KGS;;97.173;98.025;98.17;97.056;98.452;98.414;97.64;98.3;96.655;91.378;95.693;91.061;95.922;97.479;97.927;91.965;98.443;96.255;1.0;VALOR
T.HUEVOS UNDS.;;97.173;98.025;98.17;97.056;98.452;98.414;97.64;98.3;96.655;91.378;95.693;91.061;95.922;97.479;97.927;91.965;98.443;96.255;1.0;VALOR
TOTAL HUEVOS GALLINA;;97.01;97.951;97.937;97.066;98.435;97.948;97.465;98.164;96.453;90.661;95.34;90.665;95.931;97.479;97.868;90.565;98.449;96.148;2.0;VALOR
OTRAS AVES;;16.654;21.135;25.219;18.547;15.467;16.005;20.75;12.947;10.732;12.686;15.566;12.856;6.525;1.619;25.2;19.813;8.144;9.06;2.0;VALOR
MIEL;;36.114;41.095;29.412;50.439;35.497;35.712;35.958;38.982;31.661;26.08;33.871;28.638;34.385;31.995;25.763;31.651;31.038;49.161;1.0;VALOR
GRANEL;;11.264;11.841;20.515;10.051;13.087;12.192;9.456;13.775;11.103;12.67;15.889;15.611;15.044;9.289;8.233;7.35;19.959;4.172;2.0;VALOR
ENVASADA;;29.146;34.197;19.964;45.956;27.841;27.917;29.483;32.968;26.008;20.666;23.36;18.352;22.277;28.367;20.573;27.328;24.401;44.782;2.0;VALOR
TOTAL CARNE;;99.855;99.745;99.891;99.977;99.968;99.207;99.925;99.951;99.928;99.991;99.916;99.934;99.981;99.961;99.851;99.889;99.136;99.203;1.0;VALOR
CARNE CERTIFICADA;;83.48;84.021;85.61;76.894;83.299;86.854;83.484;81.606;85.905;84.098;84.969;88.362;87.58;84.539;84.308;82.153;80.575;73.924;2.0;VALOR
CARNE FRESCA;;99.197;99.123;99.34;98.306;99.483;98.368;99.427;99.261;99.699;99.956;99.507;99.135;98.514;97.5;98.893;99.828;98.5;98.133;2.0;VALOR
SALCHICHAS FRESCAS;;36.399;49.104;60.557;24.166;31.997;51.282;33.781;30.97;48.194;47.292;42.321;26.864;34.564;35.786;37.973;51.52;41.892;6.711;3.0;VALOR
CARNE VACUNO;;91.551;92.519;92.781;88.155;91.317;86.969;88.906;94.354;91.692;86.505;94.101;92.074;91.859;90.539;94.57;94.737;93.198;89.731;3.0;VALOR
TERNERA;;87.493;89.893;87.815;84.837;86.897;84.592;84.446;89.729;86.69;81.913;90.845;90.685;89.691;87.955;89.999;90.187;92.071;80.232;4.0;VALOR
AÑOJO;;56.198;47.822;51.571;47.272;60.202;54.135;56.155;71.011;65.918;53.037;53.134;28.336;46.26;61.332;66.551;52.536;59.9;73.339;4.0;VALOR
MAYOR;;31.739;32.313;40.288;32.914;32.771;30.53;26.986;36.983;30.264;25.429;38.239;21.099;17.829;34.246;40.48;29.834;41.9;38.907;4.0;VALOR
CARNE POLLO;;97.93;97.755;98.262;95.941;98.197;97.277;98.61;98.187;98.808;99.293;98.091;97.536;97.567;95.427;98.03;97.55;97.361;94.972;3.0;VALOR
POLLO ENTERO;;64.163;62.533;67.481;62.0;71.212;70.876;67.867;59.952;74.089;68.156;64.053;65.241;58.922;51.57;65.869;63.787;65.574;39.264;4.0;VALOR
