Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
.TOTAL ALIMENTACION;;26870450.782250002;6800599.5064550005;3915506.6571500003;6695499.415518;3850464.3774590003;5608381.001725;20563014.106680002;2356228.067179;3951208.8302510004;14012581.435320001;12857868.918827;1383348.103793;7624758.670549001;9610636.557300001;8251707.607250999;17862344.0359;4924189.874289;7888037.00402;6158619.768298;7899604.1319969995;5979267.410866999;3871486.8627539994;4739588.178296001;5203154.550752999;1500181.0521839997;2253649.4546479997;2073943.746885;1249179.830464;1706490.546479;4148057.009826;10957900.367510002;6206189.88263;3851813.1431239997;689082.3628870001;1369087.395698;2356228.067179;4555984.879908999;3370600.0270980005;2239741.912947;3900578.767631;1657595.913679;6731551.585391;0.0;VALOR
T.HUEVOS KGS;;407791.05306;100121.98145;58503.208555000005;100895.40089;60257.38456800001;88013.0803;314942.59766;34617.80454;58230.65611999999;204982.93978999997;202808.1198;23923.596319999997;107830.2163;143094.11664;132943.13357;276037.25019;73006.42336000002;119768.71948;92768.80305999999;122247.12207999997;83122.63118;58966.08089;71195.53026;80698.630137;23289.282094000002;33836.740980999995;39092.192851;17589.966757000002;24748.059985000004;64084.97846;165577.36953;93327.73277999999;60052.927204;10651.821170000003;19992.944774999996;34617.80454;69018.01425000001;52908.38855499999;35045.441342;56021.030029999994;22328.208402;107207.41361;1.0;VALOR
T.HUEVOS UNDS.;;6494823.366;1596400.205;932571.3654999998;1603753.829;959203.6308;1402894.3899999997;5013036.146;550194.6839999999;931592.6299999999;3268041.479;3226782.0000000005;379772.342;1718302.45;2281389.024;2115359.717;4396748.738999999;1161977.7939999998;1908619.4679999999;1477796.9259999997;1946429.4279999998;1333852.8379999998;937387.679;1139103.408;1278481.1937;371459.9613999999;536065.0441;621994.8811000001;276478.40757000004;392277.7465;1023358.7540000001;2638613.7930000005;1483247.4179999998;957325.9023999999;169790.081;316412.44949999993;550194.6839999999;1102393.449;843653.6275000001;557525.0761999998;895106.0090000001;353356.45619;1706391.761;1.0;VALOR
TOTAL HUEVOS GALLINA;;6348941.1;1558481.0999999999;910694.3500000002;1571441.9;938247.19;1370076.6;4903930.3;539182.55;905828.3299999998;3190787.4999999995;3158153.7000000007;372701.35;1678651.7;2227411.6;2070176.6;4297588.2;1136789.73;1864491.2000000004;1444274.7;1903385.7;1292298.2;918374.1500000001;1107490.67;1257663.3000000003;362494.11999999994;527335.01;608745.26;274540.42;385653.38;997247.9800000001;2577615.3999999994;1453615.9000000001;934808.67;165813.34;311644.81999999995;539182.55;1073964.44;823552.8200000002;545744.27;871666.1099999999;348048.9600000001;1669324.0000000002;2.0;VALOR
OTRAS AVES;;145882.266;37919.104999999996;21877.015499999998;32311.929;20956.4408;32817.79;109105.846;11012.134;25764.3;77253.97899999999;68628.29999999999;7070.992;39650.75;53977.424;45183.117;99160.53899999999;25188.064000000002;44128.268;33522.226;43043.728;41554.638;19013.529000000002;31612.738000000005;20817.8937;8965.8414;8730.034099999999;13249.6211;1937.98757;6624.3665;26110.773999999998;60998.393000000004;29631.518000000004;22517.2324;3976.741;4767.629500000001;11012.134;28429.009;20100.807500000003;11780.8062;23439.898999999998;5307.49619;37067.761000000006;2.0;VALOR
MIEL;;16124.0076;3071.4062999999996;2196.5126999999998;4572.017400000001;2261.2412;4022.8297000000002;13554.759;868.33272;1700.91512;7019.215999999999;9104.7906;660.24944;3292.69;5576.7901999999995;6594.2779;12171.069099999999;4911.3901;4641.3586000000005;2952.9317;3618.3268;3630.7797;2463.5023;2756.8968;3033.5906999999997;839.15147;1392.2938199999999;1251.08205;756.7102699999998;784.7938800000002;2144.9464;6316.224200000001;3974.9153;2903.1277000000005;662.3603899999999;563.05605;868.33272;1948.1976900000004;1587.7755900000002;1060.9060699999998;2273.22183;1278.27658;5881.8805999999995;1.0;VALOR
GRANEL;;5116.674099999999;744.87679;544.5278699999999;1677.93686;665.646968;1483.68579;4631.0039;174.007932;311.662417;1922.83019;3193.8443;51.978035;698.7492259999999;1806.20322;2559.74387;4365.9469;1995.15337;1586.1473;731.01347;804.36014;1028.49086;777.16683;792.74074;774.37231;360.90414000000004;734.423586;451.9719360000001;196.603887;391.17085800000007;793.7427599999999;1900.19934;1318.8639099999998;712.69741;113.45512099999999;81.194006;174.007932;320.30440699999997;398.656203;235.532775;882.0612;517.366682;2394.09595;2.0;VALOR
ENVASADA;;11007.333900000001;2326.5296;1651.98506;2894.0808000000006;1595.5944100000002;2539.1438;8923.7554;694.32482;1389.2528499999999;5096.386;5910.9471;608.2713900000001;2593.9409;3770.5867;4034.5340000000006;7805.1209;2916.2367000000004;3055.2113999999997;2221.9183;2813.9665999999997;2602.2887;1686.33569;1964.1560000000002;2259.2185999999997;478.24739999999997;657.8702499999999;799.1100500000001;560.1064299999999;393.6230300000001;1351.20374;4416.024699999999;2656.0513000000005;2190.4303;548.90526;481.8620399999999;694.32482;1627.89315;1189.1195;825.3733;1391.16039;760.9099699999999;3487.7844999999998;2.0;VALOR
TOTAL CARNE;;1906656.9999999995;487158.39;269162.92;479617.45;283699.30999999994;387018.78;1433490.7;168847.15000000002;304319.1;1022423.08;884233.79;96927.48599999999;554914.35;721603.1700000002;533211.87;1254815.07;295646.27;530427.25;451077.94999999995;629505.38;411952.50000000006;273881.35;319185.35000000003;393714.67000000004;122466.71300000002;156624.09999999998;161948.03999999998;66884.172;135486.17899999997;303447.49;762634.2400000001;427152.07000000007;277936.86000000004;42979.721999999994;90997.019;168847.15000000002;362402.19999999995;274325.06;166643.94;270043.55000000005;97513.73999999999;432904.48;1.0;VALOR
CARNE CERTIFICADA;;283970.38000000006;68993.688;36769.578;73379.91100000001;41882.33;62944.88599999999;228025.36000000002;18692.798000000003;37252.221999999994;136035.273;147935.09999999998;9693.2966;65120.974;108967.766;100188.353;209156.11;44812.14199999999;89042.88600000001;65557.58899999999;84557.775;58345.903;35748.034999999996;42037.371;57900.84100000001;21683.896;32532.317000000003;24560.165;11161.862;21803.670000000002;46940.561;109716.05099999999;63381.56099999999;42128.545;4733.9943;9560.1978;18692.798000000003;47547.36000000001;41697.59;20083.855000000003;45784.133;12738.0872;83132.37400000001;2.0;VALOR
