Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
.TOTAL ALIMENTACION;;81671305.2374;14594369.135990001;2345401.08154;1926487.004214;8743423.578713;2526422.694081;13551886.954990001;10944572.427889999;3444567.78201;1672492.998271;4510443.892219;5044865.5294119995;1954438.9015040002;889033.670959;4491742.524749;571679.750682;1147191.8488329998;3312284.8747889996;0.0;VALOR
T.HUEVOS KGS;;1316029.5657;212912.31220000001;35718.67339;24844.246000999996;148249.97106;35778.991475;226249.8569;175161.24934;53704.898967;23880.907258999996;73258.62701000001;85866.9239;32963.878103999996;19829.401353;75978.32334999999;8752.961018;20330.128387999997;62548.36001700001;1.0;VALOR
T.HUEVOS UNDS.;;1316029.5657;212912.31220000001;35718.67339;24844.246000999996;148249.97106;35778.991475;226249.8569;175161.24934;53704.898967;23880.907258999996;73258.62701000001;85866.9239;32963.878103999996;19829.401353;75978.32334999999;8752.961018;20330.128387999997;62548.36001700001;1.0;VALOR
TOTAL HUEVOS GALLINA;;1300748.06;210132.04;34906.212;24490.976;146622.71000000002;35358.134;223061.81000000003;173670.06;53258.131;23742.145;72113.622;84778.758;32817.03599999999;19804.023;74770.22899999999;8633.561999999998;20228.897;62359.861000000004;2.0;VALOR
OTRAS AVES;;15281.5057;2780.2722000000003;812.46139;353.270001;1627.26106;420.857475;3188.0469000000003;1491.1893400000001;446.767967;138.76225899999997;1145.00501;1088.1659;146.842104;25.378353;1208.0943499999998;119.399018;101.23138799999998;188.49901699999998;2.0;VALOR
MIEL;;121218.619;21702.295;3195.45395;3248.4112000000005;13622.320099999999;3723.9425;18955.4547;15300.222;4055.9161;2071.54056;6136.683;7886.4169999999995;4110.06095;1028.02309;6086.4854;909.1467219999998;2819.6220399999997;6366.619300000001;1.0;VALOR
GRANEL;;47864.906;8214.583200000001;1509.62185;532.9314;5338.633150000001;1249.75;6893.967500000001;4036.363769999999;1716.6178800000002;1165.8899000000001;2998.8135850000003;4058.0902499999997;3121.4925599999997;219.07782000000003;3038.4322500000003;233.36155999999997;1050.96604;2486.31312;2.0;VALOR
ENVASADA;;73353.704;13487.710599999997;1685.8321000000003;2715.4798;8283.685400000002;2474.1927;12061.485100000002;11263.858100000001;2339.2981399999994;905.6506800000001;3137.8687999999997;3828.3268000000003;988.5685400000002;808.9452799999999;3048.0528;675.785212;1768.65594;3880.3058999999994;2.0;VALOR
TOTAL CARNE;;15924161.0;2777495.3000000003;504199.94000000006;352586.44999999995;1712745.4;488546.59;2509952.5000000005;2202281.6;759351.0799999998;303925.05;1013162.68;919218.4600000001;364848.74999999994;156567.82;932452.5400000002;131508.648;244049.32;551268.48;1.0;VALOR
CARNE CERTIFICADA;;2800810.7;462138.79;91676.666;63337.488999999994;265677.60000000003;72652.18299999999;377687.26;385608.74000000005;134305.299;45757.237;217633.97000000003;233073.03000000003;72933.797;34385.316999999995;179890.77;16605.2417;47849.991;99597.369;2.0;VALOR
CARNE FRESCA;;10354937.4;1800887.8999999997;355288.59;239845.12;1125500.16;305848.57;1537263.3;1409821.98;498400.82000000007;185614.44999999998;703848.9;644292.29;227726.24000000002;104308.69799999999;647734.7899999999;89106.652;177117.22999999998;302332.02;2.0;VALOR
SALCHICHAS FRESCAS;;123582.34700000001;36341.42;8209.689699999999;1689.6755;8319.8549;4541.262199999999;13661.545;10497.9137;7629.7746;2360.1331800000003;10829.246599999999;2052.76181;1528.2377800000002;1547.2490599999999;9181.891;1569.2740000000001;3215.2074000000002;407.205242;3.0;VALOR
CARNE VACUNO;;2193914.2;378126.67000000004;67594.828;52144.113999999994;198052.5;48910.21799999999;234855.11000000004;374291.17000000004;93006.80399999999;24175.773000000005;155333.23;158668.18;58561.856;31173.519;176724.38;14863.1128;41794.443;85638.36799999999;3.0;VALOR
TERNERA;;1597938.0999999999;318308.67;54104.152;39272.617999999995;136445.818;36396.088;164206.09;228431.26;68510.65000000001;18569.632;123588.00600000001;144423.543;51728.931;19249.12;118875.381;11378.486799999999;32933.803;31515.887;4.0;VALOR
AÑOJO;;463865.8;40380.921;10589.286;9156.0912;50706.068999999996;8945.882399999999;56760.50899999999;120761.141;20323.1016;4357.2191;24777.826999999997;8187.3141;4781.9307;8427.016599999999;43186.490000000005;2748.1543;5508.262699999999;44268.58299999999;4.0;VALOR
MAYOR;;132110.328;19437.097999999998;2901.3887700000005;3715.4044900000004;10900.587099999999;3568.2477999999996;13888.527399999999;25098.744;4173.0531;1248.92089;6967.4135;6057.316900000001;2050.99548;3497.37803;14662.496400000004;736.47143;3352.3777;9853.903400000001;4.0;VALOR
CARNE POLLO;;3053852.1999999997;514531.4;99827.49399999999;76235.97;357711.30999999994;100440.772;540684.16;407614.48999999993;142590.99000000002;62826.619;170268.6;162866.00999999998;61778.933999999994;28204.838;174967.78;24240.132999999998;42767.077000000005;86295.55700000002;3.0;VALOR
POLLO ENTERO;;502432.7;84410.925;22954.2836;11317.930999999999;65997.925;21568.822;74000.65600000002;51658.09100000001;25795.8;10703.9647;30823.524000000005;40937.90200000001;8500.3979;4884.2554;26045.628;3366.892599999999;8146.649700000001;11319.0895;4.0;VALOR
