Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;5862253.5862;934386.93099;41635.145236000004;892751.8484400001;94537.418456;35660.42059;7835.377324;3463.20658;246757.281845;143139.76846599998;2653.737877;106962.738031;7408.2603899999995;244333.67108;4450526.698399999;761974.893;3688551.9041;2980524.1734;708027.57052;23684.610248;57868.455401;41356.880075999994;44591.399942000004;23111.55705;133773.79836;152953.81947;0.0;enero
T.HUEVOS KGS;94473.83940000001;9626.264029999998;921.9875770000001;8704.27665;0.0;110.49119999999999;108.26995600000001;0.0;2226.4355299999997;1956.4598700000001;641.1113;376.0227;124.0182;3161.469;68018.17079999999;8759.141;59259.0308;48430.8841;10828.14662;450.936649;924.4618;850.5801;7742.093360000001;3266.011;1425.3105;2170.00862;1.0;enero
T.HUEVOS UNDS.;94473.83940000001;9626.264029999998;921.9875770000001;8704.27665;0.0;110.49119999999999;108.26995600000001;0.0;2226.4355299999997;1956.4598700000001;641.1113;376.0227;124.0182;3161.469;68018.17079999999;8759.141;59259.0308;48430.8841;10828.14662;450.936649;924.4618;850.5801;7742.093360000001;3266.011;1425.3105;2170.00862;1.0;enero
TOTAL HUEVOS GALLINA;93512.32;9575.563;918.9812;8656.582;0.0;110.49119999999999;102.3447;0.0;2206.4;1934.726;641.1113;376.0227;124.0182;3161.469;67179.37;8664.851;58514.52;47699.73;10814.79;448.0175;924.4618;850.5801;7712.473;3266.011;1408.405;2147.436;2.0;enero
OTRAS AVES;961.5194;50.701029999999996;3.006377;47.69465;0.0;0.0;5.925256;0.0;20.035529999999998;21.73387;0.0;0.0;0.0;0.0;838.8008000000001;94.29;744.5108;731.1541;13.356620000000001;2.919149;0.0;0.0;29.62036;0.0;16.9055;22.57262;2.0;enero
MIEL;8837.286;1578.471;176.0708;1402.4;0.0;0.0;107.5123;0.0;202.93210000000002;524.4849;0.0;28.92265;16.57519;521.9732;5299.552;880.7889;4418.763;3429.359;989.4039;179.0213;397.0179;3.907657;0.0;375.5629;120.3246;883.4294;1.0;enero
GRANEL;3131.236;1368.864;146.0468;1222.817;0.0;0.0;0.0;0.0;202.93210000000002;524.4849;0.0;0.0;0.0;495.4002;16.82288;0.0;16.82288;16.82288;0.0;179.0213;397.0179;3.907657;0.0;368.81109999999995;0.0;796.7914000000001;2.0;enero
ENVASADA;5706.05;209.6071;30.023970000000002;179.5831;0.0;0.0;107.5123;0.0;0.0;0.0;0.0;28.92265;16.57519;26.57298;5282.729;880.7889;4401.94;3412.536;989.4039;0.0;0.0;0.0;0.0;6.75188;120.3246;86.63792;2.0;enero
TOTAL CARNE;1126607.0;269965.2;6030.665;263934.6;53.34629;3556.715;327.3766;0.0;224457.4;33195.03;45.01434;693.3113000000001;53.9724;1552.409;795094.5;117830.4;677264.1;557284.1;119979.9;3697.853;3000.33;1680.542;9004.998;5428.489;19174.46;19561.09;1.0;enero
CARNE CERTIFICADA;204582.1;78268.02;692.2755;77575.74;0.0;950.0508000000001;163.1744;0.0;65935.56;10342.14;0.0;37.08466000000001;0.0;147.745;113774.9;18318.6;95456.34;80933.22;14523.1;635.5814;772.0251;690.1743;4245.85;689.5808000000001;1731.004;3774.906;2.0;enero
CARNE FRESCA;738324.9;216096.2;2861.383;213234.8;33.54762;661.0734;277.4726;0.0;186333.3;25049.16;45.01434;96.82638;18.657;719.762;483212.2;65901.25;417310.9;340434.3;76876.66;2390.553;1230.274;1486.379;8940.357;2755.564;10711.33;11501.99;2.0;enero
SALCHICHAS FRESCAS;9298.217;5133.091;121.2242;5011.866;0.0;0.0;0.0;0.0;4526.094;482.157;0.0;0.0;0.0;3.615093;3786.37;422.69;3363.68;3110.122;253.5584;72.85673;47.45358;3.566049;0.0;24.136680000000002;89.47925;141.2644;3.0;enero
CARNE VACUNO;165843.4;65514.0;226.7372;65287.26;0.0;188.485;140.18779999999998;0.0;57326.01;7343.194;8.597956;37.08466000000001;0.0;243.7019;94614.4;15144.44;79469.95;68121.56;11348.4;314.3618;322.9062;442.76390000000004;130.6465;268.16970000000003;1828.495;2407.614;3.0;enero
TERNERA;120338.2;54879.8;217.012;54662.79;0.0;25.519759999999998;94.36513000000001;0.0;48463.06;5882.218;8.597956;37.08466000000001;0.0;151.9421;61107.98;8166.927;52941.05;45535.47;7405.58;314.3618;283.4382;232.94279999999998;48.14929;209.4114;1388.934;1873.189;4.0;enero
AÑOJO;35869.32;8092.003;9.725222;8082.278;0.0;162.96529999999998;16.332620000000002;0.0;6759.07;1052.15;0.0;0.0;0.0;91.7598;27025.58;5336.703;21688.88;18390.51;3298.37;0.0;39.468050000000005;30.27461;73.54987;0.0;386.3286;222.11620000000002;4.0;enero
MAYOR;9635.825;2542.196;0.0;2542.196;0.0;0.0;29.490080000000003;0.0;2103.88;408.8258;0.0;0.0;0.0;0.0;6480.835;1640.812;4840.023;4195.576;644.4467;0.0;0.0;179.5465;8.947341;58.758309999999994;53.23236;312.3093;4.0;enero
CARNE POLLO;209276.5;48603.3;981.8339;47621.46;0.0;231.5077;46.9568;0.0;41418.47;5910.776;6.142971999999999;0.0;7.604843;0.0;150445.6;17625.24;132820.4;105026.7;27793.64;676.9604;166.10379999999998;257.0971;2013.223;1075.045;3436.875;2602.323;3.0;enero
POLLO ENTERO;36647.52;9529.085;330.80690000000004;9198.278;0.0;19.46179;0.0;0.0;7962.247;1216.569;0.0;0.0;0.0;0.0;22603.23;3202.071;19401.16;16764.93;2636.231;253.5358;0.0;42.43154;2008.647;1042.944;659.3924000000001;508.251;4.0;enero
POLLO FILETES;41352.13;8172.559;88.1038;8084.455;0.0;0.0;11.660020000000001;0.0;7412.492;660.3036;0.0;0.0;0.0;0.0;31952.38;2501.461;29450.92;23366.73;6084.197;84.33933999999999;18.93425;29.08568;0.0;0.0;563.3251;531.5026;4.0;enero
POLLO POR PIEZAS;131276.9;30901.65;562.9232;30338.73;0.0;212.0459;35.296769999999995;0.0;26043.73;4033.903;6.142971999999999;0.0;7.604843;0.0;95889.97;11921.7;83968.26;64895.05;19073.21;339.08529999999996;147.1696;185.57989999999998;4.575639;32.10075;2214.158;1562.569;4.0;enero
CARNE CONEJO;21572.1;5745.527;162.1045;5583.422;0.0;0.0;0.0;0.0;4712.459;870.9628;0.0;0.0;0.0;0.0;12660.32;1802.375;10857.94;9663.351;1194.591;159.1994;0.0;0.0;1510.449;709.4961999999999;646.3686;140.7415;3.0;enero
CARNE OVINO/CAPRINO;40231.66;15916.19;26.305490000000002;15889.88;0.0;0.0;67.95009;0.0;13463.1;2286.514;0.0;0.0;0.0;72.32096;20540.25;4965.391;15574.86;14874.46;700.4073000000001;32.09609;246.6235;0.0;960.3747;365.7616;293.2035;1877.16;3.0;enero
CORDERO;36237.68;13731.25;12.84078;13718.41;0.0;0.0;67.95009;0.0;11408.02;2170.115;0.0;0.0;0.0;72.32096;18902.98;4492.227;14410.76;13803.92;606.8319;32.09609;235.0096;0.0;877.2306;365.7616;261.946;1831.413;4.0;enero
CABRITO;2832.337;1236.466;0.0;1236.466;0.0;0.0;0.0;0.0;1154.644;81.82206;0.0;0.0;0.0;0.0;1424.107;397.43129999999996;1026.676;1026.676;0.0;0.0;11.61391;0.0;83.14408999999999;0.0;31.25759;45.747870000000006;4.0;enero
OTRO OVINO/CAPRINO;1161.638;948.4744000000001;13.4647;935.0097;0.0;0.0;0.0;0.0;900.4327;34.57705;0.0;0.0;0.0;0.0;213.16379999999998;75.73288000000001;137.4309;43.85548;93.57544;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;7214.481;1365.748;0.0;1365.748;0.0;0.0;67.95009;0.0;1186.117;111.68039999999999;0.0;0.0;0.0;0.0;3111.151;1371.118;1740.034;1534.126;205.9073;0.0;0.0;0.0;877.2306;365.7616;0.0;1494.59;4.0;enero
OVINO/CAPRINO PIEZ;33017.18;14550.44;26.305490000000002;14524.13;0.0;0.0;0.0;0.0;12276.98;2174.834;0.0;0.0;0.0;72.32096;17429.1;3594.273;13834.83;13340.33;494.5;32.09609;246.6235;0.0;83.14408999999999;0.0;293.2035;382.5707;4.0;enero
CARNE CERDO;220047.4;63713.11;1217.418;62495.69;17.204150000000002;189.50879999999998;8.881807;0.0;55347.43;6494.664;30.27341;37.1184;5.774082;364.8428;143820.1;20110.01;123710.1;99254.88;24455.18;965.7346;454.557;273.7597;3878.395;337.0917;3013.856;3590.79;3.0;enero
CARNE CERDO ADOBAD;22195.87;6397.563;120.9709;6276.592;0.0;0.0;0.0;0.0;5625.183;644.3240999999999;0.0;0.0;0.0;7.084764;14999.45;1968.972;13030.48;9638.096;3392.381;12.490129999999999;60.87999;0.0;0.0;62.61468;314.7806;348.0891;4.0;enero
CARN.CERDO IBERICO;15225.92;5055.131;206.87720000000002;4848.254;0.0;12.98373;0.0;0.0;4412.002;423.2681;0.0;0.0;0.0;0.0;5978.02;1280.216;4697.804;4206.486;491.31809999999996;46.01961;4.3005510000000005;33.03659;3675.001;0.0;96.28594;338.12190000000004;4.0;enero
CARNE DESPOJOS;12913.01;5379.402;3.432362;5375.969;16.34347;0.0;2.2974989999999997;0.0;4608.4;699.1574;0.0;22.62332;0.0;27.14784;7132.346;921.0098;6211.336;5932.011;279.3245;57.608410000000006;40.083800000000004;0.0;0.0;0.0;248.48760000000001;55.082660000000004;3.0;enero
DESPOJOS CERDO;6196.959;2896.403;3.432362;2892.97;0.0;0.0;0.0;0.0;2605.972;237.2268;0.0;22.62332;0.0;27.14784;3178.333;416.2466;2762.087;2631.392;130.6945;0.0;19.72569;0.0;0.0;0.0;72.38414;30.1135;4.0;enero
DESPOJOS CORDERO;994.1794;580.3908;0.0;580.3908;0.0;0.0;0.0;0.0;468.9884;111.4024;0.0;0.0;0.0;0.0;401.7996;41.1955;360.60409999999996;360.60409999999996;0.0;0.0;4.921520999999999;0.0;0.0;0.0;7.067529;0.0;4.0;enero
DESPOJOS POLLO;2664.278;370.4639;0.0;370.4639;0.0;0.0;0.0;0.0;333.4834;36.980470000000004;0.0;0.0;0.0;0.0;2096.257;211.1237;1885.133;1841.198;43.93475;54.36288;0.0;0.0;0.0;0.0;134.7605;8.433854;4.0;enero
DESPOJOS TERNERA;2634.272;1399.13;0.0;1399.13;16.34347;0.0;2.2974989999999997;0.0;1124.992;255.4967;0.0;0.0;0.0;0.0;1189.746;210.3819;979.3637;874.6685;104.6952;3.245531;15.4366;0.0;0.0;0.0;10.1791;16.535310000000003;4.0;enero
DESPOJOS OT.PROCED;423.3213;133.0143;0.0;133.0143;0.0;0.0;0.0;0.0;74.96335;58.05093;0.0;0.0;0.0;0.0;266.2108;42.0621;224.14870000000002;224.14870000000002;0.0;0.0;0.0;0.0;0.0;0.0;24.09625;0.0;4.0;enero
OTRAS CARNES FRESCA;68440.87;11224.72;243.55110000000002;10981.16;0.0;51.57197;11.1986;0.0;9457.476;1443.891;0.0;0.0;5.278073;11.74859;53999.22;5332.787;48666.44;37561.32;11105.12;184.5927;0.0;512.7586;447.2699;0.0;1244.041;828.2759;3.0;enero
AVESTRUZ;179.5854;125.3082;0.0;125.3082;0.0;0.0;0.0;0.0;125.3082;0.0;0.0;0.0;0.0;0.0;54.27718;0.0;54.27718;54.27718;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
PAVO;34416.58;4220.986;129.0032;4091.983;0.0;51.57197;0.0;0.0;3391.336;632.0484;0.0;0.0;5.278073;11.74859;29159.78;2656.012;26503.77;20077.02;6426.748;10.51399;0.0;0.0;102.6955;0.0;698.5956;224.0069;4.0;enero
