Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;98.322;54.994;4.801;54.314;11.62;5.998;2.256;0.758;23.623;9.664;0.429;26.406;1.84;32.699;97.659;43.744;96.085;92.758;55.484;2.442;8.214;5.992;6.501;4.056;7.415;18.685;0.0;enero
T.HUEVOS KGS;78.296;8.857;1.115;7.841;0.047;0.133;0.179;0.0;2.31;1.789;0.327;0.556;0.126;3.133;70.677;13.118;64.784;54.807;18.744;0.462;0.788;0.539;2.646;1.807;1.825;2.087;1.0;enero
T.HUEVOS UNDS.;78.296;8.857;1.115;7.841;0.047;0.133;0.179;0.0;2.31;1.789;0.327;0.556;0.126;3.133;70.677;13.118;64.784;54.807;18.744;0.462;0.788;0.539;2.646;1.807;1.825;2.087;1.0;enero
TOTAL HUEVOS GALLINA;77.947;8.783;1.083;7.798;0.047;0.133;0.15;0.0;2.31;1.789;0.327;0.556;0.126;3.134;70.28;12.987;64.398;54.262;18.745;0.462;0.788;0.539;2.68;1.808;1.825;2.001;2.0;enero
OTRAS AVES;2.436;0.086;0.035;0.048;0.0;0.0;0.042;0.0;0.0;0.0;0.0;0.0;0.0;0.005;2.139;0.28;1.853;1.762;0.083;0.0;0.0;0.0;0.057;0.038;0.0;0.093;2.0;enero
MIEL;6.061;0.475;0.118;0.361;0.0;0.0;0.011;0.037;0.0;0.092;0.0;0.047;0.0;0.162;4.382;0.699;3.68;2.937;0.82;0.008;0.307;0.0;0.097;0.359;0.221;0.307;1.0;enero
GRANEL;1.259;0.387;0.082;0.304;0.0;0.0;0.0;0.037;0.0;0.076;0.0;0.047;0.0;0.133;0.0;0.0;0.0;0.0;0.0;0.0;0.307;0.0;0.097;0.359;0.014;0.169;2.0;enero
ENVASADA;4.826;0.099;0.043;0.055;0.0;0.0;0.011;0.0;0.0;0.016;0.0;0.0;0.0;0.028;4.382;0.699;3.68;2.937;0.82;0.008;0.0;0.0;0.0;0.0;0.198;0.137;2.0;enero
TOTAL CARNE;95.355;27.711;1.655;27.113;0.09;1.356;0.151;0.0;23.251;3.649;0.024;0.107;0.098;0.557;93.015;27.696;89.671;82.003;38.423;0.759;0.461;0.768;0.621;0.793;3.455;4.793;1.0;enero
CARNE CERTIFICADA;44.342;14.384;0.475;14.097;0.022;0.143;0.031;0.0;12.839;1.726;0.0;0.006;0.0;0.063;35.156;5.76;32.002;26.675;8.124;0.147;0.013;0.159;0.09;0.23;0.693;0.857;2.0;enero
CARNE FRESCA;87.192;24.977;1.003;24.457;0.034;0.181;0.089;0.0;21.948;3.077;0.0;0.062;0.049;0.209;81.263;17.74;76.651;65.939;29.178;0.251;0.125;0.634;0.596;0.654;2.501;2.495;2.0;enero
SALCHICHAS FRESCAS;8.865;4.381;0.108;4.337;0.024;0.0;0.0;0.0;3.949;0.384;0.0;0.0;0.0;0.0;4.669;0.622;4.172;3.897;0.305;0.0;0.0;0.012;0.0;0.0;0.139;0.155;3.0;enero
CARNE VACUNO;46.019;14.095;0.127;13.978;0.024;0.033;0.011;0.0;12.506;1.703;0.0;0.007;0.052;0.067;35.301;6.927;31.065;25.712;7.128;0.028;0.014;0.2;0.029;0.079;0.701;0.468;3.0;enero
TERNERA;37.307;12.356;0.127;12.239;0.024;0.018;0.0;0.0;11.08;1.416;0.0;0.0;0.052;0.067;26.902;5.047;23.394;19.284;5.211;0.028;0.014;0.056;0.029;0.079;0.448;0.353;4.0;enero
AÑOJO;12.914;2.538;0.0;2.538;0.0;0.014;0.011;0.0;2.09;0.389;0.0;0.007;0.0;0.0;10.946;2.302;9.283;7.498;1.952;0.008;0.0;0.07;0.0;0.0;0.188;0.13;4.0;enero
MAYOR;4.768;1.011;0.0;1.011;0.0;0.0;0.0;0.0;0.96;0.052;0.0;0.0;0.0;0.0;3.576;0.64;3.002;2.465;0.57;0.0;0.0;0.075;0.0;0.0;0.068;0.082;4.0;enero
CARNE POLLO;71.273;16.209;0.608;15.77;0.035;0.147;0.059;0.0;13.944;1.77;0.0;0.03;0.0;0.185;63.347;9.864;58.674;47.466;20.007;0.068;0.035;0.375;0.388;0.311;1.424;1.326;3.0;enero
POLLO ENTERO;18.308;4.473;0.148;4.318;0.0;0.0;0.02;0.0;3.895;0.392;0.0;0.007;0.0;0.015;13.354;1.753;11.919;9.386;3.111;0.0;0.0;0.063;0.388;0.098;0.288;0.441;4.0;enero
POLLO FILETES;31.176;5.516;0.043;5.475;0.0;0.0;0.0;0.0;4.89;0.533;0.0;0.008;0.0;0.169;26.152;2.152;24.819;19.259;6.712;0.0;0.0;0.128;0.0;0.042;0.345;0.145;4.0;enero
POLLO POR PIEZAS;60.652;12.369;0.527;11.975;0.035;0.147;0.039;0.0;10.523;1.3;0.0;0.013;0.0;0.101;53.068;8.008;48.666;38.353;15.796;0.068;0.035;0.219;0.0;0.171;1.275;1.093;4.0;enero
CARNE CONEJO;10.218;1.816;0.02;1.795;0.024;0.0;0.0;0.0;1.406;0.39;0.0;0.0;0.0;0.0;8.015;0.938;7.386;6.157;1.209;0.0;0.0;0.058;0.223;0.101;0.139;0.128;3.0;enero
CARNE OVINO/CAPRINO;10.033;3.503;0.013;3.488;0.0;0.0;0.0;0.0;3.035;0.432;0.0;0.007;0.0;0.0;6.515;1.172;5.43;5.145;0.342;0.088;0.014;0.088;0.055;0.015;0.081;0.157;3.0;enero
CORDERO;9.295;3.288;0.013;3.275;0.0;0.0;0.0;0.0;2.871;0.394;0.0;0.007;0.0;0.0;5.966;1.1;4.994;4.722;0.329;0.088;0.014;0.088;0.026;0.015;0.081;0.157;4.0;enero
CABRITO;0.748;0.098;0.0;0.098;0.0;0.0;0.0;0.0;0.06;0.038;0.0;0.0;0.0;0.0;0.599;0.08;0.519;0.506;0.014;0.0;0.0;0.015;0.029;0.0;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.224;0.209;0.0;0.209;0.0;0.0;0.0;0.0;0.209;0.0;0.0;0.0;0.0;0.0;0.014;0.0;0.014;0.014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.718;0.236;0.0;0.236;0.0;0.0;0.0;0.0;0.236;0.0;0.0;0.0;0.0;0.0;0.373;0.022;0.349;0.336;0.014;0.0;0.0;0.029;0.055;0.015;0.033;0.0;4.0;enero
OVINO/CAPRINO PIEZ;9.369;3.325;0.013;3.309;0.0;0.0;0.0;0.0;2.856;0.432;0.0;0.007;0.0;0.0;6.112;1.151;5.083;4.811;0.329;0.088;0.014;0.056;0.0;0.0;0.053;0.157;4.0;enero
CARNE CERDO;67.423;17.243;0.643;16.829;0.023;0.0;0.021;0.0;15.169;2.132;0.0;0.058;0.048;0.089;58.675;10.313;53.814;44.645;16.137;0.252;0.069;0.046;0.04;0.251;1.319;1.766;3.0;enero
CARNE CERDO ADOBAD;17.075;3.326;0.14;3.18;0.0;0.0;0.0;0.0;2.957;0.284;0.0;0.0;0.0;0.0;14.061;2.141;12.23;9.977;2.565;0.0;0.0;0.022;0.026;0.094;0.219;0.288;4.0;enero
CARN.CERDO IBERICO;5.316;1.484;0.054;1.432;0.0;0.0;0.0;0.0;1.352;0.29;0.0;0.0;0.0;0.06;3.827;0.451;3.414;2.728;0.719;0.057;0.0;0.0;0.021;0.057;0.014;0.021;4.0;enero
