Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2.563745334329596;3.3563296688999946;3.0297702021573727;3.376179615430572;9.784920056642395;7.421996887903696;4.874201338992464;20.87942026896746;8.623560244528818;3.5911204104424477;1.6938606904773263;2.8243497281775527;2.180012210434133;1.8040744691859627;2.498883446963712;2.6069715013752663;2.4780231057836777;2.52787541126522;2.294240172435371;2.236021697196702;1.806389496828207;2.7159354505018247;2.02495681749797;2.6847922073954997;2.4441788628051535;2.4560008621935094;0.0;enero
T.HUEVOS KGS;3.054761979765638;3.465124738575857;3.4193790888922257;3.472465512400178;3.893384538413397;2.501154868766101;10.428311682750088;;3.6428044495213667;3.6238114065922136;3.748008983378517;3.3244633389063893;3.163413077471886;3.2263815305076537;2.952054137258339;3.0500160835487184;2.9375329596807607;2.9732614787750373;2.812035936206197;3.9286796689992647;3.2114576900912803;3.504453708667469;3.5873780588349917;3.705152518929173;3.027551198273311;2.865869415863517;1.0;enero
T.HUEVOS UNDS.;0.19239494518218592;0.21966241987520801;0.20865089338269371;0.22150975118752303;0.24917660003340344;0.16007391406137797;0.510805367348258;;0.2331394847693675;0.23192393002190168;0.2398725749362251;0.21276565369000894;0.20245843896451032;0.2060163104828473;0.1856880725230583;0.19116988943619967;0.18487216988043909;0.18635201367604237;0.17957601409919413;0.25143549881595295;0.20553329216584196;0.224285037354718;0.22601733190064213;0.23475443083786818;0.1937632766894919;0.1794876134043686;1.0;enero
TOTAL HUEVOS GALLINA;0.194412189401758;0.22008673818762842;0.21329338603157658;0.22116770583252976;0.24917660003340344;0.16007391406137797;0.5855981713766496;;0.2331394847693675;0.23192393002190168;0.2398725749362251;0.21276565369000894;0.20245843896451032;0.20578352450138268;0.18784695566589446;0.19436074584291396;0.18688214221986305;0.18889301455434523;0.17984369011180032;0.25143549881595295;0.20553329216584196;0.224285037354718;0.22876255445907306;0.23592290766783153;0.1937632766894919;0.1813251114420634;2.0;enero
OTRAS AVES;0.08740963358474879;0.18237851347442932;0.12916453156737503;0.30926431625114137;;;0.3166568512626;;;;;;;0.2916898982483008;0.08173905147380367;0.06399146244038637;0.08501581676863536;0.08526025898577812;0.07675454831053864;;;;0.0800015992337799;0.13750005854742173;;0.1089311515601334;2.0;enero
MIEL;7.599691298511731;8.98815646885263;11.22877428003689;8.122140667922517;;;17.799595726248917;7.799923515325016;;7.230925563508465;;10.0;;7.6173397374124034;6.497261549565979;6.453485763202132;6.505080659440963;6.682509182588635;5.913816126334867;8.950016247926252;8.365455764831331;;8.217309402861982;9.185994521492503;8.635723534875972;9.778953185442488;1.0;enero
GRANEL;8.694851066282933;8.383889862612948;10.193199008807508;8.04408513949319;;;;7.799923515325016;;7.500195290216252;;10.0;;7.471033602911489;;;;;;;8.365455764831331;;8.217309402861982;9.185994521492503;16.0;9.813641288549457;2.0;enero
ENVASADA;6.806264631980099;10.82590003958572;12.00000552942136;8.686214024166741;;;17.799595726248917;;;5.990215761304177;;;;8.500000559197172;6.497261549565979;6.453485763202132;6.505080659440963;6.682509182588635;5.913816126334867;8.950016247926252;;;;;7.8572609528066;9.737050139204618;2.0;enero
TOTAL CARNE;7.8815361076022565;8.997460712260622;8.653276126481646;9.008510230976983;9.789388490784773;5.384312397579622;8.654849344290113;;8.97491119470169;9.81906777811551;11.90273677196035;8.557384965245156;13.84782546517452;9.418011618881858;7.589899881643027;7.985175946078929;7.529426950882319;7.719488614690778;6.783018836728147;8.527804865016497;11.634394583186465;9.61048020446841;6.384729192044051;11.530796747875577;7.554077442026484;8.113016918905933;1.0;enero
CARNE CERTIFICADA;8.996636121099641;10.277826935241649;8.964298904624624;10.305868141474917;12.189033144455195;7.6238057105491;5.761835028370033;;10.293374858487503;10.984168162345735;;2.4277387125563243;;14.545277478387098;8.338946764999084;8.784827466668904;8.260062758691644;8.390101698275307;7.657987202742794;7.925967801177236;11.242082390357263;9.148924981046017;7.646504339575774;12.34275440905792;8.053845083003678;7.687284308646254;2.0;enero
