Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;3.4464619128387293;4.3497414431237456;3.77823677339785;4.37961142603365;12.453163279416861;10.260428759693678;6.562310397903273;19.171430252049237;10.179766505919496;4.764003855128592;2.6872986855066965;3.1892379261203487;5.163291849488465;1.8831183148789825;3.3021039076769734;3.567661136649046;3.2464914187541978;3.2905775061400515;3.076269983818822;2.99019970830046;1.9642361160017725;4.530335632288707;2.4244919667143385;4.288110183722311;2.9530557168998586;4.5634445318630075;0.0;enero
T.HUEVOS KGS;3.255127840506358;3.5725151461414835;3.4124333855872413;3.593539165820988;;3.236560540705964;4.618329933185338;;3.732595988759569;3.8489929465975696;3.585272519029765;3.0494374617775586;3.381617887448143;3.4487464718312;3.1819263112886125;3.257486363532908;3.1697194243442417;3.202334966916128;3.0348961959710166;3.219651464993725;3.343453499001667;3.071699138024591;3.686629800101505;3.681141379020575;3.4032407816648096;3.2502858987700463;1.0;enero
T.HUEVOS UNDS.;0.1976468400152786;0.2219113945799284;0.21839573667758344;0.22235780109588713;;0.20713987678245915;0.2955730931044672;;0.22096872282525645;0.23168244462709053;0.22945744121790496;0.19516399755376376;0.21642354479668113;0.21957938247004535;0.19146475924700404;0.1936324105109525;0.1911095451196911;0.19146635897670441;0.18956871107250042;0.2060576937595984;0.21398102393610666;0.19658874483357383;0.23368906719746974;0.23295166721849336;0.2178074100265478;0.2041877188197619;1.0;enero
TOTAL HUEVOS GALLINA;0.20438476873777583;0.22451645502189563;0.21839573667758344;0.22532544722740075;;0.20713987678245915;0.2955730931044672;;0.23320391413067737;0.2339919462546974;0.22945744121790496;0.19516399755376376;0.21642354479668113;0.22016210659836705;0.19919134083764692;0.20316738925841302;0.19855082417773398;0.20005247502593482;0.1923963605673595;0.2060576937595984;0.21398102393610666;0.19658874483357383;0.23545002665384732;0.23494239685208412;0.2178074100265478;0.20553451972806058;2.0;enero
OTRAS AVES;0.09350242166961395;0.1498375365520181;;0.1498375365520181;;;;;0.0955653846607676;0.20123303066185932;;;;0.12500001452287532;0.09017876736132367;0.09019672759849114;0.09017510681568562;0.08993196978380127;0.09305169899083553;;;;0.080003909405099;0.085126643452285;;0.14382469193008118;2.0;enero
MIEL;7.7297559286432715;9.185064244307656;9.159667563794446;9.19154047517479;;;8.823295070319194;;10.835090162085837;9.537637780739841;;9.800163484234792;;8.56370848381505;6.487909525936565;6.472768962856701;6.4915871151274525;6.738748377735622;5.5961686607798775;;7.877790622450412;15.000001977171578;7.0000003927202235;10.570971746468755;11.80489782243407;8.633623626237469;1.0;enero
GRANEL;9.918105542693787;9.300293325119119;10.537393597343124;9.113105332639815;;;7.051439657961882;;10.835090162085837;9.694637297475857;;9.800163484234792;;8.615474871772921;;;;;;;8.446835139744332;15.000001977171578;7.0000003927202235;10.570971746468755;15.18077003706277;9.249056376428106;2.0;enero
ENVASADA;6.53864103321864;8.468857925572816;7.425527209944163;10.397877097717389;;;14.450214858609412;;;5.990161662896763;;;;7.500255390352838;6.487909525936565;6.472768962856701;6.4915871151274525;6.738748377735622;5.5961686607798775;;5.520442892952589;;;;7.4331180596951665;6.53150316413316;2.0;enero
TOTAL CARNE;8.967450432407983;10.461973442181822;10.321889630885828;10.46546957866176;15.607042968913545;7.471976190032838;15.228443767287466;;10.35653948991929;11.482897806143503;8.186617391646545;17.595811721264234;15.41016825919726;12.197408965319617;8.35524107361719;9.121980247920627;8.215376435696754;8.461057267388714;7.276017196978063;10.328596678209133;12.282866344590545;12.281876333328642;8.734032270516483;12.195610901845088;8.617531758481066;11.679807123563556;1.0;enero
CARNE CERTIFICADA;10.483750498646229;11.974763768422537;10.332975244504569;12.005895624806891;16.865265094078207;9.217195805113624;9.153580371811861;;11.983161219426137;12.50738600051576;;12.394892331064707;;7.4205925990663655;9.571932439270617;9.980867114517912;9.480713262580196;9.877778342565078;7.769063370359663;8.862509603124892;8.900710822077874;13.600869661301527;14.47296137811548;10.381422530147297;11.907443466777899;9.862019245327847;2.0;enero
CARNE FRESCA;7.970874272179608;9.57511205946175;8.361832976994796;9.598229077298502;15.803757057571243;11.161500629345708;7.777129167464998;;9.464011848591252;10.490575342825103;;14.056199386985524;;11.06478496841436;7.337034104046106;7.839268964532246;7.250241306885645;7.463154593916588;6.495235994011504;9.140129095006632;8.934716991696991;10.819125570732329;8.531281541836615;8.789510473851859;7.722495142119298;7.8620542137374905;2.0;enero
SALCHICHAS FRESCAS;8.61859412602394;9.389779465569173;9.998782814589115;9.380504212662528;;;;;9.378442699932515;9.408974726201825;;;;8.511477539629315;7.99349451655238;8.62694314096488;7.929287924355512;8.086206379635394;5.940855183726557;8.70516303870258;;;;7.242905778704825;8.66390891353008;6.875309400432326;3.0;enero
CARNE VACUNO;12.338289582241813;13.142164040842632;12.213574794467961;13.152746779864808;26.70357291597796;20.344922783210745;;;12.955265074308683;14.44421972326907;;16.281791824633316;;7.622007748522115;11.720805660086276;11.696915910241362;11.727137230654153;11.975421695795186;10.627794363037747;11.275657131211783;10.42226625118779;17.917531296887855;15.726483244787357;13.913482640686926;13.057027731919142;11.58119126871661;3.0;enero
TERNERA;12.300643453866718;13.122294428838094;12.517347119889186;13.129080318386304;26.70357291597796;;;;12.938335241266326;14.556465834646955;;16.90008684091206;;7.622007748522115;11.452750434349744;12.171248904571517;11.297865350967772;11.563524213809236;10.218645033350006;11.275657131211783;9.147143027227242;17.124764309652143;15.726483244787357;13.913482640686926;12.399839351439702;11.776696924953875;4.0;enero
AÑOJO;12.355443524865006;12.103315877513896;10.832961237436498;12.124242911383769;;20.344922783210745;;;11.640011863741488;13.564541625890719;;14.890644430826777;;;12.57983266809892;11.584152352399471;12.891394651963871;13.005137181230715;12.20167881019059;;10.702168818124326;23.9999984664474;;;11.258266695002098;9.47365548498783;4.0;enero
MAYOR;12.655722730513308;16.66591445929759;;16.66591445929759;;;;;16.672722689802363;16.41016927402049;;;;;11.067059352940348;10.23292545753817;11.517338813977231;11.825260047231566;10.3846186603734;;;;;;18.041428765121495;14.067519888398333;4.0;enero
CARNE POLLO;5.517628892104596;6.034762257197059;5.23823181035054;6.052933128554329;12.000343458952644;7.018996302362741;5.553494835872044;;5.910068716830058;7.2445656832737315;;;;6.346186045042786;5.338176992108397;5.433795783809115;5.325271250204461;5.373316650528288;5.182835753682762;5.941764843704503;2.9001193819228974;5.108010535854561;6.24047214313917;7.2590576163057055;5.922095022168039;5.550535613827878;3.0;enero
POLLO ENTERO;4.367256641263911;4.85867683357385;4.082579098824704;4.879923488077371;;5.422566171027409;;;4.635137584139074;6.890097982837561;;;;;3.8752119801702345;4.225404760393032;3.81957115306141;3.8919499642378916;3.576091194589575;3.70000174544439;;5.102041538933278;6.24047214313917;7.635987180522102;5.977102611211215;5.218713289999218;4.0;enero
POLLO FILETES;7.695347897908886;7.8337488987294295;8.05940270730551;7.827871407170716;12.000343458952644;;;;7.871265784621842;7.4789817104963525;;;;5.999999064795417;7.665676450991188;7.8076390988071545;7.649431091895412;7.770945513533867;7.287318542507586;;;;;;7.941464068604357;6.920264523306616;4.0;enero
POLLO POR PIEZAS;5.550261412670393;6.198572923834732;5.182716303045987;6.218844950824443;;9.266974323218864;5.553494835872044;;6.080198202078896;7.36719583053106;;;;6.4645849809324964;5.385265022117658;5.514838403247048;5.36830362567045;5.408328544529761;5.254658301543217;6.481272693973085;2.9001193819228974;5.119228214850888;;3.8828535768135994;5.626138198878696;5.552613273929175;4.0;enero
CARNE CONEJO;8.164498984205053;9.58741297604865;10.459127081483222;9.549061382753097;;;;;9.515362580953074;9.534657023080113;;;;10.595258274951547;7.717762008364833;7.80514743817873;7.703945561243602;7.901300846415593;6.787235212274223;;;8.888888674693964;8.719003601892094;6.881361333713989;9.662512582052731;7.815677462357407;3.0;enero
CARNE OVINO/CAPRINO;15.067042610337456;15.91417433481495;16.76832781871661;15.907623282268247;;;;;16.080376825752904;14.9666617963366;;;;24.55202266659833;14.659151258410477;14.883900208544917;14.613164304815358;14.678706424740607;13.838778291598482;21.192245518835094;;13.075414980983041;14.305137075019225;11.158389936703724;15.786913648954464;14.29107112231459;3.0;enero
CORDERO;14.905910998225092;15.880155899441984;16.76832781871661;15.871803060931928;;;;;16.09090860257411;14.723493228665545;;;;24.55202266659833;14.44505452248834;14.015404969533556;14.530001512873664;14.592646684337677;13.73068289395106;21.192245518835094;;13.075414980983041;14.313281398164762;10.3741253722558;15.786913648954464;14.727071954904613;4.0;enero
CABRITO;17.60016385164163;17.415929051385735;;17.415929051385735;;;;;17.088202818118667;19.355282322670156;;;;;18.28833763772111;21.82759686466055;17.327163436134988;17.67242989585398;15.089765505474942;;;;14.234760205166994;15.000001477070402;;9.058453496952751;4.0;enero
OTRO OVINO/CAPRINO;10.10379498078775;12.05294394351146;;12.05294394351146;;;;;12.699098837996265;9.424117757578507;;;;;7.038530275467815;10.822626265905527;6.244865546690544;6.138627552651797;7.765269366989065;;;;;;;;4.0;enero
OVINO/CAPRINO ENTE;14.806916420625319;16.559689104593804;16.949575147182248;16.551131413355392;;;;;16.51251210510888;16.749655853540418;;;;;14.270914925178596;14.20940982588172;14.27973734302541;14.48594619260003;12.02778583871489;19.166752052310535;;;14.100427835832198;11.158389936703724;;11.928555763247697;4.0;enero
OVINO/CAPRINO PIEZ;15.196140988988594;15.650311576453074;15.948178582425445;15.649735019156516;;;;;15.901012363063115;14.344745503383615;;;;24.55202266659833;14.852136251909366;15.103126658828074;14.792529045017389;14.781395360354395;14.930127813917537;21.640357768434214;;13.075414980983041;15.598771236013118;;15.786913648954464;14.829538952534744;4.0;enero
CARNE CERDO;7.17356578695813;8.39433935793417;8.424470144340836;8.393530321332534;8.049999885426477;7.414860775327678;9.681359695353137;;8.39899105590012;8.387671130171393;;8.303990829825947;;7.443533496970692;6.728604447350616;6.9962473239654015;6.6795346912748785;6.809698031239738;6.2254933387784215;7.268576750992024;8.606447394410806;10.2373513991564;6.461334286416682;7.559354279198721;6.794130679171824;7.182495672665524;3.0;enero
CARNE CERDO ADOBAD;7.766614334462497;8.248763980823965;11.158073579776879;8.151457721122288;;;;;8.151616705084212;8.149100406702484;;;;;7.642041858536478;7.873890762627652;7.5872165035250365;7.666722223063986;7.390281331650992;9.783396132148136;;8.395350235494538;;4.680987818673767;7.610139813093824;7.078282506414555;4.0;enero
CARN.CERDO IBERICO;10.41218540613061;10.875002688997109;8.479234297496347;11.02581229436605;;;;;10.579929806248673;15.720768691213125;;;;;10.100352434561673;11.15905486193013;9.896970482569404;10.026807098452128;9.336078185886572;6.573243594507182;;16.30403738803064;4.200318879687677;9.823297744774893;6.750886520807764;9.751417626605429;4.0;enero
CARNE DESPOJOS;6.0994305100391335;6.852124561344392;9.034224914641726;6.80960962198908;;;;;6.797107627972306;6.846135756401212;;;;8.112213794022466;5.603648612220193;5.915244291706039;5.559871800914361;5.461205448949452;7.277213061741125;8.79489756997985;11.999943923976423;9.000585624246236;4.445318176781169;;4.78593623276446;6.455058122222656;3.0;enero
DESPOJOS CERDO;6.3245263907526;6.707808565611863;4.157753022403044;6.743259566211622;;;;;6.696100549935736;6.9009406674606835;;;;8.112213794022466;6.031018927283901;6.075692862047498;6.025103460352003;5.8562079282652135;7.933739995450593;8.79489756997985;;9.000585624246236;4.445318176781169;;5.194916856914139;6.482291297745089;4.0;enero
DESPOJOS CORDERO;6.999310525540034;6.820164432956922;;6.820164432956922;;;;;7.059105177373494;6.254317775983201;;;;;7.3600616131384875;8.62377180517432;7.185261863383564;7.185261863383564;;;;;;;6.000471524765766;8.996505113372931;4.0;enero
DESPOJOS POLLO;4.599406092345963;5.610617152862386;;5.610617152862386;;;;;5.487967321807852;6.9085292094703545;;;;;4.388472853881977;4.836716985653324;4.338217496560444;4.342320134575569;4.143705197418868;;;;;;3.7593935750407836;;4.0;enero
