Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;99.544;60.081;5.752;59.336;12.748;7.396;2.673;0.898;26.309;11.327;0.367;30.587;1.909;36.315;98.916;45.694;97.257;94.475;54.65;2.054;7.191;6.419;4.796;3.795;9.505;21.223;0.0;enero
T.HUEVOS KGS;78.21;11.427;1.222;10.375;0.003;0.182;0.112;0.0;2.23;2.722;0.37;1.166;0.122;4.072;68.886;12.347;63.153;54.235;16.407;0.3;0.626;0.188;2.674;1.618;2.369;2.222;1.0;enero
T.HUEVOS UNDS.;78.21;11.427;1.222;10.375;0.003;0.182;0.112;0.0;2.23;2.722;0.37;1.166;0.122;4.072;68.886;12.347;63.153;54.235;16.407;0.3;0.626;0.188;2.674;1.618;2.369;2.222;1.0;enero
TOTAL HUEVOS GALLINA;77.898;11.365;1.222;10.311;0.003;0.182;0.145;0.0;2.15;2.658;0.37;1.166;0.122;4.072;68.478;12.213;62.73;53.718;16.285;0.3;0.626;0.188;2.639;1.618;2.37;2.246;2.0;enero
OTRAS AVES;3.555;0.239;0.016;0.248;0.0;0.0;0.031;0.0;0.078;0.132;0.0;0.0;0.0;0.0;2.894;0.459;2.486;2.241;0.247;0.0;0.0;0.0;0.142;0.0;0.076;0.135;2.0;enero
MIEL;8.967;1.298;0.183;1.115;0.0;0.0;0.081;0.0;0.114;0.409;0.0;0.016;0.0;0.456;6.558;0.975;5.629;4.463;1.185;0.03;0.059;0.112;0.03;0.516;0.197;0.451;1.0;enero
GRANEL;2.267;1.178;0.149;1.029;0.0;0.0;0.069;0.0;0.114;0.384;0.0;0.0;0.0;0.418;0.0;0.0;0.0;0.0;0.0;0.005;0.035;0.112;0.03;0.516;0.0;0.339;2.0;enero
ENVASADA;6.955;0.12;0.034;0.084;0.0;0.0;0.012;0.0;0.0;0.026;0.0;0.016;0.0;0.031;6.558;0.975;5.629;4.463;1.185;0.024;0.024;0.0;0.0;0.0;0.197;0.116;2.0;enero
TOTAL CARNE;97.542;31.771;2.031;30.701;0.069;1.265;0.154;0.083;25.854;4.787;0.0;0.188;0.226;0.958;95.103;29.555;91.737;85.231;38.393;0.784;0.697;0.847;1.041;0.744;4.688;6.514;1.0;enero
CARNE CERTIFICADA;51.255;16.435;0.477;16.219;0.025;0.143;0.025;0.0;14.126;2.285;0.0;0.031;0.042;0.033;40.715;7.009;37.196;32.522;8.237;0.297;0.101;0.291;0.252;0.262;1.287;1.192;2.0;enero
CARNE FRESCA;91.832;28.627;1.032;28.1;0.034;0.118;0.047;0.0;24.677;4.347;0.0;0.058;0.072;0.134;84.833;19.818;80.712;72.474;28.405;0.394;0.194;0.646;0.946;0.63;3.396;3.424;2.0;enero
SALCHICHAS FRESCAS;9.015;4.369;0.033;4.337;0.0;0.0;0.0;0.0;3.619;0.684;0.0;0.016;0.0;0.0;4.944;0.686;4.277;3.945;0.329;0.0;0.051;0.0;0.0;0.0;0.133;0.108;3.0;enero
