Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;5954653.993199999;970573.27923;42649.78312;927923.429222;120589.59380500001;36647.970467;6764.804303;2872.7042420000002;256016.502384;140419.170827;1236.5242;112827.298532;7012.03687;243536.811239;4463080.4188;772743.8411000001;3690336.6487;3012196.8466999996;678139.89719;22053.0209;48925.141707;39195.683854;78206.41223;21571.001638;153041.35769;158007.92359;0.0;enero
T.HUEVOS KGS;79853.17;8913.649300000001;919.94655;7993.7027;3.797534;84.02080000000001;81.18733;0.0;1701.95579;2248.59245;437.65270000000004;588.0049;100.64760000000001;2747.844;56546.421;7859.6673;48686.7486;39765.9056;8920.84708;340.46340000000004;674.1850999999999;199.88879999999997;7268.1051;2399.446;1561.6818999999998;1949.3355900000001;1.0;enero
T.HUEVOS UNDS.;79853.17;8913.649300000001;919.94655;7993.7027;3.797534;84.02080000000001;81.18733;0.0;1701.95579;2248.59245;437.65270000000004;588.0049;100.64760000000001;2747.844;56546.421;7859.6673;48686.7486;39765.9056;8920.84708;340.46340000000004;674.1850999999999;199.88879999999997;7268.1051;2399.446;1561.6818999999998;1949.3355900000001;1.0;enero
TOTAL HUEVOS GALLINA;78557.35;8782.998;894.9439;7888.054;3.797534;84.02080000000001;60.738910000000004;0.0;1674.927;2190.421;437.65270000000004;588.0049;100.64760000000001;2747.844;55621.61;7725.455;47896.15;39040.44;8855.714;340.46340000000004;674.1850999999999;199.88879999999997;7099.021;2399.446;1538.201;1901.543;2.0;enero
OTRAS AVES;1295.82;130.6513;25.002650000000003;105.64869999999999;0.0;0.0;20.44842;0.0;27.02879;58.17145;0.0;0.0;0.0;0.0;924.811;134.2123;790.5986;725.4656;65.13308;0.0;0.0;0.0;169.0841;0.0;23.480900000000002;47.79259;2.0;enero
MIEL;10110.57;2093.769;438.0597;1655.709;0.0;0.0;102.2623;0.0;188.7595;632.0260999999999;0.0;26.62489;0.0;706.0361;5934.561;1025.43;4909.131;4080.456;828.6745999999999;52.65842;40.88573;418.2168;28.52288;786.2376999999999;184.5301;571.1912;1.0;enero
GRANEL;3608.135;1932.041;386.4388;1545.603;0.0;0.0;92.48953999999999;0.0;188.7595;598.3041999999999;0.0;0.0;0.0;666.0493;0.0;0.0;0.0;0.0;0.0;6.3563909999999995;14.19912;418.2168;28.52288;786.2376999999999;0.0;422.5604;2.0;enero
ENVASADA;6502.438;161.7272;51.62089;110.1063;0.0;0.0;9.772708;0.0;0.0;33.72191;0.0;26.62489;0.0;39.9868;5934.561;1025.43;4909.131;4080.456;828.6745999999999;46.30203;26.68661;0.0;0.0;0.0;184.5301;148.6308;2.0;enero
TOTAL CARNE;1193181.0;283886.8;7325.701;276561.1;250.2606;2929.026;132.8328;50.89528;235827.7;33979.83;0.0;570.0444;1257.415;1563.029;823697.5;123100.6;700596.9;582467.5;118129.5;2989.201;1781.958;1522.623;22499.28;6696.602;19571.08;30536.11;1.0;enero
CARNE CERTIFICADA;238099.9;87538.34;1349.622;86188.73;171.09570000000002;332.5299;19.02759;0.0;75097.41;10338.51;0.0;134.6944;57.181940000000004;38.278;127157.2;19829.75;107327.5;93439.33;13888.14;806.8174;307.3494;438.6062;11941.13;3059.457;3022.554;3828.45;2.0;enero
CARNE FRESCA;804234.4;231017.9;4300.741;226717.1;209.2314;262.24109999999996;46.74843;0.0;199451.6;25773.85;0.0;371.14340000000004;288.09990000000005;314.1904;517452.2;72616.77;444835.4;369677.0;75158.42;1780.335;779.0259;1123.859;21218.7;4380.406;11357.06;15124.95;2.0;enero
SALCHICHAS FRESCAS;9237.152;4845.281;24.06564;4821.215;0.0;0.0;0.0;0.0;4154.887;653.4894;0.0;12.838899999999999;0.0;0.0;4123.678;710.164;3413.514;3236.247;177.26739999999998;0.0;35.626580000000004;0.0;0.0;0.0;105.8836;126.6827;3.0;enero
