Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2259518.71587;289728.03159100004;15744.809991;273983.208122;11266.681326;4782.207834;1613.301579;147.349083;33016.519100000005;38859.412141;478.697812;39222.397103;2556.603776;142040.04709;1758616.63778;291825.88226;1466790.63519;1167560.0077;299230.74779500003;10189.499485999999;30536.840521000002;13093.851225;33766.288988;8136.879303999999;60690.34302;54760.398975000004;0.0;enero
T.HUEVOS KGS;31004.9281;3133.41111;341.776121;2791.635561;0.959273;41.072192;13.937835999999999;0.0;560.287159;758.73847;133.168512;207.265344;42.73193;1033.47456;23430.0572;3029.76282;20400.293100000003;16465.39215;3934.8983620000004;114.300672;210.473536;91.584704;2045.24371;683.5264;618.665818;677.668517;1.0;enero
T.HUEVOS UNDS.;497840.23;49841.199;5527.7555;44313.4521;14.98864;641.753;272.26027;0.0;8976.1453;12273.295;2080.758;3238.521;667.6864;16148.04;376220.42;48854.55;327365.85;265147.395;62218.412200000006;1785.948;3288.649;1431.011;33740.299;10680.1;9930.424;10922.2397;1.0;enero
TOTAL HUEVOS GALLINA;481972.7;48796.28;5305.529;43490.76;14.98864;641.753;207.6895;0.0;8713.439;11777.88;2080.758;3238.521;667.6864;16148.04;364219.5;47059.58;317159.9;255813.3;61346.56;1785.948;3288.649;1431.011;31626.68;10680.1;9617.807;10526.78;2.0;enero
OTRAS AVES;15867.53;1044.919;222.2265;822.6921;0.0;0.0;64.57077;0.0;262.7063;495.415;0.0;0.0;0.0;0.0;12000.92;1794.97;10205.95;9334.095;871.8521999999999;0.0;0.0;0.0;2113.619;0.0;312.617;395.4597;2.0;enero
MIEL;1423.846;226.1707;43.47375;182.697;0.0;0.0;11.81415;0.0;18.87595;72.19091;0.0;2.529344;0.0;77.28662;942.86;140.52970000000002;802.3303000000001;648.5763000000001;153.754;8.722412;5.525702;52.521699999999996;4.753927;101.7822;22.93976;58.56995;1.0;enero
GRANEL;408.283;206.7716;36.9922;169.77939999999998;0.0;0.0;11.221879999999999;0.0;18.87595;67.69986;0.0;0.0;0.0;71.98171;0.0;0.0;0.0;0.0;0.0;0.739159;1.419912;52.521699999999996;4.753927;101.7822;0.0;40.294489999999996;2.0;enero
ENVASADA;1015.563;19.39912;6.481557;12.91756;0.0;0.0;0.592266;0.0;0.0;4.491049;0.0;2.529344;0.0;5.304902;942.86;140.52970000000002;802.3303000000001;648.5763000000001;153.754;7.983252;4.10579;0.0;0.0;0.0;22.93976;18.27546;2.0;enero
TOTAL CARNE;166566.2;34515.59;979.8374;33535.75;19.17727;605.4286;19.67856;4.473427;28926.55;3659.843;0.0;71.07413000000001;105.7748;123.75019999999999;121285.7;16949.78;104335.9;84853.91;19482.04;377.68129999999996;199.4153;186.10760000000002;3140.156;762.6721;2669.551;3429.281;1.0;enero
CARNE CERTIFICADA;27638.71;8886.537;140.3681;8746.168;9.793456;58.96987;2.1591;0.0;7691.586;958.8198000000001;0.0;14.7147;6.6257150000000005;3.500351;15849.43;2404.421;13445.01;11462.02;1982.992;100.063;43.45264;50.30716;1458.202;396.4622;354.7267;499.53159999999997;2.0;enero
