Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2.652343038892473;3.309418174887224;2.7929432953008932;3.3378929295864896;9.922588478408306;7.2675382978517415;4.919531331442724;15.15111476523072;7.916172166208476;3.6047614422503846;2.0131544350324453;2.775033459563795;2.475219381438609;1.7319373429902885;2.5720487358253163;2.683673220739588;2.550161191783511;2.606704309104193;2.331815965109374;1.9452063672673265;1.6352628493589576;3.100586745502709;2.3189235555748717;2.0902120432795246;2.63168781687945;2.5722341909176514;0.0;enero
T.HUEVOS KGS;2.5822473126599963;3.0706539313886587;2.978440665608986;3.082385605214653;3.0476499567163584;2.1599917835346893;4.6972311319366495;;2.9396606075605187;3.1285160273819685;2.5390237415444603;2.9705840244356807;2.324661792839574;3.2641481720563372;2.3974990303044996;2.5097120730382554;2.3799995481054497;2.408503352784555;2.2627442139034635;2.6798248708732726;2.6496442351745797;2.972656349584031;3.5750570385920604;3.4876594665282745;2.5089225062723584;2.697949336025871;1.0;enero
T.HUEVOS UNDS.;0.1621063898035754;0.19432932952740054;0.1906202025989751;0.19479529691086325;0.19504961254496267;0.1382394761347353;0.25133191835822705;;0.18261030767922748;0.1975406125627038;0.16249751945884547;0.19011737756388356;0.1487783547417327;0.20832541140273025;0.15011254504726806;0.15698113554320436;0.14904015601296958;0.1501570948212566;0.1443389229248402;0.1610951861034378;0.1695772310511731;0.19025000637337797;0.22704259984586359;0.2232102058578096;0.15548372708782945;0.17023265242641342;1.0;enero
TOTAL HUEVOS GALLINA;0.1639958606823696;0.1947740888290925;0.1906202025989751;0.19530381238587816;0.19504961254496267;0.1382394761347353;0.2569999247381229;;0.1857929676238117;0.19891355750447448;0.16249751945884547;0.19011737756388356;0.1487783547417327;0.2071053730577671;0.15208367152269076;0.15914669942368964;0.15098244395832777;0.15255613547166308;0.1445366687988185;0.16762322218982828;0.1695772310511731;0.19025000637337797;0.2283962503018853;0.2232102058578096;0.15891521770095346;0.1717104270898096;2.0;enero
OTRAS AVES;0.08055151051388776;0.16113798403028395;;0.16113798403028395;;;0.22783240494982376;;0.0943994445970319;0.11250914902569506;;;;0.5778334364987633;0.07538945650465219;0.07852812328243845;0.07487364076828319;0.0742998298379688;0.09385098168047233;0.0769077024837066;;;0.08000392907815493;;0.06753012916300048;0.08333332664475757;2.0;enero
MIEL;6.731142079078565;8.865576693901698;9.859966746934013;8.445029290656187;8.500180345192415;;11.243023256897969;;12.602137089851981;7.295370241513026;;13.963760905009599;;7.3642166400642735;5.921362960487106;7.262592483942916;5.611450569801807;5.7187393023825654;5.265685220411876;6.402961436631291;6.898252869180734;;;7.443634027723334;8.373644634013203;7.939972995337843;1.0;enero
GRANEL;8.316615029179438;8.88729050171311;10.114147049897381;8.359704366211332;8.500180345192415;;11.668600053495215;;12.602137089851981;7.336976738039105;;13.999845906068938;;7.4840529749601075;;;;;;7.599850012563954;6.922065710679094;;;7.443634027723334;10.842359465445943;8.925337109334828;2.0;enero
ENVASADA;6.049479018935163;8.695472130887591;7.6407005714589395;9.085319926380723;;;10.482139970360636;;;5.990216043827594;;13.799584474899884;;6.6633809590311195;5.921362960487106;7.262592483942916;5.611450569801807;5.7187393023825654;5.265685220411876;5.780012985547996;6.697743151287712;;;;7.117970376739755;6.540311156687623;2.0;enero
TOTAL CARNE;7.10795763109311;8.196257842429626;7.583047003103142;8.21407489826728;5.758261101187734;5.174352774709433;6.7690436799162885;10.643640069408413;8.206530625243461;8.69345307414945;8.50876710714917;7.868017515733052;6.734658204434284;10.270537613897012;6.781570011966472;7.3133067190878505;6.699408135781042;6.862086377855681;6.04022668870322;6.299035858192948;9.035223474654996;7.813156938270215;7.045666536525785;7.849023323233293;7.798440442813328;7.004296288627777;1.0;enero
CARNE CERTIFICADA;8.376451833200136;9.653697218587395;8.521448137550758;9.668182028942981;;6.370869866411327;;;9.526721391100544;11.186436533938636;;10.71641972178124;;7.34637500499813;7.826440877766984;7.757056438139384;7.839710723132521;8.040683040770029;6.803702398335096;6.783080850920428;9.918728792003806;12.007049047516405;7.5318148158306135;8.025138895857602;8.546618713259145;7.195369289632298;2.0;enero
