Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;5532540.3706;915251.7125700001;40359.976497;874891.768131;112471.915111;37893.671199000004;8351.907134;3336.987604;230589.186294;138368.249077;1773.6199310000002;95177.252135;9368.399934000001;237560.63091;4156106.6369000003;710906.67165;3445199.8436999996;2797215.4362;647984.4494040001;15842.756128;54540.248644;38960.87977399999;57580.093953;15869.919563;141261.88794999997;137126.23861;0.0;enero
T.HUEVOS KGS;74097.2778;9019.51825;987.3913;8032.12725;9.315392;60.06414;136.78144;0.0;1515.93169;2109.5797000000002;477.3961;516.3953;93.63336;3113.0309300000004;51347.6854;7251.59725;44096.0932;35897.665799999995;8198.42334;274.48043800000005;513.3697999999999;313.4327;6271.28839;2490.296;1330.3838700000001;2536.81909;1.0;enero
T.HUEVOS UNDS.;74097.2778;9019.51825;987.3913;8032.12725;9.315392;60.06414;136.78144;0.0;1515.93169;2109.5797000000002;477.3961;516.3953;93.63336;3113.0309300000004;51347.6854;7251.59725;44096.0932;35897.665799999995;8198.42334;274.48043800000005;513.3697999999999;313.4327;6271.28839;2490.296;1330.3838700000001;2536.81909;1.0;enero
TOTAL HUEVOS GALLINA;73263.56;8920.626;987.3913;7933.235;9.315392;60.06414;112.6865;0.0;1488.642;2090.488;477.3961;516.3953;93.63336;3084.615;50684.91;7154.155;43530.76;35353.13;8177.626;265.0507;513.3697999999999;313.4327;6251.13;2490.296;1308.687;2516.054;2.0;enero
OTRAS AVES;833.7178;98.89225;0.0;98.89225;0.0;0.0;24.094939999999998;0.0;27.28969;19.0917;0.0;0.0;0.0;28.41593;662.7754;97.44225;565.3331999999999;544.5358;20.79734;9.429737999999999;0.0;0.0;20.15839;0.0;21.69687;20.76509;2.0;enero
MIEL;7753.892;1551.108;512.7302999999999;1038.378;26.84215;0.0;241.20129999999997;0.0;35.52981;467.08090000000004;0.0;75.60656;0.0;192.11679999999998;4280.153;985.3319;3294.821;2562.646;732.1750999999999;33.57243;400.2069;0.0;0.0;588.653;239.766;660.4329;1.0;enero
GRANEL;2880.517;1378.92;471.8994;907.0204;26.84215;0.0;160.5394;0.0;35.52981;455.2327;0.0;62.14323;0.0;166.7331;0.0;0.0;0.0;0.0;0.0;13.64034;358.9577;0.0;0.0;588.653;104.6692;435.6773;2.0;enero
ENVASADA;4873.375;172.188;40.83088;131.3571;0.0;0.0;80.66187;0.0;0.0;11.84824;0.0;13.46333;0.0;25.38367;4280.153;985.3319;3294.821;2562.646;732.1750999999999;19.932080000000003;41.249230000000004;0.0;0.0;0.0;135.0968;224.75570000000002;2.0;enero
TOTAL CARNE;1074559.0;258339.9;6748.676;251591.2;325.565;2767.515;181.906;75.91952;211306.1;34152.1;13.000290000000001;822.0308;611.8274;1335.25;753163.2;108706.6;644456.6;529444.0;115012.5;1227.478;1886.898;1442.433;18551.55;2696.634;19659.65;17591.08;1.0;enero
CARNE CERTIFICADA;200297.8;70639.24;787.6389;69851.6;0.0;471.5988;0.0;0.0;60548.04;8510.01;0.0;217.2259;0.0;104.725;109413.8;17411.07;92002.69;79030.37;12972.32;177.1291;510.4524;403.86609999999996;12083.17;591.7922;3409.612;3068.766;2.0;enero
