Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2085906.79617;276559.704517;14450.696713;262108.997079;11334.936983;5214.099967;1697.7038200000002;220.247002;29128.874594;38384.856056000004;881.015336;34297.695332999996;3784.8766069999997;137164.679699;1615873.98365;264900.60941699997;1350973.36388;1073085.05473;277888.33214099996;8144.511757;33352.588340999995;12565.647399;24830.526998;7592.492644;53677.296769;53310.168682999996;0.0;enero
T.HUEVOS KGS;28694.8804;2937.328156;331.512832;2605.815196;3.0565819999999997;27.807578000000003;29.119589;0.0;515.682554;674.306822;188.02348800000001;173.836288;40.278271999999994;953.703927;21417.18714;2889.41402;18527.77377;14904.55297;3623.2214360000003;102.424767;193.750464;105.438592;1754.178555;714.03072;530.2610450000001;940.2767709999999;1.0;enero
T.HUEVOS UNDS.;457090.42;46413.5716;5179.888;41233.6816;47.75908999999999;434.4934;544.2263;0.0;8301.457400000001;10679.2202;2937.867;2716.192;629.348;14943.11668;342061.254;46194.068;295867.197;239067.397;56799.8096;1703.8401000000001;3027.351;1647.478;27621.6375;11156.73;8556.418699999998;14902.0711;1.0;enero
TOTAL HUEVOS GALLINA;446740.3;45799.86;5179.888;40619.97;47.75908999999999;434.4934;438.469;0.0;8012.37;10509.53;2937.867;2716.192;629.348;14893.94;333269.9;44953.21;288316.7;231738.5;56578.21;1581.229;3027.351;1647.478;27369.67;11156.73;8235.127;14652.89;2.0;enero
OTRAS AVES;10350.12;613.7116;0.0;613.7116;0.0;0.0;105.7573;0.0;289.0874;169.6902;0.0;0.0;0.0;49.17668;8791.354;1240.858;7550.497;7328.897;221.5996;122.61110000000001;0.0;0.0;251.9675;0.0;321.2917;249.18110000000001;2.0;enero
MIEL;1151.943;174.9585;52.00122;122.9573;3.157833;0.0;21.453419999999998;0.0;2.8193479999999997;64.02429000000001;0.0;5.414484000000001;0.0;26.087880000000002;722.8324;135.6722;587.1603;448.11379999999997;139.0465;5.243265999999999;58.01569;0.0;0.0;79.08139999999999;28.63341;83.17823;1.0;enero
GRANEL;346.3569;155.1564;46.65736;108.49910000000001;3.157833;0.0;13.758239999999999;0.0;2.8193479999999997;62.04636;0.0;4.438851;0.0;22.27845;0.0;0.0;0.0;0.0;0.0;1.794817;51.85702;0.0;0.0;79.08139999999999;9.653729;48.81354;2.0;enero
ENVASADA;805.5859;19.80203;5.343866;14.45817;0.0;0.0;7.6951719999999995;0.0;0.0;1.977932;0.0;0.9756330000000001;0.0;3.809428;722.8324;135.6722;587.1603;448.11379999999997;139.0465;3.448449;6.158676000000001;0.0;0.0;0.0;18.979680000000002;34.36468;2.0;enero
TOTAL CARNE;151176.9;31519.25;889.9689000000001;30629.28;56.53877;534.8524;26.87322;7.132853;25748.53;3928.485;1.5278699999999998;104.4775;90.84758000000001;130.0078;111060.3;14864.22;96196.05;77154.96;19041.09;194.8676;208.838;184.61589999999998;2633.044;343.563;2520.972;2511.47;1.0;enero
CARNE CERTIFICADA;23912.01;7317.325;92.43017;7224.895;0.0;74.02424;0.0;0.0;6355.601;760.7436;0.0;20.27038;0.0;14.25533;13980.02;2244.546;11735.47;9828.813;1906.656;26.11337;51.46349;33.63575;1604.284;73.7423;398.9428;426.4918;2.0;enero
CARNE FRESCA;111323.3;26889.84;540.6249;26349.22;56.31032;29.64527;18.25531;0.0;22709.52;3317.618;0.0;90.04966999999999;81.09168;46.725629999999995;77592.18;9831.399;67760.78;54007.29;13753.49;140.8261;129.5897;149.7904;2593.734;270.48220000000003;1731.147;1825.71;2.0;enero
SALCHICHAS FRESCAS;1062.023;497.42409999999995;3.799337;493.6248;0.0;0.0;0.0;0.0;441.1492;50.70995;0.0;1.765683;0.0;0.0;510.2125;107.5799;402.63259999999997;376.7287;25.903869999999998;0.0;5.704966000000001;0.0;0.0;7.813988;14.766200000000001;26.10109;3.0;enero
CARNE VACUNO;15299.81;5141.432;27.234150000000003;5114.198;5.730899999999999;12.52026;0.363556;0.0;4401.725;641.4590999999999;0.0;14.29581;25.33479;12.7681;9472.038;1642.001;7830.037;6622.762;1207.275;11.593290000000001;47.61514;35.25255;82.74512;29.94612;241.51489999999998;237.6714;3.0;enero
TERNERA;10873.07;4284.078;27.234150000000003;4256.844;5.730899999999999;9.273142;0.363556;0.0;3726.842;470.5933;0.0;14.29581;16.97692;12.7681;6122.652;977.4005;5145.251;4367.211;778.0396999999999;8.829928;44.79572;14.59033;82.74512;25.814310000000003;125.8062;163.7615;4.0;enero
AÑOJO;3428.838;538.5333;0.0;538.5333;0.0;1.320537;0.0;0.0;440.3031;88.55183;0.0;0.0;8.357869;0.0;2703.536;495.2025;2208.333;1872.165;336.1678;2.763363;2.819419;18.471529999999998;0.0;4.131805999999999;98.66557;59.91735;4.0;enero
