Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;98.911;58.19;4.976;57.685;12.128;6.83;2.485;1.093;24.071;10.097;0.468;27.425;1.744;37.283;98.174;43.354;96.524;92.717;55.419;1.943;8.685;5.994;6.585;3.393;7.342;21.232;0.0;enero
T.HUEVOS KGS;75.485;9.02;1.262;7.799;0.0;0.041;0.0;0.0;1.951;1.847;0.391;0.563;0.124;3.403;67.022;12.705;61.171;50.796;16.96;0.279;0.365;0.55;2.914;1.388;2.131;2.689;1.0;enero
T.HUEVOS UNDS.;75.485;9.02;1.262;7.799;0.0;0.041;0.0;0.0;1.951;1.847;0.391;0.563;0.124;3.403;67.022;12.705;61.171;50.796;16.96;0.279;0.365;0.55;2.914;1.388;2.131;2.689;1.0;enero
TOTAL HUEVOS GALLINA;75.225;8.908;1.262;7.688;0.0;0.041;0.0;0.0;1.9;1.776;0.391;0.563;0.124;3.403;66.761;12.693;60.884;50.487;16.933;0.279;0.365;0.55;2.917;1.38;2.134;2.494;2.0;enero
OTRAS AVES;2.206;0.118;0.0;0.118;0.0;0.0;0.0;0.0;0.048;0.067;0.0;0.0;0.0;0.0;1.888;0.237;1.65;1.545;0.1;0.0;0.0;0.0;0.048;0.119;0.008;0.249;2.0;enero
MIEL;5.495;0.501;0.099;0.403;0.0;0.0;0.014;0.0;0.046;0.134;0.0;0.017;0.0;0.177;4.396;0.751;3.685;3.01;0.681;0.037;0.12;0.0;0.022;0.239;0.125;0.052;1.0;enero
GRANEL;0.899;0.432;0.099;0.333;0.0;0.0;0.0;0.0;0.046;0.113;0.0;0.0;0.0;0.157;0.0;0.0;0.0;0.0;0.0;0.037;0.12;0.0;0.022;0.239;0.0;0.052;2.0;enero
ENVASADA;4.608;0.067;0.0;0.067;0.0;0.0;0.014;0.0;0.0;0.021;0.0;0.017;0.0;0.015;4.396;0.751;3.685;3.01;0.681;0.008;0.0;0.0;0.0;0.0;0.125;0.0;2.0;enero
TOTAL CARNE;96.019;28.342;1.708;27.599;0.061;1.351;0.203;0.01;23.519;3.982;0.0;0.195;0.121;0.586;93.287;27.154;89.477;81.378;38.975;0.763;0.72;0.867;0.697;0.736;3.62;5.064;1.0;enero
CARNE CERTIFICADA;45.572;14.777;0.405;14.586;0.0;0.19;0.068;0.0;12.894;1.754;0.0;0.0;0.013;0.038;35.601;6.465;32.008;26.22;9.039;0.11;0.186;0.507;0.096;0.347;0.758;1.135;2.0;enero
CARNE FRESCA;87.841;24.845;0.973;24.373;0.061;0.042;0.127;0.0;21.776;3.501;0.0;0.0;0.063;0.072;80.884;18.046;76.306;66.083;29.153;0.424;0.335;0.735;0.612;0.541;2.534;2.505;2.0;enero
