Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;6021274.2541000005;941254.64276;43376.720809;897877.9487999999;104342.367215;40154.732287;7326.857266;3281.4744130000004;217960.90782300002;139882.09087;1413.312942;95209.95611300001;9972.158365;278333.992996;4534627.2452;773479.8296;3761147.1596;2993427.5195;767719.8332100001;16985.923607999997;58159.908347000004;38260.806601000004;130606.15447400001;21697.872135999998;124012.359045;155669.15163;0.0;enero
T.HUEVOS KGS;89715.4151;7962.749870000001;1021.851;6940.89887;0.0;97.0536;0.0;0.0;1649.23198;1415.59189;526.5210999999999;391.1375;57.04577;2804.316;66908.8282;9215.839199999999;57692.981;45758.703299999994;11934.28776;384.70840000000004;360.30190000000005;528.6798;7199.49367;2027.43435;1439.042665;2904.1823;1.0;enero
T.HUEVOS UNDS.;89715.4151;7962.749870000001;1021.851;6940.89887;0.0;97.0536;0.0;0.0;1649.23198;1415.59189;526.5210999999999;391.1375;57.04577;2804.316;66908.8282;9215.839199999999;57692.981;45758.703299999994;11934.28776;384.70840000000004;360.30190000000005;528.6798;7199.49367;2027.43435;1439.042665;2904.1823;1.0;enero
TOTAL HUEVOS GALLINA;88917.71;7934.936;1021.851;6913.085;0.0;97.0536;0.0;0.0;1638.074;1398.936;526.5210999999999;391.1375;57.04577;2804.316;66325.9;9141.832;57184.06;45272.58;11911.49;384.70840000000004;360.30190000000005;528.6798;7144.741;1971.268;1436.796;2830.385;2.0;enero
OTRAS AVES;797.7051;27.813869999999998;0.0;27.813869999999998;0.0;0.0;0.0;0.0;11.15798;16.65589;0.0;0.0;0.0;0.0;582.9282;74.0072;508.921;486.1233;22.797759999999997;0.0;0.0;0.0;54.752669999999995;56.16635;2.246665;73.7973;2.0;enero
MIEL;5487.168;747.1139000000001;136.8268;610.2871;0.0;0.0;22.02811;0.0;88.68924000000001;173.9027;0.0;10.85822;0.0;314.80879999999996;3732.23;735.1643;2997.066;2510.748;486.3174;64.87693;222.2452;0.0;21.39411;462.3537;123.7727;113.1819;1.0;enero
GRANEL;1527.566;677.2614;136.8268;540.4345;0.0;0.0;0.0;0.0;88.68924000000001;145.2982;0.0;0.0;0.0;306.4471;0.0;0.0;0.0;0.0;0.0;31.13006;222.2452;0.0;21.39411;462.3537;0.0;113.1819;2.0;enero
ENVASADA;3959.602;69.85253999999999;0.0;69.85253999999999;0.0;0.0;22.02811;0.0;0.0;28.60448;0.0;10.85822;0.0;8.361726;3732.23;735.1643;2997.066;2510.748;486.3174;33.74688;0.0;0.0;0.0;0.0;123.7727;0.0;2.0;enero
TOTAL CARNE;1060468.0;242066.7;6386.147;235680.6;74.77008000000001;3512.868;421.72659999999996;3.5291819999999996;200337.4;29959.7;0.0;193.141;208.3723;969.0633;759327.6;108588.0;650739.5;523155.9;127583.6;2457.095;2173.39;1709.467;11772.34;5788.467;15981.68;19191.0;1.0;enero
CARNE CERTIFICADA;192832.0;74094.06;885.1331;73208.92;0.0;550.649;197.69889999999998;0.0;65233.91;7116.784;0.0;0.0;58.2474;51.63279;105554.7;16158.51;89396.23;72569.95;16826.28;302.119;611.0578;855.9428;4069.615;1222.519;2695.771;3426.229;2.0;enero
CARNE FRESCA;672680.1;184454.0;3313.099;181140.8;74.77008000000001;33.47144;276.88579999999996;0.0;159596.2;20927.16;0.0;0.0;156.0035;76.3687;449610.9;61914.98;387696.0;308321.0;79374.95;1335.154;1013.584;1272.019;11687.54;1913.478;9858.478;11534.88;2.0;enero
SALCHICHAS FRESCAS;8828.081;4463.179;110.3238;4352.856;0.0;0.0;0.0;0.0;4128.316;224.53920000000002;0.0;0.0;0.0;0.0;4025.726;579.462;3446.264;3281.295;164.9695;24.32934;50.84872;0.0;0.0;0.0;109.97510000000001;154.0226;3.0;enero
CARNE VACUNO;142986.0;53289.68;371.99629999999996;52917.69;15.95018;0.0;142.9415;0.0;48060.35;4622.274;0.0;0.0;40.266400000000004;35.911190000000005;82087.42;14172.26;67915.16;56804.67;11110.49;216.7918;279.6386;786.9403000000001;1595.67;829.1216;1939.324;1961.444;3.0;enero
TERNERA;108462.0;46437.65;371.99629999999996;46065.66;15.95018;0.0;117.3447;0.0;41824.33;4031.85;0.0;0.0;40.266400000000004;35.911190000000005;56250.96;8723.502;47527.45;39995.25;7532.202;216.7918;238.276;173.795;1595.67;767.9802;1418.279;1362.626;4.0;enero
AÑOJO;27375.14;4756.491;0.0;4756.491;0.0;0.0;25.59684;0.0;4458.141;272.7534;0.0;0.0;0.0;0.0;20889.45;3994.703;16894.75;13801.88;3092.867;0.0;41.36259;592.4968;0.0;61.141349999999996;478.153;556.0444;4.0;enero
MAYOR;7148.869;2095.543;0.0;2095.543;0.0;0.0;0.0;0.0;1777.872;317.6707;0.0;0.0;0.0;0.0;4947.013;1454.053;3492.96;3007.535;485.4248;0.0;0.0;20.64852;0.0;0.0;42.89167;42.77359;4.0;enero
CARNE POLLO;201287.8;42199.75;1184.099;41015.65;32.63892;9.619143;0.0;0.0;36066.12;4882.832;0.0;0.0;24.4346;0.0;148624.9;17760.21;130864.7;102034.4;28830.31;519.9533;11.985190000000001;155.7864;2925.56;0.0;3029.524;3820.292;3.0;enero
POLLO ENTERO;32454.03;7788.814;368.0624;7420.752;0.0;0.0;0.0;0.0;6688.164;732.5874;0.0;0.0;0.0;0.0;20800.67;2542.084;18258.59;14705.02;3553.569;37.475319999999996;0.0;0.0;2909.569;0.0;288.4504;629.0531;4.0;enero
POLLO FILETES;40968.48;7731.553;165.71110000000002;7565.842;32.63892;0.0;0.0;0.0;6755.429;777.7744;0.0;0.0;0.0;0.0;31669.65;3108.029;28561.62;21972.78;6588.839;140.4409;0.0;23.11936;0.0;0.0;565.0478;838.6736999999999;4.0;enero
POLLO POR PIEZAS;127865.3;26679.38;650.3259;26029.06;0.0;9.619143;0.0;0.0;22622.53;3372.471;0.0;0.0;24.4346;0.0;96154.62;12110.1;84044.52;65356.61;18687.91;342.03709999999995;11.985190000000001;132.667;15.99106;0.0;2176.026;2352.566;4.0;enero
