Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2360982.0598899997;288486.400749;16832.056627;271654.304852;10641.614362;5047.376144000001;1245.266335;264.791225;24572.202447;36448.183783;775.873972;33346.111346;3715.5183730000003;155597.41190799998;1834723.90946;305114.152579;1529609.81411;1191348.62772;338261.095537;8572.013347999999;34536.379768;15293.639165999999;61468.602858000006;8545.728465;50378.917554;58976.285623;0.0;enero
T.HUEVOS KGS;29508.57425;2501.9450580000002;354.69888000000003;2147.246178;0.0;40.121626;0.0;0.0;478.02161099999995;394.783607;165.851456;110.198848;19.71255;938.55616;22759.55918;2978.953949;19780.60651;15557.76829;4222.8363039999995;96.0608;110.95872;174.67872;1986.20108;581.9789420000001;457.786401;839.401888;1.0;enero
T.HUEVOS UNDS.;468056.765;39315.487799999995;5542.17;33773.3178;0.0;626.9004;0.0;0.0;7579.2567;6280.9211;2591.429;1721.857;308.0086;14664.94;361338.938;47286.1469;314052.811;247848.769;66204.01239999999;1500.95;1733.73;2729.355;31445.99;9282.9824;7174.23445;13535.042800000001;1.0;enero
TOTAL HUEVOS GALLINA;459777.9;39051.67;5542.17;33509.5;0.0;626.9004;0.0;0.0;7448.686;6147.674;2591.429;1721.857;308.0086;14664.94;354558.7;46409.12;308149.6;242208.9;65940.67;1500.95;1733.73;2729.355;30958.17;9058.317;7148.964;13037.99;2.0;enero
OTRAS AVES;8278.865;263.8178;0.0;263.8178;0.0;0.0;0.0;0.0;130.5707;133.24710000000002;0.0;0.0;0.0;0.0;6780.238;877.0269000000001;5903.211;5639.869;263.3424;0.0;0.0;0.0;487.82;224.6654;25.27045;497.0528;2.0;enero
MIEL;782.4896;79.09422;16.26163;62.832589999999996;0.0;0.0;1.115684;0.0;7.211832;20.80991;0.0;0.9500940000000001;0.0;32.74506;592.6328000000001;103.7983;488.8345;402.4558;86.37864;7.390215;26.01887;0.0;2.852477;44.88973;17.90725;11.704030000000001;1.0;enero
GRANEL;161.4001;72.31527;16.26163;56.05364;0.0;0.0;0.0;0.0;7.211832;17.36363;0.0;0.0;0.0;31.478180000000002;0.0;0.0;0.0;0.0;0.0;3.61968;26.01887;0.0;2.852477;44.88973;0.0;11.704030000000001;2.0;enero
ENVASADA;621.0895;6.7789459999999995;0.0;6.7789459999999995;0.0;0.0;1.115684;0.0;0.0;3.4462800000000002;0.0;0.9500940000000001;0.0;1.266888;592.6328000000001;103.7983;488.8345;402.4558;86.37864;3.7705349999999997;0.0;0.0;0.0;0.0;17.90725;0.0;2.0;enero
TOTAL CARNE;133863.4;26132.19;768.4274;25363.77;9.095096;609.0337;38.469800000000006;0.448621;21728.27;2862.844;0.0;15.16391;32.3872;68.05748;100581.9;13869.99;86711.94;67403.84;19308.1;295.617;185.3065;196.52970000000002;1496.197;574.7413;2004.629;2396.229;1.0;enero
CARNE CERTIFICADA;20798.85;7050.38;109.7658;6940.615;0.0;57.231120000000004;17.21671;0.0;6237.779;615.5595999999999;0.0;0.0;6.862819;5.965523;12310.12;1872.763;10437.36;8118.612;2318.744;35.34516000000001;53.75214;107.7684;409.8753;173.64929999999998;267.12390000000005;390.8364;2.0;enero
CARNE FRESCA;94494.48;21766.47;498.7004;21267.76;9.095096;5.278944;24.36585;0.0;18869.69;2323.504;0.0;0.0;26.645439999999997;9.184563;67524.34;8939.293;58585.05;45272.67;13312.38;185.7595;100.694;161.5516;1488.38;291.03270000000003;1335.473;1640.78;2.0;enero
SALCHICHAS FRESCAS;1094.385;517.3415;16.86961;500.4719;0.0;0.0;0.0;0.0;476.8015;23.67047;0.0;0.0;0.0;0.0;534.1181;69.62469;464.4933;437.1703;27.32302;3.243847;7.085915;0.0;0.0;0.0;13.1684;19.42701;3.0;enero
CARNE VACUNO;12601.67;4429.02;31.01972;4398.0;1.34647;0.0;12.294120000000001;0.0;4009.413;366.07559999999995;0.0;0.0;4.882588;3.9882220000000004;7388.26;1285.875;6102.384;5003.784;1098.601;23.6848;30.03523;98.32486;179.2664;106.7194;175.3775;170.98129999999998;3.0;enero
TERNERA;9597.704;3816.815;31.01972;3785.796;1.34647;0.0;10.068299999999999;0.0;3453.893;311.6171;0.0;0.0;4.882588;3.9882220000000004;5177.64;790.2896;4387.351;3609.785;777.5654000000001;23.6848;25.169040000000003;13.706209999999999;179.2664;101.24889999999999;144.3903;115.7837;4.0;enero
AÑOJO;2378.79;441.7951;0.0;441.7951;0.0;0.0;2.225812;0.0;412.031;27.53828;0.0;0.0;0.0;0.0;1768.316;362.0053;1406.31;1132.82;273.4901;0.0;4.866186;80.03038000000001;0.0;5.470559000000001;26.55041;51.761919999999996;4.0;enero
MAYOR;625.1736999999999;170.4093;0.0;170.4093;0.0;0.0;0.0;0.0;143.489;26.92022;0.0;0.0;0.0;0.0;442.3037;133.58010000000002;308.7236;261.1787;47.54491;0.0;0.0;4.588271;0.0;0.0;4.4367790000000005;3.435663;4.0;enero
CARNE POLLO;36893.95;7045.872;237.96970000000002;6807.902;3.9543310000000003;0.740801;0.0;0.0;6077.769;719.4643000000001;0.0;0.0;5.97429;0.0;27922.58;3365.234;24557.34;18833.15;5724.192;91.16798;0.923356;26.873540000000002;538.2414;0.0;542.1118;726.1814;3.0;enero
POLLO ENTERO;8552.999;1896.46;90.94881;1805.511;0.0;0.0;0.0;0.0;1642.37;163.1416;0.0;0.0;0.0;0.0;5872.283;703.3758;5168.908;4081.642;1087.266;12.834010000000001;0.0;0.0;535.5763000000001;0.0;79.53855;156.30710000000002;4.0;enero
POLLO FILETES;5422.469;988.2287;23.44277;964.7859;3.9543310000000003;0.0;0.0;0.0;864.3564;96.47521;0.0;0.0;0.0;0.0;4213.62;404.2838;3809.336;2881.177;928.1594;19.94726;0.0;3.3260680000000002;0.0;0.0;63.59657;133.7508;4.0;enero
POLLO POR PIEZAS;22918.48;4161.183;123.5781;4037.605;0.0;0.740801;0.0;0.0;3571.043;459.84740000000005;0.0;0.0;5.97429;0.0;17836.67;2257.574;15579.1;11870.33;3708.767;58.38671;0.923356;23.54747;2.6652139999999997;0.0;398.9767;436.12359999999995;4.0;enero
