Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;99.406;58.264;5.111;57.553;11.382;6.521;2.02;0.879;23.696;10.209;0.43;27.943;1.566;38.0;98.684;43.141;97.038;93.191;55.744;1.795;7.774;7.956;6.472;4.053;8.25;19.899;0.0;enero
T.HUEVOS KGS;74.886;8.876;0.916;8.133;0.0;0.179;0.077;0.0;2.049;1.949;0.271;0.62;0.042;3.664;65.423;11.096;59.811;50.075;16.943;0.222;0.685;0.552;2.768;1.934;1.773;2.766;1.0;enero
T.HUEVOS UNDS.;74.886;8.876;0.916;8.133;0.0;0.179;0.077;0.0;2.049;1.949;0.271;0.62;0.042;3.664;65.423;11.096;59.811;50.075;16.943;0.222;0.685;0.552;2.768;1.934;1.773;2.766;1.0;enero
TOTAL HUEVOS GALLINA;74.679;8.871;0.925;8.119;0.0;0.174;0.044;0.0;1.968;2.069;0.271;0.62;0.042;3.664;65.16;10.952;59.537;49.676;16.944;0.222;0.685;0.552;2.784;1.934;1.754;2.684;2.0;enero
OTRAS AVES;2.87;0.256;0.031;0.223;0.0;0.075;0.033;0.0;0.088;0.051;0.0;0.0;0.0;0.0;2.169;0.264;1.92;1.861;0.059;0.0;0.0;0.0;0.191;0.0;0.048;0.064;2.0;enero
MIEL;6.027;0.94;0.163;0.776;0.0;0.0;0.058;0.0;0.089;0.387;0.0;0.0;0.0;0.237;4.176;0.789;3.408;2.648;0.744;0.05;0.228;0.014;0.0;0.535;0.102;0.129;1.0;enero
GRANEL;1.723;0.887;0.15;0.737;0.0;0.0;0.027;0.0;0.089;0.376;0.0;0.0;0.0;0.237;0.0;0.0;0.0;0.0;0.0;0.0;0.228;0.0;0.0;0.51;0.036;0.1;2.0;enero
ENVASADA;4.429;0.052;0.013;0.039;0.0;0.0;0.027;0.0;0.0;0.012;0.0;0.0;0.0;0.0;4.176;0.789;3.408;2.648;0.744;0.05;0.0;0.014;0.0;0.026;0.072;0.04;2.0;enero
TOTAL CARNE;96.79;28.479;1.376;27.829;0.013;1.284;0.133;0.0;23.309;4.462;0.05;0.193;0.089;0.778;94.27;27.232;90.402;82.26;39.147;0.705;0.474;1.337;0.951;0.593;3.641;4.995;1.0;enero
CARNE CERTIFICADA;47.086;14.098;0.28;13.914;0.013;0.232;0.026;0.0;11.953;1.901;0.0;0.02;0.029;0.043;37.513;6.56;33.855;27.45;9.708;0.202;0.114;0.683;0.102;0.235;0.639;1.282;2.0;enero
CARNE FRESCA;89.106;25.744;0.689;25.352;0.013;0.174;0.078;0.0;21.931;3.896;0.0;0.057;0.03;0.311;82.168;17.942;77.514;66.569;29.553;0.251;0.223;1.13;0.933;0.444;2.311;2.768;2.0;enero
