Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2238937.10327;292101.10629699996;17611.885032000002;274489.26073000004;9618.864065;4902.202281000001;1403.039738;196.590768;24887.822429;36236.098507;840.98286;33686.181562;3296.39279;159421.08104699999;1732125.9685799999;285026.397253;1447099.52816;1124342.78133;322756.74315600004;7600.671445;35254.599726;18532.724466;35206.406364;7004.992391;53207.812239;57902.803034000004;0.0;enero
T.HUEVOS KGS;29032.000600000003;2816.87595;281.58266399999997;2535.293799;0.0;27.719914;10.645082;0.0;601.6856879999999;501.941368;162.186048;107.75667200000001;10.909459;1112.44928;21747.8228;2598.427251;19149.4013;14954.67103;4194.723875;55.551097999999996;209.168448;277.47744;1954.6953389999999;726.76032;420.61761;823.030717;1.0;enero
T.HUEVOS UNDS.;462303.4;44921.463;4506.7632;40414.7079;0.0;630.7601999999999;219.43572;0.0;9595.7652;8198.407;2534.157;1683.698;170.4603;17382.02;346537.76;41360.3991;305177.45;239496.223;65681.1275;867.9859;3268.257;4335.585;31364.3979;11355.63;6690.200400000001;12962.1037;1.0;enero
TOTAL HUEVOS GALLINA;452017.9;43845.58;4379.908;39465.68;0.0;396.5243;156.4949;0.0;9365.334;7776.987;2534.157;1683.698;170.4603;17382.02;338563.8;40459.69;298104.2;232587.2;65516.9;867.9859;3268.257;4335.585;30389.84;11355.63;6550.289;12840.92;2.0;enero
OTRAS AVES;10285.5;1075.883;126.8552;949.0279;0.0;234.2359;62.94082;0.0;230.43120000000002;421.42;0.0;0.0;0.0;0.0;7973.96;900.7090999999999;7073.25;6909.023;164.2275;0.0;0.0;0.0;974.5579;0.0;139.9114;121.1837;2.0;enero
MIEL;913.1926;128.8399;19.87506;108.9648;0.0;0.0;9.681197000000001;0.0;16.3777;42.7393;0.0;0.0;0.0;40.16663;607.8435999999999;103.24860000000001;504.595;385.8028;118.7921;4.159032;28.59637;0.854798;0.0;92.41422;22.11559;28.36912;1.0;enero
GRANEL;266.1615;119.8489;17.68919;102.1597;0.0;0.0;4.828858;0.0;16.3777;40.78649;0.0;0.0;0.0;40.16663;0.0;0.0;0.0;0.0;0.0;0.0;28.59637;0.0;0.0;87.8517;9.384808999999999;20.47975;2.0;enero
ENVASADA;647.0310999999999;8.991016;2.185868;6.805147;0.0;0.0;4.852339;0.0;0.0;1.952808;0.0;0.0;0.0;0.0;607.8435999999999;103.24860000000001;504.595;385.8028;118.7921;4.159032;0.0;0.854798;0.0;4.562519;12.730780000000001;7.889368;2.0;enero
TOTAL CARNE;136558.1;27231.07;826.9517;26404.12;0.594833;568.2551;20.51913;0.0;22146.96;3422.051;4.905793;27.430880000000002;43.957860000000004;169.4468;101216.2;13018.07;88198.18;68202.97;19995.21;304.50579999999997;176.2181;281.19829999999996;2047.513;734.0225;1874.75;2692.535;1.0;enero
CARNE CERTIFICADA;21257.3;6366.461;115.1911;6251.27;0.594833;73.48644999999999;6.695068;0.0;5364.988;785.7887;0.0;1.8669280000000001;8.974083;8.876369;12441.74;1865.412;10576.33;8338.465;2237.865;106.38810000000001;50.96822;133.1769;984.2278;553.6156;136.87820000000002;483.84040000000005;2.0;enero
CARNE FRESCA;97619.4;23034.16;579.3564;22454.8;0.594833;69.12166;14.20683;0.0;19397.87;2836.972;0.0;12.93162;27.77618;95.33222;68243.16;8396.463;59846.69;46005.66;13841.03;186.1371;124.38669999999999;247.9665;2018.088;664.9364;1188.575;1911.994;2.0;enero
SALCHICHAS FRESCAS;1027.429;486.62140000000005;1.5294539999999999;485.092;0.0;0.0;0.0;0.0;409.03909999999996;69.13095;0.0;0.0;0.0;6.9219610000000005;477.3215;62.516529999999996;414.805;371.11859999999996;43.68641;5.7383310000000005;5.102351;0.0;3.1183739999999998;2.075196;12.9931;34.45896;3.0;enero
CARNE VACUNO;13668.69;4480.601;26.343700000000002;4454.258;0.594833;2.482763;5.919326;0.0;3836.881;606.0726999999999;0.0;0.0;2.306692;0.0;7738.369;1380.524;6357.845;5137.4;1220.445;32.57931;47.74365;77.14608;856.819;17.77475;138.00320000000002;279.6569;3.0;enero
TERNERA;9826.77;3612.737;26.343700000000002;3586.393;0.594833;2.482763;3.30474;0.0;3117.087;460.6175;0.0;0.0;2.306692;0.0;5010.735;776.7085999999999;4234.026;3419.872;814.1535;32.57931;45.7277;7.314738;847.3941;9.500428;102.4375;158.3445;4.0;enero
AÑOJO;3163.465;687.4925999999999;0.0;687.4925999999999;0.0;0.0;2.6145859999999996;0.0;542.8441;142.034;0.0;0.0;0.0;0.0;2289.954;498.15229999999997;1791.801;1453.753;338.0481;0.0;2.0159480000000003;47.511449999999996;0.0;8.274319;19.992729999999998;108.2239;4.0;enero
MAYOR;678.4585;180.3715;0.0;180.3715;0.0;0.0;0.0;0.0;176.9503;3.4212260000000003;0.0;0.0;0.0;0.0;437.6805;105.6631;332.0174;263.7744;68.24308;0.0;0.0;22.31989;9.424915;0.0;15.57301;13.08862;4.0;enero
CARNE POLLO;38647.83;8023.678;287.3412;7736.337;0.0;40.7502;3.171042;0.0;6683.092;931.9816999999999;0.0;8.071924;18.80209;50.46785;28582.07;3184.948;25397.12;19293.06;6104.068;99.69755;25.65446;67.03598;533.1128;64.4787;495.15590000000003;756.9474;3.0;enero
POLLO ENTERO;8722.001;2154.807;170.3965;1984.411;0.0;40.31729;0.0;0.0;1712.048;202.0471;0.0;3.212181;0.0;26.78591;5700.873;517.9223;5182.951;4100.491;1082.46;28.39825;6.402534999999999;13.37609;533.1128;60.43546;56.88221;167.71329999999998;4.0;enero
POLLO FILETES;5893.773;1198.826;20.86898;1177.957;0.0;0.0;0.0;0.0;998.6216999999999;179.3354;0.0;0.0;0.0;0.0;4538.413;406.916;4131.496;3266.909;864.5869;2.351498;1.92108;10.53603;0.0;4.0432440000000005;72.1693;65.51348;4.0;enero
POLLO POR PIEZAS;24032.06;4670.045;96.0757;4573.969;0.0;0.43289999999999995;3.171042;0.0;3972.422;550.5993000000001;0.0;4.859743000000001;18.80209;23.681939999999997;18342.79;2260.109;16082.68;11925.66;4157.021;68.9478;17.33084;43.12386;0.0;0.0;366.1044;523.7207;4.0;enero
CARNE CONEJO;2755.147;606.4006999999999;32.28805;574.1126999999999;0.0;0.0;0.0;0.0;367.9715;200.3291;0.0;2.405645;0.0;3.40638;1818.565;266.065;1552.5;1235.673;316.8268;0.0;7.654912;5.436381;267.1943;8.160291;27.52191;14.213709999999999;3.0;enero
CARNE OVINO/CAPRINO;2908.771;902.7721;1.118995;901.6531;0.0;0.0;0.0;0.0;764.6749;136.97820000000002;0.0;0.0;0.0;0.0;1143.029;121.8694;1021.16;940.5156;80.64413;38.85605;4.665585;17.80837;235.1358;467.1545;27.90204;71.44758999999999;3.0;enero
CORDERO;2664.18;812.4363000000001;1.118995;811.3173;0.0;0.0;0.0;0.0;694.0042;117.3131;0.0;0.0;0.0;0.0;1073.925;98.48591;975.4386;900.0449;75.39361;38.85605;4.665585;17.80837;149.9844;467.1545;27.90204;71.44758999999999;4.0;enero
CABRITO;195.3315;41.07557;0.0;41.07557;0.0;0.0;0.0;0.0;41.07557;0.0;0.0;0.0;0.0;0.0;69.10464;23.383509999999998;45.721129999999995;40.47061;5.250513;0.0;0.0;0.0;85.15133999999999;0.0;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;49.260169999999995;49.260169999999995;0.0;49.260169999999995;0.0;0.0;0.0;0.0;29.595119999999998;19.66504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;831.0621;49.227129999999995;0.0;49.227129999999995;0.0;0.0;0.0;0.0;38.84957;10.377559999999999;0.0;0.0;0.0;0.0;61.73625;2.264201;59.47205;55.42535;4.046701;0.0;0.0;17.80837;235.1358;467.1545;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;2077.709;853.5449;1.118995;852.4259000000001;0.0;0.0;0.0;0.0;725.8253000000001;126.6006;0.0;0.0;0.0;0.0;1081.293;119.6052;961.6876;885.0902;76.59742;38.85605;4.665585;0.0;0.0;0.0;27.90204;71.44758999999999;4.0;enero
CARNE CERDO;29685.07;7445.658;203.7176;7241.941;0.0;10.88611;2.771827;0.0;6458.34;719.3633000000001;0.0;2.454046;6.667390999999999;41.457989999999995;20915.26;2710.436;18204.82;13717.68;4487.14;8.022604;26.90868;65.06655;93.58561999999999;87.34967;347.2836;695.9386;3.0;enero
CARNE CERDO ADOBAD;2760.769;743.2275999999999;20.10748;723.1201;0.0;0.0;0.0;0.0;617.4228;101.0261;0.0;0.0;3.948792;0.722402;1946.17;278.22020000000003;1667.95;1178.889;489.0609;0.615925;2.7149870000000003;8.187012;0.0;0.0;35.9493;23.90432;4.0;enero
CARN.CERDO IBERICO;1152.038;588.8892;3.4648359999999996;585.4243;0.0;0.0;0.0;0.0;517.4218;59.83418;0.0;0.0;0.0;8.16837;496.2368;113.3661;382.8707;319.7203;63.150400000000005;1.347427;0.0;0.0;3.922323;24.348290000000002;2.926208;34.36746;4.0;enero
CARNE DESPOJOS;1667.143;603.8039;1.783088;602.0209;0.0;15.002600000000001;0.0;0.0;502.52540000000005;84.49289999999999;0.0;0.0;0.0;0.0;984.0276;124.5783;859.4493;843.0391;16.41021;3.7954920000000003;3.014311;0.0;0.0;9.084324;12.94998;50.46682;3.0;enero
DESPOJOS CERDO;718.0386;276.2985;0.0;276.2985;0.0;15.002600000000001;0.0;0.0;243.3221;17.973830000000003;0.0;0.0;0.0;0.0;412.8243;48.61213;364.2122;354.2092;10.003;0.0;0.0;0.0;0.0;3.497238;6.574153;18.84431;4.0;enero
DESPOJOS CORDERO;114.2808;63.372510000000005;0.0;63.372510000000005;0.0;0.0;0.0;0.0;46.59496;16.777549999999998;0.0;0.0;0.0;0.0;40.73516;4.143733;36.59143;36.59143;0.0;3.7954920000000003;1.9608189999999999;0.0;0.0;0.0;0.0;4.416862;4.0;enero
DESPOJOS POLLO;435.7783;77.22116;1.783088;75.43808;0.0;0.0;0.0;0.0;63.32408;12.11399;0.0;0.0;0.0;0.0;339.219;29.79203;309.427;304.0579;5.369067;0.0;0.0;0.0;0.0;0.0;6.375824;12.96225;4.0;enero
DESPOJOS TERNERA;349.34540000000004;168.7513;0.0;168.7513;0.0;0.0;0.0;0.0;131.1238;37.62753;0.0;0.0;0.0;0.0;159.7101;41.017410000000005;118.6927;117.6545;1.03814;0.0;1.0534919999999999;0.0;0.0;5.587086;0.0;14.24339;4.0;enero
DESPOJOS OT.PROCED;49.69947;18.1605;0.0;18.1605;0.0;0.0;0.0;0.0;18.1605;0.0;0.0;0.0;0.0;0.0;31.538970000000003;1.013038;30.52593;30.52593;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;8286.745;971.2454;26.76375;944.4816;0.0;0.0;2.344637;0.0;784.3826;157.7543;0.0;0.0;0.0;0.0;7061.839;608.0431;6453.795;4838.301;1615.494;3.186067;8.745068999999999;15.47319;32.24063;10.934149999999999;139.7584;43.32332;3.0;enero
AVESTRUZ;0.45304500000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45304500000000003;0.0;0.45304500000000003;0.45304500000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
PAVO;4474.166;454.0719;9.947635;444.1243;0.0;0.0;0.0;0.0;354.0383;90.08597999999999;0.0;0.0;0.0;0.0;3895.057;339.9669;3555.09;2657.924;897.1655999999999;0.0;2.550601;1.439595;19.05697;0.0;79.3145;22.675349999999998;4.0;enero
OTRAS AVES;673.5431;79.05409;0.0;79.05409;0.0;0.0;0.0;0.0;67.20114;11.85295;0.0;0.0;0.0;0.0;568.4588;52.63723;515.8215;406.4028;109.4187;0.0;0.0;0.0;13.18366;0.0;8.647598;4.199025;2.0;enero
CARNE CABALLO;123.1663;92.38877000000001;0.0;92.38877000000001;0.0;0.0;0.0;0.0;62.443870000000004;29.9449;0.0;0.0;0.0;0.0;12.91381;6.3377870000000005;6.576028;6.576028;0.0;0.0;5.23494;12.62872;0.0;0.0;0.0;0.0;4.0;enero
CARNE CONGELADA;3349.792;768.6575;6.238372999999999;762.4191;0.0;482.84020000000004;2.585983;0.0;263.8004;7.253289;0.0;5.939285;0.0;0.0;2288.509;311.34409999999997;1977.165;1777.138;200.0264;55.832629999999995;4.664121;26.166970000000003;0.0;2.891789;92.55252;110.518;2.0;enero
C.CONG.POLLO;2281.961;531.4714;2.434355;529.037;0.0;308.28479999999996;2.277863;0.0;207.60979999999998;4.925351;0.0;5.939285;0.0;0.0;1653.111;252.8458;1400.265;1273.675;126.5894;7.610137;4.664121;8.19252;0.0;0.0;48.439449999999994;28.47326;3.0;enero
C.CONG.CERDO;516.3465;129.1965;1.175108;128.0214;0.0;98.02494;0.0;0.0;27.66852;2.327938;0.0;0.0;0.0;0.0;284.1569;26.87444;257.2825;233.8725;23.41003;32.51893;0.0;0.0;0.0;2.891789;32.18309;35.39921;3.0;enero
C.CONG.VACA;239.9615;55.822050000000004;0.0;55.822050000000004;0.0;29.369490000000003;0.30812;0.0;26.14444;0.0;0.0;0.0;0.0;0.0;121.1369;8.607234;112.52969999999999;84.19484;28.33483;15.70356;0.0;10.79832;0.0;0.0;9.979655000000001;26.52104;3.0;enero
RESTO CARNES CONG.;311.52279999999996;52.16754;2.628911;49.53863;0.0;47.161;0.0;0.0;2.377631;0.0;0.0;0.0;0.0;0.0;230.1044;23.016650000000002;207.0877;185.3956;21.6921;0.0;0.0;7.176127999999999;0.0;0.0;1.950333;20.12446;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;9.412818;6.625312;0.0;6.625312;0.0;6.625312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.787506;0.0;2.787506;0.0;2.787506;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;35588.87;3428.252;241.3569;3186.896;0.0;16.29332;3.726319;0.0;2485.288;577.8256;4.905793;8.559981;16.18169;74.11458;30684.59;4310.263;26374.32;20420.17;5954.159;62.53608;47.167339999999996;7.064760000000001;29.42502;66.19432;593.6228000000001;670.0224000000001;2.0;enero
JAMON CURADO+PALETA;5803.631;894.6526;69.10844;825.5441999999999;0.0;0.0;0.0;0.0;634.5925;152.4628;1.122047;3.3318809999999996;7.132354;26.90265;4650.58;670.4269;3980.153;3239.025;741.1284;10.604479999999999;7.408279;1.628;0.0;21.03701;102.0006;115.7199;3.0;enero
JAMON C.+P.ENTERO;1544.611;405.7552;15.49412;390.261;0.0;0.0;0.0;0.0;330.2385;40.72055;1.122047;0.0;0.0;18.17995;1044.685;260.2705;784.4141;670.758;113.65610000000001;0.0;2.203979;0.0;0.0;9.418384;25.82522;56.72308;4.0;enero
JAMON C.+P.LONCHA;4259.02;488.8975;53.61432;435.2832;0.0;0.0;0.0;0.0;304.354;111.7422;0.0;3.3318809999999996;7.132354;8.722698000000001;3605.895;410.1563;3195.739;2568.267;627.4723;10.604479999999999;5.2043;1.628;0.0;11.61863;76.1754;58.99677;4.0;enero
JAMON CURADO NORMAL;4328.361;456.56829999999997;47.81281;408.7555;0.0;0.0;0.0;0.0;297.64340000000004;79.51375999999999;1.122047;3.3318809999999996;6.003563;21.140909999999998;3704.68;485.752;3218.928;2553.329;665.5986;8.846356;7.408279;1.163086;0.0;20.849330000000002;67.78241;61.06381;3.0;enero
JAMON C.N.ENTER/PI;896.538;155.2355;15.49412;139.7414;0.0;0.0;0.0;0.0;98.48014;22.47772;1.122047;0.0;0.0;17.66151;696.8628;174.0994;522.7634;415.1336;107.6298;0.0;2.203979;0.0;0.0;9.418384;2.7098739999999997;30.10736;4.0;enero
JAMON C.N.LONCHA;3431.823;301.33279999999996;32.31869;269.0141;0.0;0.0;0.0;0.0;199.16320000000002;57.03603;0.0;3.3318809999999996;6.003563;3.479397;3007.817;311.65259999999995;2696.164;2138.196;557.9686999999999;8.846356;5.2043;1.163086;0.0;11.430950000000001;65.07253;30.95646;4.0;enero
JAMON IBERICO;975.6176999999999;385.5262;21.295630000000003;364.2305;0.0;0.0;0.0;0.0;308.1921;52.422830000000005;0.0;0.0;1.12879;2.486799;522.881;125.3248;397.5562;377.1845;20.37164;0.279271;0.0;0.464914;0.0;0.187683;14.37166;51.907;3.0;enero
JAMON IBE.ENTER/PI;469.5521;228.25979999999998;0.0;228.25979999999998;0.0;0.0;0.0;0.0;227.66320000000002;0.596639;0.0;0.0;0.0;0.0;208.1514;80.02709;128.12439999999998;128.12439999999998;0.0;0.0;0.0;0.0;0.0;0.0;6.5251149999999996;26.61573;4.0;enero
JAMON IBE.LONCHA;506.06559999999996;157.2664;21.295630000000003;135.9708;0.0;0.0;0.0;0.0;80.52897;51.826190000000004;0.0;0.0;1.12879;2.486799;314.7295;45.29769;269.4318;249.0602;20.37164;0.279271;0.0;0.464914;0.0;0.187683;7.846542;25.29127;4.0;enero
PALETA CURADA NORM.;279.5493;44.41454;0.0;44.41454;0.0;0.0;0.0;0.0;21.50103;20.253;0.0;0.0;0.0;2.660516;230.4115;22.505580000000002;207.9059;165.3545;42.5514;1.17451;0.0;0.0;0.0;0.0;2.591619;0.9571580000000001;3.0;enero
PALETA C.N.ENTR/PI;73.85436;22.2598;0.0;22.2598;0.0;0.0;0.0;0.0;4.09517;17.646189999999997;0.0;0.0;0.0;0.5184439999999999;51.594559999999994;0.0;51.594559999999994;45.56827;6.0262839999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;205.695;22.15474;0.0;22.15474;0.0;0.0;0.0;0.0;17.40586;2.606807;0.0;0.0;0.0;2.142072;178.817;22.505580000000002;156.3114;119.7863;36.52512;1.17451;0.0;0.0;0.0;0.0;2.591619;0.9571580000000001;4.0;enero
PALETA IBERICA;220.1025;8.143583;0.0;8.143583;0.0;0.0;0.0;0.0;7.255957;0.27319600000000005;0.0;0.0;0.0;0.6144299999999999;192.60770000000002;36.844519999999996;155.7632;143.1564;12.60679;0.30434100000000003;0.0;0.0;0.0;0.0;17.25493;1.7918830000000001;3.0;enero
PALETA IB.ENTER/PI;104.6661;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88.07586;6.144056;81.93180000000001;81.93180000000001;0.0;0.0;0.0;0.0;0.0;0.0;16.59023;0.0;4.0;enero
PALETA IBE.LONCHA;115.43639999999999;8.143583;0.0;8.143583;0.0;0.0;0.0;0.0;7.255957;0.27319600000000005;0.0;0.0;0.0;0.6144299999999999;104.5318;30.700470000000003;73.83138000000001;61.22459;12.60679;0.30434100000000003;0.0;0.0;0.0;0.0;0.664702;1.7918830000000001;4.0;enero
HUESOS JAMON CURADO;171.3861;59.156819999999996;0.0;59.156819999999996;0.0;0.0;1.54995;0.0;39.84724;16.58234;0.0;0.0;1.1772850000000001;0.0;99.39038000000001;7.51553;91.87485000000001;87.7368;4.138044;0.0;0.0;0.247121;0.0;0.0;2.985259;9.606547;3.0;enero
LOMO EMBUCHADO N+IB;778.5516;117.3368;10.18637;107.15039999999999;0.0;0.0;0.0;0.0;90.69771;16.452720000000003;0.0;0.0;0.0;0.0;628.9071;83.33578999999999;545.5713000000001;438.5458;107.0255;1.175702;5.1246480000000005;0.0;0.0;0.0;4.487432;21.52001;3.0;enero
LOMO EMB.AL CORTE;247.8053;79.23222;2.9923130000000002;76.23991000000001;0.0;0.0;0.0;0.0;66.19294000000001;10.04697;0.0;0.0;0.0;0.0;166.5959;33.29311;133.3028;131.2336;2.069207;0.0;1.495813;0.0;0.0;0.0;0.0;0.48139499999999996;4.0;enero
LOMO EMB.ENVASADO;530.7463;38.104589999999995;7.194059;30.910529999999998;0.0;0.0;0.0;0.0;24.50478;6.405752000000001;0.0;0.0;0.0;0.0;462.3112;50.04267;412.2685;307.3122;104.9563;1.175702;3.628835;0.0;0.0;0.0;4.487432;21.038619999999998;4.0;enero
LOMO EMB.NORMAL;610.7315;83.36868;4.951333;78.41734;0.0;0.0;0.0;0.0;65.83257;12.58477;0.0;0.0;0.0;0.0;512.1216;61.084379999999996;451.0372;376.679;74.35821;1.175702;5.1246480000000005;0.0;0.0;0.0;4.265765;4.675088;4.0;enero
LOMO E.N.AL CORTE;191.7044;58.83593;2.9923130000000002;55.84361;0.0;0.0;0.0;0.0;49.66459;6.17902;0.0;0.0;0.0;0.0;131.3727;19.162560000000003;112.21010000000001;110.7067;1.50339;0.0;1.495813;0.0;0.0;0.0;0.0;0.0;5.0;enero
LOMO E.N.ENVASADO;419.02709999999996;24.53275;1.95902;22.57373;0.0;0.0;0.0;0.0;16.16798;6.405752000000001;0.0;0.0;0.0;0.0;380.74890000000005;41.92182;338.8271;265.97229999999996;72.85482;1.175702;3.628835;0.0;0.0;0.0;4.265765;4.675088;5.0;enero
LOMO EMB.IBERICO;167.8202;33.968129999999995;5.235037999999999;28.73309;0.0;0.0;0.0;0.0;24.86514;3.86795;0.0;0.0;0.0;0.0;116.7854;22.25141;94.53402;61.86676;32.66726;0.0;0.0;0.0;0.0;0.0;0.221666;16.84492;4.0;enero
LOMO E.I.AL CORTE;56.100919999999995;20.39629;0.0;20.39629;0.0;0.0;0.0;0.0;16.52834;3.86795;0.0;0.0;0.0;0.0;35.22323;14.13055;21.09268;20.52686;0.565817;0.0;0.0;0.0;0.0;0.0;0.0;0.48139499999999996;5.0;enero
LOMO E.I.ENVASADO;111.7192;13.57184;5.235037999999999;8.336799000000001;0.0;0.0;0.0;0.0;8.336799000000001;0.0;0.0;0.0;0.0;0.0;81.56219999999999;8.120858;73.44134;41.33989;32.10145;0.0;0.0;0.0;0.0;0.0;0.221666;16.36353;5.0;enero
OTRAS SALAZONES;877.1503;274.2384;5.652135;268.5863;0.0;0.0;0.383476;0.0;237.118;11.90315;0.0;0.0;0.0;19.18165;560.5954;110.75319999999999;449.8422;397.0551;52.78707;12.05878;2.482586;0.0;0.0;13.31624;5.649987;8.808854;3.0;enero
O.SALAZONES AL COR;417.2528;231.776;5.652135;226.1239;0.0;0.0;0.383476;0.0;197.39610000000002;11.90315;0.0;0.0;0.0;16.441200000000002;172.2125;47.400980000000004;124.8115;123.068;1.7435019999999999;0.0;2.482586;0.0;0.0;4.36342;1.128087;5.290203;4.0;enero
O.SALAZONES ENVASA;459.8974;42.4624;0.0;42.4624;0.0;0.0;0.0;0.0;39.72195;0.0;0.0;0.0;0.0;2.740454;388.3829;63.35225;325.0306;273.9871;51.04357;12.05878;0.0;0.0;0.0;8.952824;4.5219;3.5186509999999998;4.0;enero
TOCINO Y MANTECA;1273.364;56.829519999999995;1.670974;55.158550000000005;0.0;0.0;0.0;0.0;33.86814;17.081709999999998;3.482784;0.525376;0.0;0.200537;1169.321;152.19629999999998;1017.125;801.5186;215.6062;0.637541;2.0592040000000003;0.0;0.0;1.804711;25.776400000000002;16.93558;3.0;enero
TOCINO;44.28721;21.86161;1.3717709999999999;20.48984;0.0;0.0;0.0;0.0;17.31905;2.645409;0.0;0.525376;0.0;0.0;20.43072;1.152199;19.27852;19.27852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.994877;4.0;enero
CHORIZOS;2807.527;474.5122;16.4396;458.0725;0.0;1.522011;0.0;0.0;349.28959999999995;88.88184;0.0;0.0;5.351171999999999;13.02789;2216.216;323.5984;1892.618;1454.122;438.49559999999997;3.6394580000000003;6.0441009999999995;0.291757;0.0;18.15517;43.335699999999996;45.33229;3.0;enero
CHOR.IBERICO;338.6245;105.07860000000001;2.5525349999999998;102.5261;0.0;1.522011;0.0;0.0;81.12428;14.52859;0.0;0.0;5.351171999999999;0.0;216.1072;27.5021;188.6051;171.2142;17.390900000000002;0.657775;0.939805;0.0;0.0;1.448949;5.94742;8.444792;4.0;enero
CHOR.NORMAL;2468.903;369.43359999999996;13.88706;355.5465;0.0;0.0;0.0;0.0;268.1653;74.35325999999999;0.0;0.0;0.0;13.02789;2000.109;296.0963;1704.013;1282.908;421.10470000000004;2.981683;5.1042950000000005;0.291757;0.0;16.706220000000002;37.38828;36.88749;4.0;enero
