Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2.6602259536395767;3.2651419497495815;2.800388481088764;3.2947317222574606;9.778316062874195;6.838089854538392;5.46329764616419;21.64247616996534;7.797780773477969;3.7290137027729418;2.1579712822212427;2.7192503919833313;2.668237620613;1.7362487173236225;2.5927331448710897;2.703595363554337;2.570945035130299;2.6193781631672843;2.3754569894423647;2.5934214949029077;1.6589690432605584;2.9029148585664535;2.07058253002297;2.422671328120218;2.6540090596030104;2.48193870882759;0.0;enero
T.HUEVOS KGS;2.737335290684719;3.017460609383563;3.414165563992529;2.964807058466839;2.8194958653333377;2.028503899024592;4.406475609250331;;3.291850570993692;3.0856946495249793;3.0489982252533996;3.0948741891094946;3.1831325963871464;2.634007051941244;2.569427276690322;2.5776213663314853;2.5681947458524492;2.6074288984624308;2.4053050378533847;3.1051561412665274;3.0858208747328266;2.9855069722701266;3.699078167445546;3.5274059085325713;2.8114410150901157;2.952446694876364;1.0;enero
T.HUEVOS UNDS.;0.1722899044621869;0.1919391885133664;0.21717467791694334;0.18858977401747676;0.18044773395600613;0.12982424738918225;0.2254155768462489;;0.20783942958128554;0.19624441204849774;0.19513588641621757;0.19807194810300766;0.20372048510062693;0.16857645132423962;0.16132473765303035;0.16085829289747106;0.16139535994871865;0.16328017479144155;0.1534246007141385;0.19872999304105773;0.18482767306640388;0.18396873565007107;0.2347460827065845;0.225230196807844;0.17607732778966334;0.18840246350386555;1.0;enero
TOTAL HUEVOS GALLINA;0.17398821535822032;0.19231276804984887;0.21803343046369641;0.18889893129120142;0.18044773395600613;0.12982424738918225;0.22684790840225663;;0.20952098064360772;0.19677184336935624;0.19513588641621757;0.19807194810300766;0.20372048510062693;0.16857645132423962;0.16312060572174172;0.16332386849228397;0.1630900620934951;0.16537604761624192;0.15363209909106862;0.19872999304105773;0.19351889105177314;0.18461242048445725;0.23599228950071294;0.22516189718816393;0.17857527851370905;0.18878057494837183;2.0;enero
OTRAS AVES;0.08741017933891992;0.1406513792872024;0.09916435442445261;0.14615180092332863;;;0.2208261819626539;;0.10423332038075156;0.12589979724656875;;;;;0.0832211681354626;0.07981263268303727;0.08393299156702823;0.08329572001445223;0.10129165259098973;;0.07916666541787064;0.17000411298645732;0.11121030257786362;0.2499999461930623;0.08019822638618561;0.07999084994878963;2.0;enero
MIEL;6.660752941379802;9.18948323994465;9.785032489266579;9.079136305386635;;;7.9999986722996566;;7.500186815753177;8.036036997241796;9.813298142922825;8.107135157606143;;10.238113193909843;5.922602904862886;5.980500171383039;5.909300244793753;6.1419274095471845;5.062993265292448;;8.50018701351111;8.500188375168495;10.0;6.887452836174088;7.810623243958887;8.122735545662307;1.0;enero
GRANEL;8.797082183984541;9.553960617701227;11.949814422775102;9.23063701939343;;;7.9999986722996566;;7.500186815753177;8.00004139419055;10.539863283681862;9.000000568527943;;10.385154667629651;;;;;;;8.50018701351111;8.500188375168495;10.0;6.887452836174088;8.999996303839202;9.70847413646545;2.0;enero
ENVASADA;5.944691980039038;6.487687078227349;5.3860921088749505;7.331547492212311;;;;;;8.355663743200363;5.799585209827336;5.349948867401982;;6.999998430217682;5.922602904862886;5.980500171383039;5.909300244793753;6.1419274095471845;5.062993265292448;;;;;;7.350056807561058;3.998949497339082;2.0;enero
TOTAL CARNE;7.06836318680937;8.175080877977436;7.465071329583435;8.19983193740592;7.089429302183949;4.388230263065652;7.591350315629109;10.638447965322944;8.120616552920927;9.350673998211523;4.439894557438078;7.262083244885689;20.54561556764216;10.631148369885933;6.746122857430109;7.156667848135077;6.681199684806537;6.841378042879164;6.005355514182125;6.817338087624632;9.354467794175534;6.373704904870719;6.712449779138029;7.405741755480364;7.03093142886484;7.467313659939962;1.0;enero
CARNE CERTIFICADA;8.25965800433767;9.447985720198632;11.52169473445587;9.413658691347488;9.897567794965456;7.862687649812597;9.775335919261794;;9.228942890310067;10.758431344644023;;8.525539542808461;15.889332221002181;13.25361288326609;7.635943860130069;7.523736310320697;7.656849002323689;7.869131031461892;6.6765077252105645;8.535386726113678;8.958405819573555;2.495965086728091;8.143001298351601;8.52911243885368;7.756316560872929;7.892829937529973;2.0;enero
CARNE FRESCA;6.413645158442794;7.639398729680914;6.653876213986146;7.669774424013868;8.713153969657755;6.3493131490203;7.443652088586653;;7.531938047322531;8.716858159025607;4.303776065629938;6.966690781185685;11.688018070445912;8.673541766644673;5.9840940989278595;6.258093093225185;5.943762754307571;6.067372091501013;5.439288113578625;5.885826731373264;8.14717511261029;5.305079689188116;6.445531342242535;6.381011603188624;6.237676131047764;6.509555186199534;2.0;enero
SALCHICHAS FRESCAS;7.844936329251824;8.801869915257486;9.64273302839192;8.78201338906509;;;;;8.87181122339911;7.8683778276779766;;;;8.807340762579976;6.942243993652294;7.544484656385769;6.839835900032324;6.83312914971815;6.9473669123473485;6.983797815909646;9.980711441970906;;9.517982601210662;7.19408838360721;6.309226139277794;6.4455024762150765;3.0;enero
CARNE VACUNO;10.399004783176606;11.100118244453528;12.753965002318084;11.088336958893887;;10.54568240070769;17.706921622964046;;10.945935240874169;12.111072019899483;;9.796331212834424;;12.497322227481542;9.969462361381632;10.042254052179675;9.955766151948275;10.105442492313589;9.261766435252405;10.840256653211764;10.205219079322527;9.170422297516584;9.160396741344318;12.168753422791955;11.742228811703177;9.72895240967624;3.0;enero
TERNERA;10.387678545198629;11.199096694053186;13.021515725336696;11.186142872765712;;7.950424817161856;24.897639419629265;;11.044964424779947;12.217859396329068;;10.397818661788373;;12.497322227481542;9.754776960995097;10.082411135274407;9.707367159943324;9.877511310853686;8.984360594441924;10.24629427416943;10.205219079322527;;9.160396741344318;12.168753422791955;11.208652741493012;8.962941608890555;4.0;enero
AÑOJO;10.4888128970958;10.2292184630662;11.1896562489715;10.22036776000044;;14.752202988938707;9.824474145943556;;10.038398846259268;11.485871959058079;;5.301483693902908;;;10.477512423095517;10.042902727194761;10.587936378035794;10.730026957297326;9.876045574919997;;;10.51812054526503;;;13.140031295822405;10.625419625398173;4.0;enero
MAYOR;10.1554695350241;11.546014999364434;;11.546014999364434;;;;;11.50196877308871;11.742933141608603;;;;;9.776652861014016;9.850901159922287;9.747879213057164;9.648796689838866;11.053019457744787;13.34969678443242;;6.500252183812741;;;7.426948161508521;10.362863238208067;4.0;enero
