Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;6511916.011899999;1014507.57043;52081.594055;962426.00398;111883.016735;39520.909516;8491.526936;5485.889735000001;260475.101468;145309.687625;2241.5337050000003;108780.646809;8631.685831;271606.008495;4967227.649300001;850756.78929;4116470.6270999997;3361254.6426;755216.08431;27536.362302999998;52576.780973;41851.599229;51138.645814;23883.216564;160238.03343;172956.838101;0.0;enero
T.HUEVOS KGS;91490.486;9452.29008;1253.187917;8199.10216;71.39014;49.031839999999995;95.41235;0.0;1915.63952;1754.746861;859.3802;730.5042;121.4191;2601.578;64404.8721;8446.2229;55958.6451;45785.6291;10173.02601;464.9161;811.3873299999999;393.05083;7943.88629;3805.6386;1568.68913;2645.7562310000003;1.0;enero
T.HUEVOS UNDS.;91490.486;9452.29008;1253.187917;8199.10216;71.39014;49.031839999999995;95.41235;0.0;1915.63952;1754.746861;859.3802;730.5042;121.4191;2601.578;64404.8721;8446.2229;55958.6451;45785.6291;10173.02601;464.9161;811.3873299999999;393.05083;7943.88629;3805.6386;1568.68913;2645.7562310000003;1.0;enero
TOTAL HUEVOS GALLINA;90579.97;9402.202;1249.054;8153.148;71.39014;49.031839999999995;73.17957000000001;0.0;1900.296;1746.369;859.3802;730.5042;121.4191;2601.578;63658.11;8322.496;55335.61;45189.22;10146.4;464.9161;784.973;377.0465;7906.301;3794.023;1550.547;2641.852;2.0;enero
OTRAS AVES;910.516;50.088080000000005;4.133917;45.95416;0.0;0.0;22.232779999999998;0.0;15.34352;8.377861000000001;0.0;0.0;0.0;0.0;746.7621;123.7269;623.0350999999999;596.4091;26.626009999999997;0.0;26.414330000000003;16.00433;37.58529;11.6156;18.14213;3.9042310000000002;2.0;enero
MIEL;9249.348;1749.231;291.1783;1458.053;0.0;0.0;12.05091;0.0;48.07664;522.7115;48.960879999999996;75.5107;0.0;750.7419;5696.61;1074.782;4621.828;3768.035;853.7923000000001;0.0;55.269949999999994;99.94904;29.245900000000002;637.2312;378.51279999999997;603.2988;1.0;enero
GRANEL;3066.691;1602.439;238.3173;1364.122;0.0;0.0;12.05091;0.0;48.07664;467.70090000000005;44.525800000000004;63.32143;0.0;728.4458000000001;0.0;0.0;0.0;0.0;0.0;0.0;55.269949999999994;99.94904;29.245900000000002;637.2312;121.74789999999999;520.8076;2.0;enero
ENVASADA;6182.658;146.7919;52.860949999999995;93.93097999999999;0.0;0.0;0.0;0.0;0.0;55.01054;4.435082;12.18927;0.0;22.296080000000003;5696.61;1074.782;4621.828;3768.035;853.7923000000001;0.0;0.0;0.0;0.0;0.0;256.7649;82.49121000000001;2.0;enero
TOTAL CARNE;1221252.0;297703.5;9157.403;288546.1;395.32259999999997;3254.954;342.6255;406.7251;240902.8;40006.84;85.10714;1306.854;183.8991;1661.017;865593.0;125388.9;740204.1;612730.1;127474.0;2574.58;1896.377;1552.769;6692.787;4317.543;20128.72;20793.28;1.0;enero
CARNE CERTIFICADA;222216.6;87790.74;1743.305;86047.43;35.137879999999996;914.8528;66.67523;0.0;71670.54;12700.07;0.0;432.3267;19.63672;208.2018;124786.9;19309.91;105477.0;89106.42;16370.61;219.2367;379.0022;249.107;610.8733000000001;1551.269;2322.145;4307.257;2.0;enero
