Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2447880.7911;310708.56521499995;18597.988960000002;292110.58292799996;11441.951356000001;5779.524744;1554.2859799999999;253.477915;33403.747686;38967.324662;1038.7226759999999;40003.909581;3234.976437;156432.66185600002;1915826.80197;314676.079401;1601150.77174;1283226.18317;317924.54574699997;10617.773608;31692.442476;14417.094978000001;24697.709496;9858.215717000001;60375.842671;69686.184226;0.0;enero
T.HUEVOS KGS;33423.193100000004;3132.531391;367.055403;2765.475796;25.320179;24.17143;21.652758000000002;0.0;581.933924;568.6715829999999;281.856576;236.0368;38.144531;987.68832;25065.847429999998;3276.75081;21789.097260000002;17559.68461;4229.412008;149.723904;262.940515;131.65295999999998;2147.531339;1078.877424;557.966225;896.123285;1.0;enero
T.HUEVOS UNDS.;531026.39;49246.2751;5770.41453;43475.8576;395.6278;377.67859999999996;423.2731;0.0;9216.9206;8941.63988;4404.009;3688.075;596.0083000000001;15432.63;399225.023;52507.227;346717.806;280411.441;66306.3548;2339.436;4389.9667;2136.50884;33840.3359;16896.66241;8909.0921;14043.108470000001;1.0;enero
TOTAL HUEVOS GALLINA;520609.8;48890.16;5728.727;43161.43;395.6278;377.67859999999996;322.5931;0.0;9069.717;8875.096;4404.009;3688.075;596.0083000000001;15432.63;390251.8;50957.01;339294.8;273251.3;66043.49;2339.436;4056.312;2042.368;33502.37;16850.2;8682.876;13994.3;2.0;enero
OTRAS AVES;10416.59;356.1151;41.687529999999995;314.4276;0.0;0.0;100.68;0.0;147.2036;66.54388;0.0;0.0;0.0;0.0;8973.223;1550.217;7423.006;7160.141;262.8648;0.0;333.6547;94.14084;337.96590000000003;46.462410000000006;226.2161;48.80847;2.0;enero
MIEL;1388.634;190.35139999999998;29.75752;160.5938;0.0;0.0;1.506364;0.0;6.410059;65.04593;4.989238;9.314103999999999;0.0;73.32815;961.8423;179.71439999999998;782.1278000000001;613.4939;168.63389999999998;0.0;6.502204;11.75845;2.9245900000000002;92.52059;48.46128;74.27286;1.0;enero
GRANEL;348.6032;167.7251;19.94318;147.782;0.0;0.0;1.506364;0.0;6.410059;58.462309999999995;4.224514;7.035714;0.0;70.14299000000001;0.0;0.0;0.0;0.0;0.0;0.0;6.502204;11.75845;2.9245900000000002;92.52059;13.52755;53.64464;2.0;enero
ENVASADA;1040.03;22.62623;9.814342;12.81189;0.0;0.0;0.0;0.0;0.0;6.583622999999999;0.7647240000000001;2.27839;0.0;3.1851550000000004;961.8423;179.71439999999998;782.1278000000001;613.4939;168.63389999999998;0.0;0.0;0.0;0.0;0.0;34.933730000000004;20.628220000000002;2.0;enero
TOTAL CARNE;172777.2;36415.97;1226.7;35189.27;55.762260000000005;741.7464;45.133669999999995;38.23162;29665.58;4278.498;19.16873;179.95579999999998;8.950771000000001;156.2406;128309.7;17520.57;110789.1;89562.38;21226.72;377.6518;202.72420000000002;243.6211;997.0707;582.9994;2862.881;2784.573;1.0;enero
CARNE CERTIFICADA;26903.85;9292.006;151.3063;9140.7;3.550153;116.3537;6.820761;0.0;7765.845;1180.476;0.0;50.7096;1.235843;15.70906;16342.04;2566.532;13775.51;11323.54;2451.972;25.68562;42.30688;99.80388;75.0182;181.8793;299.38759999999996;545.7176999999999;2.0;enero
