Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;99.339;58.193;5.009;57.294;11.48;6.647;2.591;0.893;23.574;10.474;0.752;27.825;1.988;36.677;98.666;43.609;97.002;93.567;55.336;2.202;7.652;7.703;4.257;3.618;8.236;21.177;0.0;enero
T.HUEVOS KGS;75.448;10.073;1.408;8.993;0.0;0.082;0.204;0.0;2.0;2.146;0.585;0.676;0.085;4.044;66.045;11.031;60.312;51.004;16.004;0.35;0.673;0.45;2.671;2.058;2.163;2.312;1.0;enero
T.HUEVOS UNDS.;75.448;10.073;1.408;8.993;0.0;0.082;0.204;0.0;2.0;2.146;0.585;0.676;0.085;4.044;66.045;11.031;60.312;51.004;16.004;0.35;0.673;0.45;2.671;2.058;2.163;2.312;1.0;enero
TOTAL HUEVOS GALLINA;75.131;10.073;1.408;8.993;0.0;0.082;0.204;0.0;2.0;2.146;0.585;0.676;0.085;4.044;65.596;10.903;59.871;50.494;15.937;0.35;0.649;0.436;2.671;2.065;2.169;2.312;2.0;enero
OTRAS AVES;2.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.922;0.322;1.612;1.467;0.144;0.0;0.051;0.01;0.06;0.014;0.03;0.0;2.0;enero
MIEL;6.536;0.553;0.049;0.487;0.0;0.0;0.051;0.0;0.049;0.037;0.0;0.012;0.0;0.332;5.062;0.987;4.147;3.341;0.851;0.07;0.137;0.0;0.0;0.257;0.178;0.405;1.0;enero
GRANEL;1.269;0.474;0.049;0.408;0.0;0.0;0.051;0.0;0.049;0.025;0.0;0.0;0.0;0.281;0.0;0.0;0.0;0.0;0.0;0.016;0.137;0.0;0.0;0.231;0.027;0.353;2.0;enero
ENVASADA;5.36;0.075;0.0;0.075;0.0;0.0;0.0;0.0;0.0;0.011;0.0;0.012;0.0;0.051;5.062;0.987;4.147;3.341;0.851;0.048;0.0;0.0;0.0;0.03;0.145;0.066;2.0;enero
TOTAL CARNE;97.324;28.667;1.69;27.808;0.065;1.246;0.198;0.0;22.82;4.414;0.059;0.186;0.253;0.708;94.864;27.877;91.173;83.357;38.597;0.732;0.584;1.471;0.677;0.573;3.784;5.018;1.0;enero
CARNE CERTIFICADA;46.272;14.075;0.697;13.67;0.025;0.213;0.076;0.0;11.71;1.775;0.0;0.034;0.039;0.065;36.592;6.214;32.76;27.329;8.739;0.143;0.091;0.541;0.204;0.137;0.621;0.821;2.0;enero
CARNE FRESCA;89.539;25.73;1.094;25.131;0.054;0.019;0.101;0.0;21.647;3.823;0.036;0.075;0.072;0.185;82.363;17.782;77.677;67.931;28.832;0.453;0.176;1.213;0.615;0.281;2.643;2.657;2.0;enero
SALCHICHAS FRESCAS;8.263;3.255;0.054;3.203;0.0;0.0;0.0;0.0;2.74;0.475;0.0;0.013;0.0;0.0;4.816;0.606;4.207;3.756;0.464;0.0;0.044;0.0;0.0;0.0;0.125;0.271;3.0;enero
CARNE VACUNO;49.881;15.353;0.341;15.066;0.025;0.0;0.085;0.0;13.081;2.07;0.0;0.043;0.019;0.038;37.936;7.257;33.079;27.544;8.336;0.242;0.096;0.486;0.065;0.09;0.797;0.953;3.0;enero
TERNERA;40.134;14.192;0.341;13.904;0.025;0.0;0.061;0.0;12.073;1.917;0.0;0.034;0.019;0.022;28.286;4.771;24.765;20.78;5.78;0.199;0.096;0.036;0.065;0.089;0.647;0.542;4.0;enero
AÑOJO;15.803;2.248;0.0;2.248;0.0;0.0;0.0;0.0;1.975;0.298;0.0;0.009;0.0;0.016;13.26;3.087;10.98;8.623;2.774;0.034;0.0;0.392;0.0;0.052;0.135;0.361;4.0;enero
