Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;5889392.7577;926486.7635779999;38478.785169;888008.05547;95672.622236;41456.142704000005;7213.614301;4332.508360000001;212345.719453;129692.34432700001;2370.1649939999998;101865.279941;10207.718263;282851.899667;4464335.2027;759256.4627;3705078.7492;2950161.0450999998;754917.76486;20532.996356;58923.245616;47590.829343000005;62117.734144;19782.13943;140306.63296000002;149316.78347999998;0.0;enero
T.HUEVOS KGS;92217.7215;10600.43;1086.157;9514.269;0.0;65.54173;212.6526;0.0;1878.793;1904.178;938.0783;586.7068;107.22160000000001;3821.097;65865.0242;8080.7837;57784.242600000005;45944.4576;11839.784880000001;357.094;680.22356;622.203784;7224.5042;2858.62463;1743.22712;2266.394;1.0;enero
T.HUEVOS UNDS.;92217.7215;10600.43;1086.157;9514.269;0.0;65.54173;212.6526;0.0;1878.793;1904.178;938.0783;586.7068;107.22160000000001;3821.097;65865.0242;8080.7837;57784.242600000005;45944.4576;11839.784880000001;357.094;680.22356;622.203784;7224.5042;2858.62463;1743.22712;2266.394;1.0;enero
TOTAL HUEVOS GALLINA;91442.79;10600.43;1086.157;9514.269;0.0;65.54173;212.6526;0.0;1878.793;1904.178;938.0783;586.7068;107.22160000000001;3821.097;65192.05;7979.712;57212.34;45397.92;11814.42;357.094;649.1566;620.3184;7182.718;2845.856;1728.777;2266.394;2.0;enero
OTRAS AVES;774.9315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;672.9742;101.07169999999999;571.9026;546.5376;25.36488;0.0;31.066959999999998;1.885384;41.786199999999994;12.76863;14.45012;0.0;2.0;enero
MIEL;7455.1;789.2582;191.3185;597.9396999999999;0.0;0.0;82.32373;0.0;32.867580000000004;35.10877;0.0;8.343924000000001;0.0;439.2957;4514.913;857.0412;3657.872;2945.06;712.812;76.64626;212.8201;0.0;0.0;780.0840999999999;363.1567;718.2211;1.0;enero
GRANEL;2473.397;742.0652;191.3185;550.7466999999999;0.0;0.0;82.32373;0.0;32.867580000000004;24.71078;0.0;0.0;0.0;410.84459999999996;0.0;0.0;0.0;0.0;0.0;44.615050000000004;212.8201;0.0;0.0;707.9016;163.46;602.5353;2.0;enero
ENVASADA;4981.702;47.192989999999995;0.0;47.192989999999995;0.0;0.0;0.0;0.0;0.0;10.39799;0.0;8.343924000000001;0.0;28.45108;4514.913;857.0412;3657.872;2945.06;712.812;32.03121;0.0;0.0;0.0;72.1825;199.69670000000002;115.6858;2.0;enero
TOTAL CARNE;1075797.0;238020.4;6551.692;231468.7;197.62560000000002;2825.581;473.6793;0.0;194069.3;31229.97;94.41053;660.3813;834.2633000000001;1083.507;775768.0;113594.3;662173.7;534749.1;127424.6;2483.129;2053.133;1859.506;12302.26;4276.85;16606.67;22426.71;1.0;enero
CARNE CERTIFICADA;182346.4;62703.04;1319.052;61383.99;113.21260000000001;521.9473;282.0579;0.0;52563.03;7666.494;0.0;173.1143;10.08018;54.0535;107430.3;16926.51;90503.77;75127.45;15376.33;360.5518;560.2978;507.2778;4677.976;1241.312;1429.285;3436.408;2.0;enero
