Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;99.52;57.945;4.839;57.27;11.83;6.721;2.509;0.807;25.509;10.947;0.456;28.462;2.179;35.874;98.943;44.972;97.175;94.003;57.443;2.434;8.528;7.07;5.068;4.462;8.107;22.007;0.0;enero
T.HUEVOS KGS;78.992;9.337;1.113;8.364;0.0;0.045;0.038;0.0;2.56;1.859;0.297;0.559;0.092;3.784;70.448;12.532;64.277;53.424;17.463;0.476;0.817;0.192;2.302;1.75;1.838;2.732;1.0;enero
T.HUEVOS UNDS.;78.992;9.337;1.113;8.364;0.0;0.045;0.038;0.0;2.56;1.859;0.297;0.559;0.092;3.784;70.448;12.532;64.277;53.424;17.463;0.476;0.817;0.192;2.302;1.75;1.838;2.732;1.0;enero
TOTAL HUEVOS GALLINA;78.659;9.123;1.11;8.148;0.0;0.045;0.038;0.0;2.349;1.789;0.297;0.559;0.092;3.784;70.103;12.382;63.93;53.136;17.269;0.476;0.817;0.192;2.283;1.749;1.838;2.723;2.0;enero
OTRAS AVES;2.465;0.341;0.009;0.363;0.0;0.0;0.0;0.0;0.249;0.098;0.0;0.0;0.0;0.0;1.963;0.37;1.614;1.268;0.384;0.0;0.0;0.0;0.103;0.018;0.0;0.032;2.0;enero
MIEL;8.711;1.303;0.147;1.122;0.0;0.023;0.249;0.0;0.035;0.357;0.009;0.082;0.0;0.385;5.646;1.324;4.394;3.547;0.911;0.03;0.077;0.179;0.034;0.785;0.224;0.624;1.0;enero
GRANEL;3.095;1.218;0.147;1.038;0.0;0.0;0.241;0.0;0.035;0.357;0.0;0.041;0.0;0.366;0.0;0.0;0.0;0.0;0.0;0.03;0.077;0.179;0.034;0.785;0.167;0.568;2.0;enero
ENVASADA;5.916;0.106;0.0;0.106;0.0;0.023;0.012;0.0;0.0;0.0;0.009;0.04;0.0;0.019;5.646;1.324;4.394;3.547;0.911;0.0;0.0;0.0;0.0;0.0;0.103;0.058;2.0;enero
TOTAL CARNE;97.35;31.079;1.894;29.984;0.127;1.227;0.094;0.0;25.003;5.003;0.017;0.166;0.071;0.869;94.9;28.892;91.376;84.261;39.644;0.759;0.932;1.148;0.518;0.846;3.675;6.535;1.0;enero
CARNE CERTIFICADA;49.095;16.43;0.295;16.234;0.08;0.15;0.0;0.0;14.102;2.172;0.0;0.01;0.0;0.147;38.852;7.248;35.06;28.268;10.434;0.214;0.086;0.263;0.048;0.177;0.779;1.134;2.0;enero
CARNE FRESCA;89.941;28.383;0.899;27.715;0.052;0.146;0.016;0.0;23.792;4.258;0.0;0.096;0.055;0.574;82.848;18.986;78.182;68.557;29.755;0.33;0.19;0.907;0.47;0.305;2.358;3.063;2.0;enero
SALCHICHAS FRESCAS;9.018;4.041;0.03;4.011;0.0;0.0;0.0;0.0;3.469;0.489;0.0;0.02;0.0;0.107;4.928;0.537;4.496;4.095;0.368;0.017;0.029;0.0;0.0;0.0;0.143;0.137;3.0;enero
CARNE VACUNO;51.773;17.291;0.128;17.225;0.042;0.014;0.0;0.0;15.063;2.278;0.0;0.0;0.045;0.159;38.688;7.826;33.517;27.511;8.186;0.171;0.08;0.182;0.01;0.198;0.833;1.054;3.0;enero
