Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2134809.2054000003;272399.35564200004;13650.859676;258748.492387;9897.923109;4470.159866;1245.126258;192.295396;30112.806510000002;36875.823121;1026.545035;34822.805548000004;3576.276594;136528.73435299998;1650132.31353;277274.56249;1372857.73308;1078490.05664;294367.67148400005;9449.463495999998;32031.934107;18063.04375;38940.499185999994;10451.432544;48787.591270000004;54553.617341;0.0;enero
T.HUEVOS KGS;31232.171899999998;2861.07497;305.59884999999997;2555.476443;0.0;46.780339;18.173914;0.0;565.529963;581.78904;168.708288;179.87161600000002;15.428595;979.19424;24367.03009;3281.24564;21085.78829;16790.46512;4295.32125;144.218112;248.12511999999998;84.848064;1547.7005060000001;776.8471040000001;459.834112;742.49072;1.0;enero
T.HUEVOS UNDS.;496474.13;45646.361;4896.25;40750.116299999994;0.0;730.9428;283.9674;0.0;9245.1515;9502.5048;2636.067;2810.494;241.0718;15299.91;387602.809;52908.38;334694.489;266526.932;68167.527;2253.408;3876.955;1325.751;24502.6106;12366.4184;7184.908;11714.858;1.0;enero
TOTAL HUEVOS GALLINA;486433.9;44529.84;4752.525;39777.32;0.0;730.9428;283.9674;0.0;8760.712;9014.148;2636.067;2810.494;241.0718;15299.91;379463.0;50965.96;328497.1;261577.7;66919.37;2253.408;3876.955;1325.751;24123.6;12095.98;7184.908;11580.41;2.0;enero
OTRAS AVES;10040.23;1116.521;143.725;972.7963000000001;0.0;0.0;0.0;0.0;484.4395;488.35679999999996;0.0;0.0;0.0;0.0;8139.809;1942.42;6197.389;4949.232;1248.157;0.0;0.0;0.0;379.01059999999995;270.4384;0.0;134.448;2.0;enero
MIEL;1711.426;206.5863;22.252560000000003;184.3338;0.0;7.5788850000000005;38.41026;0.0;6.134134;60.05457;0.824298;14.26585;0.0;57.065760000000004;778.0489;176.5495;601.4995;479.7534;121.74610000000001;10.88851;18.233880000000003;96.07755;11.66481;309.2573;70.83449;209.83360000000002;1.0;enero
GRANEL;877.0408;182.4064;22.252560000000003;160.1538;0.0;0.0;32.796;0.0;6.134134;60.05457;0.0;7.31902;0.0;53.850120000000004;0.0;0.0;0.0;0.0;0.0;10.88851;18.233880000000003;96.07755;11.66481;309.2573;52.57128;195.941;2.0;enero
ENVASADA;834.3847;24.17991;0.0;24.17991;0.0;7.5788850000000005;5.614259;0.0;0.0;0.0;0.824298;6.946826;0.0;3.2156379999999998;778.0489;176.5495;601.4995;479.7534;121.74610000000001;0.0;0.0;0.0;0.0;0.0;18.26321;13.8926;2.0;enero
TOTAL CARNE;156405.7;32794.99;1051.498;31743.49;34.43635;481.4878;8.794926;0.0;26900.87;3989.787;9.640468;96.51191;13.05114;208.917;116050.9;16540.68;99510.2;78129.65;21380.55;360.1814;182.9751;321.05629999999996;863.7964000000001;871.0258;2124.137;2836.653;1.0;enero
CARNE CERTIFICADA;24674.23;8267.564;143.68529999999998;8123.879;17.703889999999998;70.7716;0.0;0.0;6908.456;1093.61;0.0;5.195121;0.0;28.14199;15009.21;2440.605;12568.6;10031.69;2536.909;75.10835;30.45248;37.90521;72.42055;416.0833;236.2929;529.1967;2.0;enero
