Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2256521.62022;260166.98665900002;14111.154479;246055.80633300002;9544.672849999999;3951.903595;920.166873;200.236166;27660.598624000002;34207.578185000006;1313.390519;34012.760836;3088.039188;131156.467927;1757397.5155999998;298901.186426;1458496.46422;1152046.53373;306449.91075;7413.806727;27302.915364999997;12987.19173;79642.24444;9562.611714;46221.675934;55826.508248000006;0.0;enero
T.HUEVOS KGS;31443.537579999997;2622.0491899999997;244.825488;2377.22364;0.0;56.666871;2.7531779999999997;0.0;543.387136;452.726792;212.448256;153.663232;74.332672;881.245467;24463.385449999998;3268.17636;21195.21293;16876.26669;4318.947521;92.447936;154.335488;108.682496;2083.53564;722.3424;536.989255;659.7683199999999;1.0;enero
T.HUEVOS UNDS.;498541.678;42226.523;3852.98815;38373.534;0.0;1536.1434;99.33784;0.0;8490.424;7466.7338;3319.504;2400.988;1161.448;13898.954699999998;387198.125;52197.612;335000.573;267349.989;67650.6041;1444.499;2411.492;1698.164;33480.072;11286.6;8487.301300000001;10308.88;1.0;enero
TOTAL HUEVOS GALLINA;489965.2;40736.74;3820.289;36916.45;0.0;764.9155;32.58889;0.0;8490.424;7001.101;3319.504;2400.988;1161.448;13745.48;381322.3;50855.56;330466.8;263014.2;67452.62;1444.499;2411.492;1698.164;32383.98;11286.6;8372.523;10308.88;2.0;enero
OTRAS AVES;8576.478;1489.783;32.69915;1457.084;0.0;771.2279;66.74895;0.0;0.0;465.6328;0.0;0.0;0.0;153.4747;5875.825;1342.052;4533.773;4335.789;197.9841;0.0;0.0;0.0;1096.092;0.0;114.7783;0.0;2.0;enero
MIEL;1175.853;163.0602;20.212580000000003;142.8477;0.0;0.0;0.0;0.0;33.54335;45.724;0.0;0.0;0.0;63.5803;729.1049;172.5136;556.5913;458.1782;98.41309;3.510814;47.669419999999995;10.51654;45.487379999999995;101.5123;14.56864;60.42307;1.0;enero
GRANEL;391.08029999999997;147.8642;17.94801;129.9162;0.0;0.0;0.0;0.0;33.54335;39.48425;0.0;0.0;0.0;56.88861;5.461639;0.0;5.461639;5.461639;0.0;0.0;47.669419999999995;10.51654;45.487379999999995;101.5123;0.0;32.56881;2.0;enero
ENVASADA;784.7729;15.19601;2.26457;12.93144;0.0;0.0;0.0;0.0;0.0;6.239747;0.0;0.0;0.0;6.691694;723.6433000000001;172.5136;551.1297;452.71659999999997;98.41309;3.510814;0.0;0.0;0.0;0.0;14.56864;27.85427;2.0;enero
TOTAL CARNE;146781.3;29534.96;857.4961;28677.46;1.790873;482.71520000000004;16.401439999999997;0.0;24549.35;3413.335;2.5956;65.55458999999999;50.06525;95.65042;110358.6;15795.73;94562.88;74688.85;19874.03;190.01979999999998;206.91420000000002;158.882;1308.905;370.0478;1998.765;2654.162;1.0;enero
CARNE CERTIFICADA;21446.81;7259.248;164.1816;7095.066;0.0;97.52711000000001;0.0;0.0;6123.842;857.9378;0.0;4.2738119999999995;0.0;11.485209999999999;12994.84;2418.164;10576.67;8658.797;1917.877;25.68687;46.01704;43.049339999999994;95.08115;67.1494;288.70590000000004;627.039;2.0;enero
