Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;99.473;57.212;5.126;56.474;10.935;5.924;2.281;0.943;23.62;10.359;0.458;27.74;1.868;34.839;99.028;45.236;97.278;93.891;56.426;1.88;8.612;4.834;4.708;4.112;7.486;21.496;0.0;enero
T.HUEVOS KGS;79.023;9.27;1.26;8.261;0.019;0.09;0.162;0.0;1.996;2.198;0.343;0.841;0.061;3.142;70.826;13.773;63.938;54.761;16.827;0.359;0.876;0.358;3.123;1.96;1.974;2.363;1.0;enero
T.HUEVOS UNDS.;79.023;9.27;1.26;8.261;0.019;0.09;0.162;0.0;1.996;2.198;0.343;0.841;0.061;3.142;70.826;13.773;63.938;54.761;16.827;0.359;0.876;0.358;3.123;1.96;1.974;2.363;1.0;enero
TOTAL HUEVOS GALLINA;78.737;9.187;1.279;8.157;0.019;0.09;0.162;0.0;1.977;2.146;0.343;0.841;0.061;3.106;70.541;13.568;63.713;54.461;16.811;0.359;0.876;0.356;3.103;1.959;1.888;2.326;2.0;enero
OTRAS AVES;2.607;0.18;0.029;0.152;0.0;0.0;0.0;0.0;0.016;0.052;0.0;0.0;0.0;0.072;1.925;0.345;1.575;1.545;0.028;0.0;0.0;0.037;0.283;0.048;0.132;0.06;2.0;enero
MIEL;8.29;1.324;0.302;1.022;0.0;0.0;0.191;0.0;0.228;0.283;0.0;0.02;0.0;0.3;5.398;1.186;4.259;3.543;0.762;0.02;0.478;0.069;0.0;0.555;0.168;0.513;1.0;enero
GRANEL;2.548;1.108;0.288;0.82;0.0;0.0;0.191;0.0;0.228;0.227;0.0;0.0;0.0;0.157;0.0;0.0;0.0;0.0;0.0;0.0;0.403;0.069;0.0;0.547;0.0;0.411;2.0;enero
ENVASADA;5.961;0.213;0.013;0.199;0.0;0.0;0.0;0.0;0.0;0.057;0.0;0.02;0.0;0.122;5.398;1.186;4.259;3.543;0.762;0.02;0.083;0.0;0.0;0.013;0.168;0.094;2.0;enero
TOTAL CARNE;97.253;28.156;1.907;27.337;0.032;1.148;0.208;0.0;23.284;3.919;0.014;0.142;0.05;0.712;95.007;28.564;91.243;83.931;39.231;0.593;0.741;0.513;0.637;0.804;3.623;5.901;1.0;enero
CARNE CERTIFICADA;49.966;13.976;0.129;13.88;0.01;0.138;0.093;0.0;12.068;1.861;0.0;0.009;0.0;0.046;40.212;7.109;36.373;30.643;8.906;0.131;0.126;0.069;0.044;0.29;0.881;1.808;2.0;enero
