Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2190549.08425;265261.106333;14351.745212;250909.358854;9558.9958;4206.299502000001;1595.39207;172.349218;27493.372441;36611.484608000006;658.6161609999999;35398.285023000004;3671.0161129999997;131543.567;1739741.92404;295636.54465;1444105.1971800001;1131724.75502;312380.548807;6398.379048999999;34015.424007;8517.737495;19019.155229;6940.782826000001;45852.03602399999;64802.719194;0.0;enero
T.HUEVOS KGS;34321.7761;2925.946588;389.314283;2536.63269;2.40234;44.628506;22.973312;0.0;509.924561;617.5978170000001;166.438208;220.75744;35.837413999999995;916.0727449999999;26292.89275;3949.8933700000002;22342.99811;17998.35321;4344.647456000001;98.905792;253.41145600000002;129.82616000000002;2267.089844;931.988104;521.038926;900.679762;1.0;enero
T.HUEVOS UNDS.;545184.79;46339.970799999996;6197.5679;40142.409;37.536559999999994;697.3204000000001;358.958;0.0;7995.77686;9952.1277;2600.597;3449.335;559.9596;14490.7925;417504.895;62851.105;354653.771;286694.301;67959.50961;1545.403;3959.554;2092.5548400000002;36172.4684;14672.2804;8530.8768;14366.8342;1.0;enero
TOTAL HUEVOS GALLINA;534628.3;45602.72;6061.826;39540.9;37.536559999999994;697.3204000000001;358.958;0.0;7962.348;9594.01;2600.597;3449.335;559.9596;14280.83;409589.7;61507.08;348082.6;280211.3;67871.34;1545.403;3959.554;2016.678;35284.54;14541.95;8069.077;14018.73;2.0;enero
OTRAS AVES;10556.49;737.2508;135.7419;601.509;0.0;0.0;0.0;0.0;33.42886;358.1177;0.0;0.0;0.0;209.9625;7915.195;1344.025;6571.171;6483.001;88.16961;0.0;0.0;75.87684;887.9284;130.3304;461.7998;348.1042;2.0;enero
MIEL;1504.752;213.8406;53.61982;160.2208;0.0;0.0;34.31158;0.0;35.244510000000005;40.41379;0.0;3.3438760000000003;0.0;46.90704;844.5251;183.3762;661.149;530.3484;130.8006;3.435605;120.43660000000001;16.02299;0.0;189.0419;21.98887;95.46037;1.0;enero
GRANEL;565.5077;183.0387;51.43252;131.6061;0.0;0.0;34.31158;0.0;35.244510000000005;30.46687;0.0;0.0;0.0;31.58318;0.0;0.0;0.0;0.0;0.0;0.0;97.86918;16.02299;0.0;184.477;0.0;84.09985;2.0;enero
ENVASADA;939.2445;30.80197;2.187308;28.61466;0.0;0.0;0.0;0.0;0.0;9.946916;0.0;3.3438760000000003;0.0;15.323870000000001;844.5251;183.3762;661.149;530.3484;130.8006;3.435605;22.56746;0.0;0.0;4.564938;21.98887;11.360520000000001;2.0;enero
TOTAL CARNE;151874.9;29130.88;697.6049;28433.27;5.787903;562.2756999999999;51.94704;0.0;24206.57;3438.8;0.9411849999999999;37.22048;9.742515;119.9903;115215.6;16523.96;98691.61;78414.68;20276.93;268.9438;220.11120000000003;166.91670000000002;1352.182;563.0305999999999;2237.041;2720.198;1.0;enero
CARNE CERTIFICADA;22425.71;7020.254;44.89275;6975.361;2.0505210000000003;42.77307;27.48697;0.0;6004.728;888.4148;0.0;1.958059;0.0;7.950202;13957.65;2341.412;11616.24;9542.227;2074.008;65.91284;41.10772;11.44719;351.57640000000004;97.97048;275.1922;604.6063;2.0;enero
