Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;6427145.3059;809257.36141;37695.494406000005;771561.963579;78666.215925;35315.000881;5460.555691;3256.06207;226559.474629;117651.579591;1313.272737;85516.374453;7716.533404;210106.800016;5029429.3816;851866.41641;4177562.7949;3389630.2299;787932.5478020001;23612.360634;55822.691801;29393.799584;162635.44231;29174.280949;118118.29338500001;169701.2503;0.0;enero
T.HUEVOS KGS;104723.2939;7330.08809;771.16891;6558.9195899999995;11.92192;34.3202;164.6654;0.0;1779.942;1891.28959;572.5664;224.99689999999998;25.715490000000003;1853.501;80655.4029;11996.58271;68658.8302;55841.6497;12817.180582;458.3545;872.2263;337.7278;8469.54391;3025.855;1310.878865;2263.25104;1.0;enero
T.HUEVOS UNDS.;104723.2939;7330.08809;771.16891;6558.9195899999995;11.92192;34.3202;164.6654;0.0;1779.942;1891.28959;572.5664;224.99689999999998;25.715490000000003;1853.501;80655.4029;11996.58271;68658.8302;55841.6497;12817.180582;458.3545;872.2263;337.7278;8469.54391;3025.855;1310.878865;2263.25104;1.0;enero
TOTAL HUEVOS GALLINA;103949.0;7256.978;754.6624;6502.316;11.92192;34.3202;164.6654;0.0;1779.942;1834.686;572.5664;224.99689999999998;25.715490000000003;1853.501;80055.07;11918.51;68136.57;55321.46;12815.11;458.3545;872.2263;337.7278;8381.447;3025.855;1308.804;2252.572;2.0;enero
OTRAS AVES;774.2939;73.11009;16.50651;56.60359;0.0;0.0;0.0;0.0;0.0;56.60359;0.0;0.0;0.0;0.0;600.3329;78.07271;522.2602;520.1897;2.070582;0.0;0.0;0.0;88.09691000000001;0.0;2.074865;10.67904;2.0;enero
MIEL;7088.668;1466.0;190.2155;1275.785;0.0;0.0;193.4821;0.0;0.0;712.975;0.0;25.44521;0.0;343.8825;4039.508;643.1923;3396.315;2968.132;428.18390000000005;66.98295;444.8766;48.05546;0.0;40.59573;43.71018;938.9386;1.0;enero
GRANEL;2841.064;1308.643;180.3135;1128.329;0.0;0.0;154.9125;0.0;0.0;644.2597;0.0;0.0;0.0;329.1569;0.0;0.0;0.0;0.0;0.0;66.98295;444.8766;48.05546;0.0;40.59573;14.807780000000001;917.1033;2.0;enero
ENVASADA;4247.603;157.3578;9.901986;147.45579999999998;0.0;0.0;38.56968;0.0;0.0;68.71533000000001;0.0;25.44521;0.0;14.7256;4039.508;643.1923;3396.315;2968.132;428.18390000000005;0.0;0.0;0.0;0.0;0.0;28.9024;21.83529;2.0;enero
TOTAL CARNE;1178214.0;242928.7;7276.441;235652.3;31.98321;2911.687;135.4245;0.0;208560.8;21777.28;49.61593;767.3504;362.60020000000003;1055.493;878897.5;130330.9;748566.7;616690.8;131875.9;3604.454;2197.446;859.1975;7762.015;6917.223;13692.93;21354.02;1.0;enero
CARNE CERTIFICADA;191783.1;68357.35;741.7368;67615.62;0.0;236.1476;0.0;0.0;60892.74;6368.954;27.46929;0.0;0.0;90.30669999999999;115521.3;19841.77;95679.48;80783.65;14895.84;526.7523;187.8467;128.4631;0.0;1595.248;1059.038;4407.163;2.0;enero
