Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;8228168.6776;1237205.827503;45514.018024;1191692.0054000001;147408.030888;77962.799981;7466.495092;4722.74702;383564.968282;193802.183788;2898.769618;112941.590566;23665.583636;237258.837174;6232824.4267;1165812.9906;5067010.8829;4123783.607;943227.4433099999;24444.944245000002;59636.341677000004;42553.705405;96684.59567;45508.723499;167685.98066;321624.62717;0.0;enero
T.HUEVOS KGS;115177.315;9347.6896;1070.603;8277.086599999999;11.30887;38.83671;208.22310000000002;0.0;2563.0868;2098.07812;245.3498;430.80920000000003;92.18673;2589.207708;90114.398;12999.466199999999;77114.932;62448.136;14666.796199999999;347.69509999999997;1100.931916;151.016835;6676.6427699999995;3182.757;1590.27452;2665.9656299999997;1.0;enero
T.HUEVOS UNDS.;115177.315;9347.6896;1070.603;8277.086599999999;11.30887;38.83671;208.22310000000002;0.0;2563.0868;2098.07812;245.3498;430.80920000000003;92.18673;2589.207708;90114.398;12999.466199999999;77114.932;62448.136;14666.796199999999;347.69509999999997;1100.931916;151.016835;6676.6427699999995;3182.757;1590.27452;2665.9656299999997;1.0;enero
TOTAL HUEVOS GALLINA;111607.8;9185.305;1053.041;8132.264;11.30887;38.83671;208.22310000000002;0.0;2453.779;2071.031;245.3498;430.80920000000003;92.18673;2580.74;86885.54;12357.48;74528.06;60105.14;14422.92;347.69509999999997;1092.097;147.929;6584.118;3182.757;1552.359;2630.056;2.0;enero
OTRAS AVES;3569.515;162.3846;17.562;144.8226;0.0;0.0;0.0;0.0;109.3078;27.04712;0.0;0.0;0.0;8.467708;3228.858;641.9861999999999;2586.872;2342.996;243.8762;0.0;8.834916;3.087835;92.52477;0.0;37.915519999999994;35.90963;2.0;enero
MIEL;12423.57;2189.085;315.29690000000005;1873.788;0.0;0.0;462.2211;0.0;219.9485;398.6464;0.0;46.66998;132.46;613.8418;6734.136;1354.734;5379.402;4248.932;1130.47;17.95366;458.64979999999997;0.0;44.1144;1211.604;179.7031;1588.323;1.0;enero
GRANEL;4523.127;1512.923;186.1267;1326.796;0.0;0.0;386.84229999999997;0.0;207.7006;125.9251;0.0;46.66998;132.46;427.19809999999995;112.66969999999999;0.0;112.66969999999999;112.66969999999999;0.0;0.0;458.64979999999997;0.0;44.1144;1211.604;0.0;1183.166;2.0;enero
ENVASADA;7900.441;676.1619000000001;129.1702;546.9916;0.0;0.0;75.37877;0.0;12.247879999999999;272.7213;0.0;0.0;0.0;186.64370000000002;6621.466;1354.734;5266.732;4136.263;1130.47;17.95366;0.0;0.0;0.0;0.0;179.7031;405.1563;2.0;enero
TOTAL CARNE;1795554.0;422350.0;11080.69;411269.4;229.194;4827.713;182.3616;14.83202;351403.5;50916.12;571.9646;910.6209;317.90409999999997;1895.174;1200583.0;204278.4;996304.2;831187.8;165116.4;5182.501;3356.125;2862.732;45125.84;14954.29;29683.84;71455.98;1.0;enero
CARNE CERTIFICADA;377812.8;136819.2;1921.514;134897.7;125.2937;1924.89;6.353041;0.0;115514.8;17124.33;164.7208;0.0;0.0;37.29336;200162.0;33783.77;166378.2;144538.6;21839.55;1439.692;497.30420000000004;604.5134;20549.25;4790.488;3991.408;8959.041;2.0;enero
CARNE FRESCA;1129633.0;318205.6;4788.262;313417.4;186.39929999999998;1281.529;15.785969999999999;0.0;271388.6;39339.84;293.2168;66.06273;17.63646;828.2585;711171.4;113007.4;598164.0;498499.6;99664.36;2460.311;1067.849;1346.484;44555.25;9198.257;18642.38;22985.54;2.0;enero
