Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2257700.30539;256858.685646;11530.042033;245328.64671399997;11116.095346;7011.943946;1187.885835;178.329655;35143.563206;36088.601242;883.686593;33681.312572999996;5518.558653;114518.664885;1806738.1275;304713.71825;1502024.3261199999;1199865.44985;302158.99264;7638.881647;26783.450086;12296.964846;24389.197616999998;9599.184869;48192.460073;65203.359664999996;0.0;enero
T.HUEVOS KGS;35325.3286;2434.13218;290.094944;2144.037301;2.895069;9.723981;47.559538999999994;0.0;615.3233270000001;546.6315820000001;69.63411199999999;129.353408;30.491994;692.424728;28760.6096;3898.11079;24862.5001;19907.1791;4955.317730000001;107.74976;318.502622;40.135538000000004;1635.92487;811.2064;476.30484;740.764823;1.0;enero
T.HUEVOS UNDS.;582453.46;38956.42;4651.277;34305.144100000005;45.235459999999996;151.93720000000002;743.1178000000001;0.0;10150.0259;8754.4804;1088.033;2021.147;476.4374;10874.73677;477742.22;66313.171;411429.07;331849.25;79579.763;1683.59;5066.057;646.6548399999999;25873.587;12675.1;7885.1718;11924.696300000001;1.0;enero
TOTAL HUEVOS GALLINA;546311.0;37862.37;4510.781;33351.59;45.235459999999996;151.93720000000002;743.1178000000001;0.0;9515.242;8501.607;1088.033;2021.147;476.4374;10808.84;444133.1;59907.02;384226.1;307197.9;77028.15;1683.59;4960.038;623.4998;25503.5;12675.1;7360.243;11509.59;2.0;enero
OTRAS AVES;36142.46;1094.05;140.496;953.5541;0.0;0.0;0.0;0.0;634.7839;252.8734;0.0;0.0;0.0;65.89677;33609.12;6406.151;27202.97;24651.35;2551.613;0.0;106.019;23.15504;370.087;0.0;524.9288;415.1063;2.0;enero
MIEL;1649.038;230.4796;24.48538;205.9942;0.0;0.0;50.32201;0.0;22.348470000000002;46.33511;0.0;5.490462000000001;9.936258;71.5619;1008.687;194.5878;814.099;615.8106;198.2885;3.795638;47.164480000000005;0.0;5.304811;129.66230000000002;22.6085;201.33610000000002;1.0;enero
GRANEL;472.85740000000004;162.0866;15.51023;146.5764;0.0;0.0;43.64658;0.0;20.598770000000002;17.62036;0.0;5.490462000000001;9.936258;49.28393;5.633484;0.0;5.633484;5.633484;0.0;0.0;47.164480000000005;0.0;5.304811;129.66230000000002;0.0;123.00580000000001;2.0;enero
ENVASADA;1176.181;68.393;8.975155;59.41784;0.0;0.0;6.675426000000001;0.0;1.7496969999999998;28.71475;0.0;0.0;0.0;22.27797;1003.053;194.5878;808.4656;610.1771;198.2885;3.795638;0.0;0.0;0.0;0.0;22.6085;78.33033999999999;2.0;enero
TOTAL CARNE;191127.9;37480.51;990.4738000000001;36490.04;21.171;627.1958000000001;12.968129999999999;1.650658;31321.03;4170.943;57.57587;69.82094000000001;22.71627;184.9665;137132.5;20977.63;116154.8;94938.9;21215.94;526.4723;264.5719;277.02770000000004;5241.412;1312.91;3369.883;5522.604;1.0;enero
CARNE CERTIFICADA;34340.37;10388.4;192.94660000000002;10195.45;10.57906;174.51379999999997;0.651457;0.0;8854.507;1135.752;15.69056;0.0;0.0;3.756422;20069.38;3297.552;16771.83;14073.85;2697.983;174.1792;43.93985;63.94108;2042.985;454.599;330.1046;772.8451;2.0;enero
