Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2.988359130300765;3.5944408987828975;3.059882054436722;3.6224932893572697;11.335240507453383;8.049539015600592;5.10100686198189;27.559444824378584;8.849219327754565;3.8935686228252164;2.3552178043677943;3.1962860306115704;2.611029393917816;1.8257134645525999;2.926432422641816;2.9642807298974234;2.9186816836510023;2.9801169927346676;2.700930116730875;2.5186992194762405;1.7662909974555878;3.4731865422571198;2.475704455514603;3.1854204677062605;2.7126845406618068;3.101163255378473;0.0;enero
T.HUEVOS KGS;3.1936705541967245;3.6667459023176563;3.443039834257182;3.686368692031068;;2.6770315485806786;4.76977612331202;;3.7154758562254866;4.209111790194779;3.6165031649165873;3.630705776350331;3.610148018197294;3.3972081356601525;3.051266183304034;3.132239282780498;3.03825912712196;3.072853589034157;2.9068467076714777;3.3035732166547676;3.712270047173446;3.1921995752529284;3.9644357788695856;3.804417361725293;3.5125196276994504;3.508171090882468;1.0;enero
T.HUEVOS UNDS.;0.19995714959592834;0.2279380194004184;0.21476783394146812;0.2290889657747244;;0.17133001910916346;0.3052656633638937;;0.23211249120243233;0.2461881491567987;0.23145620255466157;0.23236516968642118;0.2310494731646268;0.21654339621275395;0.1909036567529679;0.19646190562431493;0.19001340166816721;0.19123247570443058;0.18527064987712985;0.21142868586590516;0.23758528301910056;0.20430077281618741;0.2532990061742322;0.24348271115041878;0.22315628850310257;0.211933530861941;1.0;enero
TOTAL HUEVOS GALLINA;0.20237911346715348;0.22855392932721036;0.21741936153346972;0.22953133327216757;;0.17133001910916346;0.3052656633638937;;0.23598516753686974;0.24663300458598908;0.23145620255466157;0.23236516968642118;0.2310494731646268;0.21654272183711787;0.19360559071989178;0.19899351318827305;0.1927396266312573;0.19467015197860724;0.18543916808606567;0.21142868586590516;0.23758528301910056;0.20430077281618741;0.2536436518408172;0.24348271115041878;0.22423370665061615;0.2178734215817034;2.0;enero
OTRAS AVES;0.10825798005821928;0.2104431628066707;0.12917734869912043;0.21665457333864527;;;;;0.09914083954491958;0.24227378609422187;;;;0.2166836379261657;0.09190243266605382;0.09198158514255819;0.09189128305008185;0.08962198980563618;0.15097545721004593;;;;0.07999240806464206;;0.10000001404092876;0.12849199254265034;2.0;enero
MIEL;7.558866668963583;9.994284140594925;10.161190827410486;9.956322362875504;;;9.939278604998016;;7.347603676930008;9.703004757401741;;7.294959501488537;9.499999399032923;10.757554790403919;6.391853503910518;6.268625996788504;6.419369602910986;6.589893778990001;5.8190752424295145;6.944773141032784;9.33271754792392;;9.600013469367438;7.101580160647224;6.3916918060795265;9.365483646250977;1.0;enero
GRANEL;9.611807677509407;10.331080885962633;10.917735726850523;10.201880819419348;;;9.939278604998016;;8.00000056304309;9.665957808208836;;9.374999413167028;9.499999399032923;11.040486909751385;;;;;;8.599707571708455;9.33271754792392;;9.600013469367438;7.104570655730001;6.99999744501676;10.390135238642483;2.0;enero
ENVASADA;6.421093749252949;7.567125023256357;5.691977396131603;8.096557444335147;;;;;6.880916668814765;10.0;;5.500254584031565;;8.741519031588107;6.391853503910518;6.268625996788504;6.419369602910986;6.589893778990001;5.8190752424295145;5.7796744612275255;;;;7.000510261107898;6.35797355326803;6.475290428373997;2.0;enero
TOTAL CARNE;7.944328745154746;9.233686819717159;8.560133609238456;9.248720053689715;9.78974422690643;6.465722567793674;7.697971958005165;;9.197417124653496;9.935470363420782;16.761275267448553;10.415703661094394;16.7271516030414;9.665830067504691;7.557825086081833;8.28536136090215;7.445999749975941;7.596673961910471;6.840767107365975;9.303597647901588;9.677113948546507;8.475045834784737;8.084121137820427;11.282569681423135;7.904082898240842;8.919689249243513;1.0;enero
CARNE CERTIFICADA;9.328638691400085;11.012669597883393;7.891179432110557;11.050987188344092;;11.64609345812808;;;10.770819125775054;12.993763088138408;;;7.0003795793166885;11.265362170511654;8.518409352515754;9.043550673204914;8.430200154952127;8.673199639397582;7.323097936384196;13.179844004890176;10.13790687897242;10.953562795015932;7.773757217776439;9.574610016190165;9.308935021360863;8.786333449154972;2.0;enero
