Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;6590672.5477;977950.694938;46403.974842;931546.7526339999;99458.459028;36651.711575;6973.20734;4405.905195;227985.634933;150633.025512;2116.9735570000003;94392.717542;11710.25837;297218.718491;5058528.601899999;868127.78222;4190400.8945;3391114.7603;799286.18189;19494.713437;62561.170509999996;37450.59512300001;96735.44554799999;23192.922456999997;147707.055895;167051.15156;0.0;enero
T.HUEVOS KGS;110960.1927;10488.2742;1004.27605;9483.9973;0.0;58.41479;50.75138;0.0;2393.1577829999997;2941.23137;865.1101;536.4947;135.88139999999999;2502.9571499999997;76973.73090000001;10815.63682;66158.084;52794.1784;13363.91568;630.0968;1165.845;520.8003;12653.5563;3978.70002;1285.678945;3263.4963700000003;1.0;enero
T.HUEVOS UNDS.;110960.1927;10488.2742;1004.27605;9483.9973;0.0;58.41479;50.75138;0.0;2393.1577829999997;2941.23137;865.1101;536.4947;135.88139999999999;2502.9571499999997;76973.73090000001;10815.63682;66158.084;52794.1784;13363.91568;630.0968;1165.845;520.8003;12653.5563;3978.70002;1285.678945;3263.4963700000003;1.0;enero
TOTAL HUEVOS GALLINA;109969.3;10344.98;988.1332;9356.846;0.0;58.41479;50.75138;0.0;2384.43;2841.469;865.1101;536.4947;135.88139999999999;2484.296;76447.56;10745.97;65701.58;52364.7;13336.89;630.0968;1165.845;520.8003;12388.82;3934.801;1283.066;3253.317;2.0;enero
OTRAS AVES;990.8927;143.29420000000002;16.14285;127.1513;0.0;0.0;0.0;0.0;8.727782999999999;99.76236999999999;0.0;0.0;0.0;18.661150000000003;526.1709000000001;69.66682;456.504;429.4784;27.02568;0.0;0.0;0.0;264.73629999999997;43.89902;2.6129450000000003;10.17937;2.0;enero
MIEL;7272.295;1090.473;125.3666;965.1068;0.0;0.0;71.76787;0.0;0.0;251.6956;0.0;20.78466;272.4573;348.4013;4913.03;1052.238;3860.792;3194.543;666.2492;121.99130000000001;69.4858;0.0;79.5243;165.329;84.56022999999999;747.9005;1.0;enero
GRANEL;2111.912;1009.274;125.3666;883.9072;0.0;0.0;71.76787;0.0;0.0;251.6956;0.0;0.0;272.4573;287.9864;0.0;0.0;0.0;0.0;0.0;121.99130000000001;69.4858;0.0;79.5243;165.329;62.31279;603.9951;2.0;enero
ENVASADA;5160.383;81.19952;0.0;81.19952;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.78466;0.0;60.41486;4913.03;1052.238;3860.792;3194.543;666.2492;0.0;0.0;0.0;0.0;0.0;22.247439999999997;143.9054;2.0;enero
TOTAL CARNE;1214618.0;255445.9;7259.355;248186.5;233.8673;3477.146;298.2015;0.0;207024.2;32701.39;47.52518;1793.618;256.7829;2353.749;900192.2;133744.6;766447.6;631414.3;135033.3;1882.493;2382.816;1192.064;7459.016;4202.005;19860.38;22001.08;1.0;enero
CARNE CERTIFICADA;200825.1;70916.89;691.1174;70225.77;115.1525;629.6726;0.0;0.0;59815.86;9483.579;0.0;98.10264;0.0;83.4098;118333.6;18363.25;99970.39;84381.39;15589.0;542.833;674.4933000000001;172.23489999999998;1763.021;1117.986;2796.082;4507.91;2.0;enero
CARNE FRESCA;781124.9;204106.6;2945.316;201161.3;196.5913;313.2767;0.0;0.0;172612.7;26139.63;0.0;483.5515;0.0;1415.554;540178.9;71683.01;468495.8;385153.2;83342.66;1001.284;1557.283;413.6411;6801.831;2021.564;11349.18;13694.7;2.0;enero
