Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2279566.43988;283991.55737199995;12550.722124;271440.853544;9334.843571000001;4552.305016;1043.769186;145.666336;27363.167424;38684.15299;483.483727;35984.902688;3560.2629660000002;150288.299612;1797988.69998;288525.716827;1509463.03026;1191222.37246;318240.648755;7801.895769000001;35902.075458;10264.20241;22620.014074000002;9341.620065;50912.006057;60744.129933;0.0;enero
T.HUEVOS KGS;34878.77596;3082.214594;318.830373;2763.3845410000004;0.0;10.925062;58.43785;0.0;724.971848;708.442139;145.802788;218.993216;37.273606;858.53775;26173.766;3596.573057;22577.1955;18050.48686;4526.704164;141.641984;341.707648;116.027073;2710.730211;1051.82656;490.83090000000004;770.0293909999999;1.0;enero
T.HUEVOS UNDS.;552699.496;48831.8114;5340.4983;43491.318100000004;0.0;170.7041;913.0914;0.0;11449.104800000001;11089.97393;2403.1654;3421.769;582.4001;13461.10501;414891.02;56947.669700000006;357943.39;287067.106;70876.21440000001;2213.156;5339.182;2020.1805;42936.4671;16434.79;7848.447;12184.417099999999;1.0;enero
TOTAL HUEVOS GALLINA;543551.5;48035.12;4915.285;43119.84;0.0;170.7041;913.0914;0.0;11305.2;11065.6;2255.021;3421.769;582.4001;13406.05;407867.7;56057.34;351810.4;281107.7;70702.63;2213.156;5339.182;1774.542;42247.51;16434.79;7636.045;12003.43;2.0;enero
OTRAS AVES;9147.996;796.6914;425.2133;371.4781;0.0;0.0;0.0;0.0;143.9048;24.37393;148.1444;0.0;0.0;55.05501;7023.32;890.3297;6132.99;5959.406;173.5844;0.0;0.0;245.6385;688.9571;0.0;212.402;180.9871;2.0;enero
MIEL;1245.249;163.0666;32.33265;130.734;0.0;0.0;19.63297;0.0;34.77028;26.53713;0.0;0.0;0.0;49.79358;834.1109;137.9165;696.1944;567.1030999999999;129.0913;6.585074;24.71809;12.20463;0.0;76.85918;10.873059999999999;116.8317;1.0;enero
GRANEL;365.578;143.26870000000002;23.889;119.3797;0.0;0.0;19.63297;0.0;34.77028;21.852;0.0;0.0;0.0;43.124480000000005;5.904796;0.0;5.904796;5.904796;0.0;3.977061;24.31097;12.20463;0.0;69.39089999999999;3.4489859999999997;103.0719;2.0;enero
ENVASADA;879.6713000000001;19.79789;8.443657;11.35423;0.0;0.0;0.0;0.0;0.0;4.68513;0.0;0.0;0.0;6.669102;828.2061;137.9165;690.2896999999999;561.1983;129.0913;2.608013;0.407119;0.0;0.0;7.468285;7.4240699999999995;13.759739999999999;2.0;enero
TOTAL CARNE;156787.2;29102.14;959.8067;28142.34;14.344100000000001;637.8181999999999;10.14141;1.539767;23781.67;3516.667;0.0;48.79121;4.628513;126.7414;120436.9;15628.52;104808.4;84262.98;20545.42;224.76229999999998;163.6107;81.54817999999999;894.5038000000001;813.6456999999999;2067.231;3002.812;1.0;enero
CARNE CERTIFICADA;21335.07;6594.971;112.5691;6482.402;1.265704;61.12491000000001;1.926215;0.0;5755.234;642.6909;0.0;0.0;0.0;20.1605;13803.07;2126.0;11677.07;9864.531;1812.542;15.99718;10.93488;10.87155;2.53037;146.2296;171.9092;578.5581999999999;2.0;enero
