Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;3.220395811860701;4.001957661758178;3.580292251749311;4.022980613679981;11.064996529767134;8.795076756579554;5.45727544770622;19.925589244346178;9.509069803143484;4.721637746631236;2.9817127679634723;3.033298018091116;2.881630822871898;2.0314500653070855;3.1249145713220403;3.435930458738176;3.0644644464043074;3.1059681181337133;2.9036385945097396;2.7641880639312357;1.9837171540401135;3.8818846171555212;3.1962842691506013;3.4749738523070284;3.286536555191709;3.2861184183752052;0.0;enero
T.HUEVOS KGS;3.2401752872883667;4.016271912986116;3.7978392585128695;4.042521943877449;1.9531253082020936;4.280298870293203;5.804356553661775;;4.123018763618834;4.1332733638758885;3.6017302527661417;3.707924135940317;3.8960004475295884;3.916996812708276;3.0784438702202825;3.2499502387972137;3.0498958577812187;3.070610272037596;2.9631907065221466;3.3013275753229885;3.6417889579847422;3.447143114819059;3.9744883986295796;3.904207376485348;3.2752414185672274;3.743152842038103;1.0;enero
T.HUEVOS UNDS.;0.20399290036643677;0.25174184127095744;0.24306171254482362;0.2527609475314684;0.12500001434540592;0.27393912069407095;0.3714788194343537;;0.2621504520112206;0.24497537436079994;0.23051073617703305;0.23730714470018027;0.24934402864189364;0.2506877960133297;0.19373236727025886;0.20399687450010662;0.19201862701265685;0.1931111724317819;0.18741936707628376;0.21128496482067124;0.2330744933110235;0.22061715836840615;0.25105614506847096;0.2498692720950623;0.20533060401362502;0.23601525127364636;1.0;enero
TOTAL HUEVOS GALLINA;0.2057052328390989;0.25199365714259214;0.24306171254482362;0.25307176482101446;0.12500001434540592;0.27393912069407095;0.3714788194343537;;0.26327483712800026;0.2444929036930219;0.23051073617703305;0.23730714470018027;0.24934402864189364;0.2506877960133297;0.19567033535671344;0.20649956996757904;0.19386878976799807;0.1950846362804729;0.1887850044342904;0.21128496482067124;0.2330744933110235;0.22061715836840615;0.25107263798055124;0.2498692720950623;0.20878593599542414;0.2388569406352296;2.0;enero
OTRAS AVES;0.11702030272066022;0.24168837090774017;;0.24168837090774017;;;;;0.11796260467210432;0.249999972563029;;;;;0.09769100384016598;0.0966938619900877;0.09788786425080938;0.09906441441913641;0.09056717543492195;;;;0.25000358702046427;;0.06616228131008978;0.07689826806087303;2.0;enero
MIEL;7.540684877977094;9.43648516400482;9.634423811361158;9.372151027780168;;;12.199852532950139;;8.648580028551635;7.9771974424859815;7.9997959529257265;9.221059045767104;;9.048102983075585;6.800182072403516;7.6834556040581425;6.501087698220607;6.645445286831459;6.056475853892567;9.000000251457763;6.897626377596999;12.000013954640442;10.149257995487881;8.428123944020706;8.875949271152924;9.132892887022072;1.0;enero
GRANEL;8.771916896590284;9.96786340415775;11.223039981106023;9.653668052326848;;;12.199852532950139;;9.000000606918507;7.9771974424859815;7.9997959529257265;9.221059045767104;;9.390207901335728;;;;;;9.000000251457763;6.897626377596999;12.000013954640442;10.149257995487881;8.428123944020706;;9.055748051894527;2.0;enero
ENVASADA;6.91680495302692;7.562455234848159;6.8603013152729675;8.039073580326862;;;;;8.000001493497498;;;;;8.04404920781576;6.800182072403516;7.6834556040581425;6.501087698220607;6.645445286831459;6.056475853892567;;;;;;8.875949271152924;9.692973988103677;2.0;enero
TOTAL CARNE;8.380613735242054;9.79789010989011;9.805873554236449;9.7976723084708;10.426373484266653;5.85414131484714;10.839299765344807;;9.738471623546278;10.79991691710318;9.736577556676364;8.393164993483042;8.778418301902501;10.756431978031646;7.988059654655715;8.859457556661932;7.846250467494322;7.987634060361923;7.243875719243996;7.631664761539502;13.436333248862663;10.215120606900408;7.977624032303696;10.6032466766518;8.530024149952258;9.716992092989406;1.0;enero
CARNE CERTIFICADA;9.800263620969375;11.255505107846622;7.40399045679977;11.284700125383928;11.237015236020097;6.435169463509111;11.389395144201934;;11.118275653158832;12.735224330401934;;8.563382591292513;;7.4425126491646765;9.021698577802981;9.696594101778489;8.90568298078857;9.108691277261578;7.920134609288774;8.157796242314486;12.546212401760164;9.096459293034572;11.569565242227082;10.975916641949238;10.548253009031267;9.988871218424372;2.0;enero
