Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;6933010.3037;979967.3232999999;41634.315807;938333.014777;104363.97462800001;42293.264975;9690.788332;3849.3327689999996;269593.61751099996;158063.768158;1814.425097;94769.139934;11206.273201;242688.498525;5292445.294;946973.1646;4345471.7735;3500873.7695;844597.9391000001;22414.243681;63366.891579999996;30091.128765999998;151756.155787;31292.106288;171531.29105;190145.87799;0.0;enero
T.HUEVOS KGS;108255.138;10017.8175;1016.268;9001.5505;10.89199;33.478730000000006;396.2598;0.0;2073.814655;2547.8617999999997;476.6229;639.1951;76.8876;2746.538;81812.60990000001;12325.314699999999;69487.29520000001;56467.9892;13019.296;275.7928;1052.515;155.20170000000002;7485.5206;2381.088;1924.81099;3149.77446;1.0;enero
T.HUEVOS UNDS.;108255.138;10017.8175;1016.268;9001.5505;10.89199;33.478730000000006;396.2598;0.0;2073.814655;2547.8617999999997;476.6229;639.1951;76.8876;2746.538;81812.60990000001;12325.314699999999;69487.29520000001;56467.9892;13019.296;275.7928;1052.515;155.20170000000002;7485.5206;2381.088;1924.81099;3149.77446;1.0;enero
TOTAL HUEVOS GALLINA;107056.1;9782.802;1016.268;8766.535;10.89199;33.478730000000006;396.2598;0.0;2066.594;2320.067;476.6229;639.1951;76.8876;2746.538;80996.62;12192.16;68804.46;55872.63;12931.82;275.7928;1052.515;155.20170000000002;7370.521;2381.088;1909.785;3131.768;2.0;enero
OTRAS AVES;1199.038;235.0155;0.0;235.0155;0.0;0.0;0.0;0.0;7.220655;227.79479999999998;0.0;0.0;0.0;0.0;815.9899;133.15470000000002;682.8352;595.3592;87.476;0.0;0.0;0.0;114.9996;0.0;15.02599;18.00646;2.0;enero
MIEL;11288.82;1700.934;425.98470000000003;1274.949;0.0;0.0;242.7279;0.0;65.91325;87.60989;41.714800000000004;87.86027;0.0;749.1233000000001;6243.222;1784.438;4458.784;3440.668;1018.116;35.7913;669.6673000000001;10.31916;213.14679999999998;1164.776;192.0664;1058.895;1.0;enero
GRANEL;4416.347;1399.805;315.5333;1084.272;0.0;0.0;242.7279;0.0;44.48703;87.60989;41.714800000000004;87.86027;0.0;579.8720999999999;0.0;0.0;0.0;0.0;0.0;35.7913;669.6673000000001;10.31916;213.14679999999998;1164.776;0.0;922.8414;2.0;enero
ENVASADA;6872.471;301.1288;110.45139999999999;190.6775;0.0;0.0;0.0;0.0;21.42622;0.0;0.0;0.0;0.0;169.2513;6243.222;1784.438;4458.784;3440.668;1018.116;0.0;0.0;0.0;0.0;0.0;192.0664;136.0532;2.0;enero
TOTAL CARNE;1407540.0;300917.7;7967.134;292950.5;66.11353;3153.928;386.3999;0.0;247795.8;38944.9;169.68810000000002;569.9585999999999;457.56609999999995;1406.226;1018214.0;158052.9;860160.9;709201.5;150959.4;3056.468;2226.911;837.232;15508.9;9276.789;27059.48;30442.52;1.0;enero
CARNE CERTIFICADA;251232.6;87427.8;432.6701;86995.13;3.455326;286.1438;48.02556;0.0;73866.21;12565.8;0.0;30.601830000000003;0.0;194.90079999999998;145088.4;22875.08;122213.4;103648.8;18564.55;755.8859;110.5474;12.99532;5063.507;1513.49;3791.232;7468.688;2.0;enero
