Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;99.398;56.497;4.646;55.703;10.003;6.07;2.118;0.898;24.256;10.235;0.348;26.983;1.737;33.389;98.961;45.087;97.497;94.153;57.322;2.042;8.354;4.193;6.219;4.204;7.445;22.169;0.0;enero
T.HUEVOS KGS;80.406;7.993;0.742;7.45;0.02;0.0;0.061;0.0;2.462;2.371;0.198;0.464;0.028;2.626;72.972;13.359;66.681;56.819;17.918;0.283;0.814;0.174;3.201;2.184;1.743;2.382;1.0;enero
T.HUEVOS UNDS.;80.406;7.993;0.742;7.45;0.02;0.0;0.061;0.0;2.462;2.371;0.198;0.464;0.028;2.626;72.972;13.359;66.681;56.819;17.918;0.283;0.814;0.174;3.201;2.184;1.743;2.382;1.0;enero
TOTAL HUEVOS GALLINA;80.199;7.982;0.749;7.42;0.02;0.0;0.061;0.0;2.462;2.342;0.197;0.464;0.028;2.626;72.653;13.28;66.37;56.403;17.796;0.283;0.814;0.172;3.201;2.184;1.744;2.375;2.0;enero
OTRAS AVES;2.479;0.071;0.032;0.04;0.0;0.0;0.0;0.0;0.0;0.025;0.018;0.0;0.0;0.0;2.329;0.335;2.052;1.892;0.262;0.0;0.0;0.031;0.044;0.0;0.005;0.009;2.0;enero
MIEL;8.584;0.922;0.08;0.836;0.0;0.0;0.065;0.0;0.256;0.208;0.0;0.018;0.0;0.354;6.014;0.958;5.043;4.021;1.089;0.093;0.237;0.022;0.191;0.576;0.081;0.464;1.0;enero
GRANEL;2.057;0.657;0.058;0.6;0.0;0.0;0.021;0.0;0.249;0.169;0.0;0.0;0.0;0.24;0.0;0.0;0.0;0.0;0.0;0.093;0.237;0.022;0.191;0.563;0.0;0.353;2.0;enero
ENVASADA;6.476;0.234;0.023;0.212;0.0;0.0;0.045;0.0;0.007;0.033;0.0;0.018;0.0;0.106;6.014;0.958;5.043;4.021;1.089;0.0;0.0;0.0;0.0;0.013;0.081;0.141;2.0;enero
TOTAL CARNE;97.312;28.354;1.96;27.54;0.155;0.759;0.073;0.0;23.89;4.189;0.022;0.268;0.129;0.373;95.341;29.417;91.838;84.113;40.124;0.634;0.6;0.326;0.781;0.513;3.841;6.286;1.0;enero
CARNE CERTIFICADA;49.02;14.558;0.186;14.425;0.029;0.135;0.029;0.0;12.583;1.906;0.0;0.0;0.03;0.048;39.944;6.746;36.446;31.425;8.566;0.223;0.063;0.031;0.058;0.13;0.934;1.336;2.0;enero
CARNE FRESCA;90.685;25.935;0.741;25.509;0.046;0.066;0.054;0.0;22.709;3.668;0.0;0.16;0.099;0.164;85.011;19.706;80.502;70.744;29.415;0.383;0.133;0.232;0.767;0.317;2.765;3.911;2.0;enero
SALCHICHAS FRESCAS;8.66;4.056;0.036;4.022;0.0;0.0;0.0;0.0;3.341;0.69;0.0;0.0;0.0;0.0;4.529;0.763;3.937;3.511;0.446;0.06;0.023;0.0;0.0;0.013;0.113;0.272;3.0;enero
CARNE VACUNO;52.478;15.772;0.098;15.719;0.029;0.0;0.029;0.0;13.983;2.026;0.0;0.061;0.0;0.023;40.442;8.104;35.493;30.603;7.058;0.085;0.066;0.047;0.088;0.122;1.078;1.393;3.0;enero
TERNERA;43.45;13.664;0.098;13.611;0.029;0.0;0.035;0.0;12.104;1.729;0.0;0.061;0.0;0.023;31.865;5.642;27.771;23.385;5.835;0.076;0.058;0.021;0.088;0.095;0.852;0.791;4.0;enero
AÑOJO;15.912;2.947;0.0;2.947;0.0;0.0;0.015;0.0;2.645;0.286;0.0;0.0;0.0;0.0;13.21;2.822;11.216;9.99;1.428;0.009;0.008;0.0;0.0;0.028;0.18;0.649;4.0;enero
MAYOR;5.493;1.206;0.0;1.206;0.0;0.0;0.0;0.0;1.009;0.181;0.0;0.0;0.0;0.0;4.168;0.974;3.395;3.068;0.339;0.0;0.0;0.025;0.0;0.0;0.105;0.053;4.0;enero
CARNE POLLO;77.204;16.715;0.449;16.319;0.046;0.067;0.019;0.0;14.542;2.06;0.0;0.084;0.0;0.02;69.552;11.319;65.137;54.667;20.872;0.25;0.057;0.058;0.391;0.009;1.986;2.172;3.0;enero
POLLO ENTERO;19.612;4.089;0.114;3.97;0.017;0.0;0.0;0.0;3.663;0.279;0.0;0.011;0.0;0.0;14.998;2.104;13.461;10.843;3.099;0.064;0.012;0.022;0.391;0.0;0.522;0.418;4.0;enero
POLLO FILETES;33.581;5.68;0.081;5.6;0.029;0.012;0.0;0.0;5.001;0.517;0.0;0.073;0.0;0.011;28.466;2.417;26.711;20.87;6.896;0.029;0.0;0.01;0.0;0.0;0.556;0.421;4.0;enero
POLLO POR PIEZAS;67.298;13.654;0.283;13.416;0.0;0.055;0.019;0.0;11.797;1.673;0.0;0.0;0.0;0.008;59.958;9.003;55.689;46.422;16.561;0.17;0.045;0.026;0.0;0.009;1.582;1.567;4.0;enero
CARNE CONEJO;11.382;2.475;0.018;2.457;0.0;0.0;0.0;0.0;1.899;0.526;0.0;0.009;0.0;0.0;8.445;1.465;7.219;5.873;1.317;0.0;0.0;0.0;0.354;0.067;0.167;0.151;3.0;enero
CARNE OVINO/CAPRINO;9.929;3.231;0.162;3.06;0.0;0.0;0.0;0.0;2.407;0.639;0.0;0.0;0.021;0.0;6.339;1.112;5.403;5.401;0.085;0.0;0.0;0.009;0.056;0.0;0.151;0.277;3.0;enero
CORDERO;8.915;2.952;0.162;2.78;0.0;0.0;0.0;0.0;2.208;0.563;0.0;0.0;0.021;0.0;5.671;0.863;4.909;4.907;0.085;0.0;0.0;0.009;0.01;0.0;0.151;0.223;4.0;enero
CABRITO;0.913;0.206;0.0;0.206;0.0;0.0;0.0;0.0;0.188;0.018;0.0;0.0;0.0;0.0;0.598;0.207;0.395;0.395;0.0;0.0;0.0;0.0;0.045;0.0;0.0;0.054;4.0;enero
OTRO OVINO/CAPRINO;0.348;0.145;0.0;0.145;0.0;0.0;0.0;0.0;0.092;0.057;0.0;0.0;0.0;0.0;0.219;0.034;0.186;0.186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.682;0.302;0.0;0.302;0.0;0.0;0.0;0.0;0.302;0.0;0.0;0.0;0.0;0.0;0.33;0.089;0.239;0.239;0.0;0.0;0.0;0.009;0.01;0.0;0.0;0.027;4.0;enero
OVINO/CAPRINO PIEZ;9.329;2.936;0.162;2.766;0.0;0.0;0.0;0.0;2.111;0.639;0.0;0.0;0.021;0.0;6.057;1.024;5.208;5.206;0.085;0.0;0.0;0.0;0.045;0.0;0.151;0.249;4.0;enero
CARNE CERDO;72.027;18.341;0.427;18.032;0.0;0.012;0.005;0.0;16.175;2.111;0.0;0.011;0.029;0.153;63.593;12.056;58.641;49.917;16.618;0.284;0.074;0.128;0.033;0.173;1.418;1.587;3.0;enero
CARNE CERDO ADOBAD;19.785;4.472;0.106;4.365;0.0;0.0;0.0;0.0;3.965;0.413;0.0;0.0;0.0;0.0;15.815;2.067;14.02;11.009;3.568;0.116;0.0;0.0;0.0;0.0;0.302;0.175;4.0;enero
CARN.CERDO IBERICO;5.598;2.226;0.026;2.198;0.0;0.0;0.0;0.0;1.725;0.47;0.0;0.011;0.0;0.024;3.467;0.416;3.082;2.799;0.435;0.03;0.0;0.064;0.016;0.037;0.161;0.126;4.0;enero
CARNE DESPOJOS;12.67;4.526;0.022;4.503;0.0;0.011;0.005;0.0;3.67;0.835;0.0;0.0;0.0;0.016;8.415;0.951;7.631;7.373;0.334;0.023;0.006;0.0;0.0;0.032;0.178;0.29;3.0;enero
DESPOJOS CERDO;6.869;2.916;0.0;2.916;0.0;0.0;0.0;0.0;2.552;0.362;0.0;0.0;0.0;0.016;4.079;0.719;3.429;3.282;0.171;0.023;0.006;0.0;0.0;0.027;0.013;0.07;4.0;enero
DESPOJOS CORDERO;0.731;0.309;0.0;0.309;0.0;0.0;0.0;0.0;0.194;0.113;0.0;0.0;0.0;0.0;0.389;0.038;0.352;0.352;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;4.0;enero
DESPOJOS POLLO;4.155;0.578;0.022;0.556;0.0;0.011;0.0;0.0;0.556;0.0;0.0;0.0;0.0;0.0;3.583;0.13;3.469;3.449;0.051;0.0;0.0;0.0;0.0;0.0;0.117;0.025;4.0;enero
DESPOJOS TERNERA;3.326;1.409;0.0;1.409;0.0;0.0;0.005;0.0;0.964;0.444;0.0;0.0;0.0;0.0;1.676;0.198;1.512;1.434;0.074;0.0;0.0;0.0;0.0;0.006;0.055;0.187;4.0;enero
DESPOJOS OT.PROCED;0.454;0.021;0.0;0.021;0.0;0.0;0.0;0.0;0.01;0.011;0.0;0.0;0.0;0.0;0.432;0.069;0.364;0.329;0.035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;44.091;6.322;0.137;6.204;0.0;0.025;0.016;0.0;5.132;1.059;0.0;0.0;0.068;0.0;39.862;4.947;36.57;28.93;10.154;0.058;0.034;0.023;0.099;0.011;0.773;0.406;3.0;enero
AVESTRUZ;0.075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.075;0.0;0.075;0.035;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
PAVO;25.337;2.674;0.049;2.626;0.0;0.0;0.0;0.0;2.12;0.506;0.0;0.0;0.0;0.0;22.983;2.467;21.235;16.068;5.856;0.029;0.0;0.014;0.036;0.0;0.497;0.203;4.0;enero
OTRAS AVES;7.127;1.191;0.058;1.128;0.0;0.0;0.0;0.0;0.902;0.226;0.0;0.0;0.0;0.0;5.845;0.552;5.33;3.875;1.6;0.018;0.0;0.0;0.029;0.011;0.125;0.068;2.0;enero
CARNE CABALLO;0.635;0.447;0.0;0.447;0.0;0.0;0.0;0.0;0.327;0.152;0.0;0.0;0.0;0.0;0.114;0.012;0.106;0.068;0.038;0.0;0.028;0.0;0.0;0.0;0.0;0.036;4.0;enero
CARNE CONGELADA;12.472;1.655;0.113;1.541;0.0;0.733;0.0;0.0;0.776;0.013;0.0;0.0;0.0;0.009;10.686;1.038;9.76;8.866;1.057;0.025;0.0;0.074;0.0;0.071;0.197;0.245;2.0;enero
C.CONG.POLLO;8.657;0.824;0.093;0.723;0.0;0.539;0.0;0.0;0.175;0.0;0.0;0.0;0.0;0.009;7.658;0.873;6.852;6.097;0.86;0.012;0.0;0.048;0.0;0.026;0.196;0.077;3.0;enero
C.CONG.CERDO;3.064;0.548;0.02;0.528;0.0;0.151;0.0;0.0;0.354;0.013;0.0;0.0;0.0;0.009;2.455;0.177;2.319;2.251;0.115;0.0;0.0;0.052;0.0;0.0;0.014;0.0;3.0;enero
C.CONG.VACA;0.94;0.23;0.0;0.23;0.0;0.036;0.0;0.0;0.194;0.0;0.0;0.0;0.0;0.0;0.569;0.06;0.513;0.431;0.077;0.016;0.0;0.0;0.0;0.018;0.0;0.117;3.0;enero
RESTO CARNES CONG.;1.928;0.285;0.0;0.285;0.0;0.173;0.0;0.0;0.11;0.0;0.0;0.0;0.0;0.0;1.583;0.066;1.516;1.415;0.1;0.0;0.0;0.0;0.0;0.027;0.0;0.05;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
