Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;99.247;54.957;4.731;54.21;10.714;6.099;2.077;1.01;23.559;10.403;0.391;25.027;1.455;32.44;98.724;45.229;97.288;93.877;55.966;2.377;7.934;4.474;6.646;3.93;7.552;22.198;0.0;enero
T.HUEVOS KGS;80.398;6.78;0.601;6.301;0.0;0.021;0.207;0.0;2.027;1.712;0.311;0.521;0.034;1.981;73.22;14.405;66.725;55.97;18.67;0.372;0.623;0.3;3.357;1.776;2.087;2.628;1.0;enero
T.HUEVOS UNDS.;80.398;6.78;0.601;6.301;0.0;0.021;0.207;0.0;2.027;1.712;0.311;0.521;0.034;1.981;73.22;14.405;66.725;55.97;18.67;0.372;0.623;0.3;3.357;1.776;2.087;2.628;1.0;enero
TOTAL HUEVOS GALLINA;80.267;6.763;0.623;6.261;0.0;0.021;0.207;0.0;2.017;1.712;0.311;0.521;0.034;1.963;73.09;14.262;66.58;55.767;18.648;0.372;0.623;0.3;3.357;1.776;2.087;2.399;2.0;enero
OTRAS AVES;2.341;0.23;0.049;0.185;0.0;0.0;0.0;0.0;0.091;0.066;0.0;0.0;0.0;0.021;1.797;0.328;1.451;1.371;0.078;0.0;0.0;0.0;0.024;0.0;0.0;0.347;2.0;enero
MIEL;8.214;1.017;0.1;0.916;0.0;0.0;0.215;0.0;0.056;0.264;0.0;0.114;0.0;0.286;5.783;1.044;4.797;3.833;1.024;0.022;0.254;0.084;0.129;0.544;0.053;0.588;1.0;enero
GRANEL;2.252;0.771;0.0;0.771;0.0;0.0;0.165;0.0;0.056;0.237;0.0;0.114;0.0;0.2;0.037;0.0;0.037;0.037;0.0;0.013;0.254;0.084;0.129;0.544;0.0;0.508;2.0;enero
ENVASADA;6.156;0.26;0.1;0.16;0.0;0.0;0.05;0.0;0.0;0.027;0.0;0.0;0.0;0.084;5.748;1.044;4.762;3.797;1.024;0.009;0.0;0.0;0.0;0.0;0.053;0.103;2.0;enero
TOTAL CARNE;97.204;27.802;1.605;27.068;0.072;0.974;0.13;0.018;23.163;3.963;0.013;0.118;0.04;0.804;95.252;29.176;91.711;84.408;38.647;0.769;0.685;0.24;0.671;0.795;3.211;6.069;1.0;enero
CARNE CERTIFICADA;48.088;14.14;0.216;14.02;0.04;0.11;0.011;0.0;12.225;1.937;0.0;0.01;0.0;0.092;38.661;6.641;35.025;29.694;8.816;0.245;0.148;0.026;0.227;0.098;0.818;1.375;2.0;enero
CARNE FRESCA;90.947;25.187;0.833;24.753;0.06;0.062;0.062;0.0;21.896;3.53;0.0;0.018;0.04;0.321;85.38;20.007;80.925;71.505;29.441;0.578;0.171;0.178;0.61;0.488;2.463;3.904;2.0;enero
SALCHICHAS FRESCAS;8.443;3.575;0.167;3.455;0.0;0.0;0.0;0.0;3.155;0.368;0.0;0.0;0.0;0.0;4.976;0.737;4.291;3.884;0.403;0.0;0.038;0.0;0.022;0.022;0.081;0.171;3.0;enero
CARNE VACUNO;51.965;15.17;0.052;15.152;0.027;0.023;0.028;0.0;13.546;1.825;0.0;0.011;0.018;0.092;39.965;8.293;34.356;29.151;7.454;0.19;0.051;0.0;0.047;0.079;1.062;1.26;3.0;enero
TERNERA;41.712;13.869;0.052;13.852;0.027;0.031;0.028;0.0;12.42;1.553;0.0;0.0;0.018;0.092;29.904;5.646;25.635;21.437;5.713;0.163;0.051;0.0;0.047;0.079;0.911;0.662;4.0;enero
AÑOJO;16.314;2.197;0.0;2.197;0.0;0.024;0.0;0.0;1.842;0.365;0.0;0.011;0.0;0.0;14.174;2.856;11.727;10.219;1.795;0.026;0.0;0.0;0.0;0.0;0.18;0.351;4.0;enero
MAYOR;4.659;0.937;0.0;0.937;0.0;0.0;0.013;0.0;0.876;0.048;0.0;0.0;0.0;0.0;3.5;1.292;2.422;2.035;0.458;0.0;0.0;0.0;0.0;0.0;0.008;0.225;4.0;enero
CARNE POLLO;79.008;17.246;0.517;16.907;0.0;0.0;0.059;0.0;15.054;1.933;0.0;0.0;0.023;0.055;70.853;12.034;66.002;55.412;21.044;0.291;0.082;0.102;0.401;0.183;1.67;1.942;3.0;enero
POLLO ENTERO;19.946;4.219;0.228;3.994;0.0;0.0;0.04;0.0;3.531;0.408;0.0;0.0;0.023;0.0;15.578;2.404;13.766;12.052;2.156;0.039;0.0;0.0;0.323;0.0;0.227;0.419;4.0;enero
POLLO FILETES;35.569;6.388;0.153;6.232;0.0;0.0;0.011;0.0;5.407;0.817;0.0;0.0;0.0;0.0;29.905;3.213;27.693;22.207;6.859;0.029;0.013;0.0;0.011;0.0;0.644;0.474;4.0;enero
POLLO POR PIEZAS;68.046;14.115;0.275;13.901;0.0;0.0;0.025;0.0;12.211;1.74;0.0;0.0;0.0;0.055;60.169;9.217;55.936;45.544;17.708;0.256;0.069;0.102;0.068;0.183;1.262;1.306;4.0;enero
CARNE CONEJO;10.566;1.461;0.008;1.453;0.0;0.0;0.0;0.0;1.115;0.345;0.0;0.0;0.0;0.0;8.864;1.348;7.567;6.501;1.305;0.033;0.0;0.0;0.214;0.0;0.069;0.141;3.0;enero
CARNE OVINO/CAPRINO;9.39;3.003;0.124;2.876;0.0;0.0;0.0;0.0;2.444;0.475;0.0;0.011;0.0;0.0;6.326;1.319;5.253;5.034;0.209;0.0;0.0;0.0;0.195;0.0;0.069;0.146;3.0;enero
CORDERO;8.505;2.772;0.113;2.658;0.0;0.0;0.0;0.0;2.345;0.334;0.0;0.0;0.0;0.0;5.679;1.06;4.861;4.707;0.152;0.0;0.0;0.0;0.195;0.0;0.069;0.107;4.0;enero
CABRITO;0.808;0.201;0.0;0.201;0.0;0.0;0.0;0.0;0.088;0.1;0.0;0.011;0.0;0.0;0.539;0.194;0.344;0.287;0.056;0.0;0.0;0.0;0.047;0.0;0.0;0.035;4.0;enero
OTRO OVINO/CAPRINO;0.228;0.091;0.012;0.08;0.0;0.0;0.0;0.0;0.037;0.043;0.0;0.0;0.0;0.0;0.137;0.063;0.073;0.073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.624;0.077;0.0;0.077;0.0;0.0;0.0;0.0;0.058;0.021;0.0;0.0;0.0;0.0;0.312;0.047;0.264;0.235;0.029;0.0;0.0;0.0;0.195;0.0;0.0;0.023;4.0;enero
OVINO/CAPRINO PIEZ;8.85;2.972;0.124;2.845;0.0;0.0;0.0;0.0;2.391;0.455;0.0;0.011;0.0;0.0;6.003;1.272;4.973;4.784;0.18;0.0;0.0;0.0;0.0;0.0;0.069;0.118;4.0;enero
CARNE CERDO;72.965;18.457;0.643;18.089;0.039;0.023;0.021;0.0;15.738;2.486;0.0;0.017;0.016;0.142;63.962;11.63;58.852;50.43;16.109;0.303;0.168;0.091;0.158;0.239;1.413;1.726;3.0;enero
CARNE CERDO ADOBAD;20.795;3.789;0.109;3.674;0.0;0.022;0.0;0.0;3.25;0.382;0.0;0.0;0.0;0.0;17.178;2.412;15.295;12.3;3.561;0.012;0.0;0.0;0.024;0.066;0.31;0.286;4.0;enero
CARN.CERDO IBERICO;5.467;2.014;0.121;1.895;0.0;0.0;0.0;0.0;1.481;0.418;0.0;0.0;0.0;0.0;3.181;0.489;2.776;2.461;0.502;0.032;0.0;0.0;0.0;0.099;0.059;0.338;4.0;enero
CARNE DESPOJOS;11.055;3.382;0.042;3.339;0.026;0.022;0.01;0.0;2.88;0.473;0.0;0.0;0.0;0.0;7.753;1.034;6.899;6.561;0.334;0.022;0.013;0.0;0.0;0.0;0.093;0.239;3.0;enero
DESPOJOS CERDO;5.962;1.988;0.01;1.978;0.015;0.0;0.01;0.0;1.816;0.18;0.0;0.0;0.0;0.0;3.849;0.58;3.339;3.196;0.149;0.022;0.013;0.0;0.0;0.0;0.07;0.186;4.0;enero
DESPOJOS CORDERO;0.927;0.327;0.0;0.327;0.0;0.0;0.0;0.0;0.288;0.038;0.0;0.0;0.0;0.0;0.585;0.118;0.459;0.459;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011;4.0;enero
DESPOJOS POLLO;3.329;0.426;0.031;0.391;0.011;0.0;0.0;0.0;0.306;0.073;0.0;0.0;0.0;0.0;2.879;0.19;2.686;2.658;0.028;0.0;0.0;0.0;0.0;0.0;0.023;0.078;4.0;enero
DESPOJOS TERNERA;2.873;1.174;0.0;1.174;0.0;0.022;0.0;0.0;0.854;0.301;0.0;0.0;0.0;0.0;1.595;0.194;1.391;1.303;0.088;0.0;0.0;0.0;0.0;0.0;0.0;0.03;4.0;enero
DESPOJOS OT.PROCED;0.368;0.097;0.0;0.097;0.0;0.0;0.0;0.0;0.018;0.079;0.0;0.0;0.0;0.0;0.288;0.048;0.24;0.173;0.066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;42.975;5.701;0.084;5.619;0.012;0.051;0.0;0.0;4.69;0.943;0.0;0.0;0.0;0.02;38.743;5.098;35.525;28.573;9.613;0.03;0.008;0.056;0.067;0.027;0.831;0.31;3.0;enero
AVESTRUZ;0.052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.052;0.052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
PAVO;26.069;2.822;0.038;2.792;0.012;0.035;0.0;0.0;2.334;0.429;0.0;0.0;0.0;0.0;23.573;2.663;21.568;16.93;5.629;0.03;0.008;0.031;0.046;0.01;0.392;0.157;4.0;enero
OTRAS AVES;5.908;0.717;0.046;0.671;0.0;0.0;0.0;0.0;0.574;0.097;0.0;0.0;0.0;0.0;5.078;0.651;4.481;3.497;1.046;0.0;0.0;0.0;0.02;0.0;0.172;0.02;2.0;enero
CARNE CABALLO;0.549;0.397;0.0;0.397;0.0;0.0;0.0;0.0;0.314;0.083;0.0;0.0;0.0;0.02;0.112;0.031;0.08;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.016;4.0;enero
CARNE CONGELADA;12.587;1.394;0.051;1.342;0.0;0.947;0.0;0.0;0.383;0.023;0.0;0.0;0.0;0.015;10.911;1.209;9.881;8.948;1.094;0.035;0.012;0.033;0.007;0.032;0.164;0.288;2.0;enero
C.CONG.POLLO;8.86;0.961;0.051;0.91;0.0;0.771;0.0;0.0;0.103;0.023;0.0;0.0;0.0;0.015;7.741;0.882;6.921;6.19;0.817;0.022;0.012;0.033;0.0;0.0;0.142;0.148;3.0;enero
C.CONG.CERDO;2.675;0.243;0.0;0.243;0.0;0.139;0.0;0.0;0.11;0.0;0.0;0.0;0.0;0.0;2.271;0.168;2.122;1.827;0.317;0.0;0.0;0.0;0.007;0.037;0.022;0.085;3.0;enero
