Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;3.087703409366737;3.7441051320898198;3.282370523197868;3.764365510151681;10.760223077979095;8.444903953366946;5.596646787994521;22.915578540042326;9.415895724328925;4.15225271961908;2.9809283269722053;3.1214286449034323;2.992779875781931;2.0258559012750763;3.020947921138567;3.1587090175492487;2.9945572473797513;3.0760451884603977;2.7024971591430527;2.5434100255305623;1.9984964086379833;2.97907422329825;2.618350689402124;2.8571017754532964;3.091960587606226;3.2167483884718866;0.0;enero
T.HUEVOS KGS;3.2056194455330296;3.729246618053272;3.6587170369088513;3.7348920895922113;4.493382335639424;2.942754676313511;5.711930544208329;;3.8363852192898515;3.7620251334523918;3.3105751016625926;3.451212642670905;3.9580513041831162;3.7156946449395423;3.0468846485030543;3.0774529809121254;3.042140707819395;3.0784603853162227;2.9035690359909165;4.138759853339169;3.6927580025215185;3.182920026212152;4.023343738402556;3.99630683697647;3.2968079735964406;3.685041937673211;1.0;enero
T.HUEVOS UNDS.;0.20212174011645095;0.2371573320362535;0.23415789036216647;0.23739577975973644;0.2875764673016045;0.18833629202092247;0.32117980412801983;;0.24552865403455051;0.23474706312365717;0.21187680650640592;0.2208776091309379;0.25331528141238063;0.2378044572761307;0.19174143604595514;0.19352586862981763;0.1914642774980222;0.19302640571414356;0.1853950667496215;0.2590113927593524;0.2363365121613772;0.20370688167757775;0.2536072407962652;0.2557636375664941;0.2098953541931376;0.2355510872920253;1.0;enero
TOTAL HUEVOS GALLINA;0.20384916650160378;0.23747895842032207;0.23415789036216647;0.23774513390497573;0.2875764673016045;0.18833629202092247;0.32053769817132216;;0.24552865403455051;0.23700006169999258;0.21187680650640592;0.2208776091309379;0.25331528141238063;0.2378044572761307;0.19375655895220312;0.19563543981751763;0.19346501888098516;0.19553018612435105;0.18561251663209585;0.26341262607898946;0.2363365121613772;0.20370688167757775;0.25367283404452207;0.2557636375664941;0.2105476093356507;0.23579277909623914;2.0;enero
OTRAS AVES;0.1054183313434696;0.19471172496700248;;0.19471172496700248;;;0.3250000040570433;;;0.1610030901777692;;;;;0.09202802838880435;0.09346078197004949;0.09179453882129827;0.09134634274201021;0.10693607030254243;0.09581931943376223;;;0.2500063273365338;;0.10501865626568138;0.07085672439704695;2.0;enero
MIEL;7.391888721903282;9.797059256958264;8.414853242206302;9.85912793695791;;;11.486124772433762;;10.097919557029105;10.75700756993598;;;;8.283512140092427;6.34149560014917;6.850843528003361;6.224076523951745;6.578418778182077;5.312439351171352;;9.411278913008811;7.236320928210039;9.000002242273126;9.895336977060772;8.487163792744687;8.410457259938228;1.0;enero
GRANEL;9.617947272150717;10.00128249956746;8.999998779369884;10.03726322716092;;;11.02228805478355;;10.10161329951033;11.130197956824505;;;;8.5405784689618;;;;;;;9.411278913008811;7.236320928210039;9.000002242273126;9.895336977060772;;9.006383248643525;2.0;enero
ENVASADA;6.44750195753374;8.350970999803804;6.999999578369158;8.50375067231731;;;14.12367049331323;;10.0;7.315684018729513;;;;7.197882649423139;6.34149560014917;6.850843528003361;6.224076523951745;6.578418778182077;5.312439351171352;;;;;;8.487163792744687;6.6308845997477865;2.0;enero
TOTAL CARNE;8.242847889978401;9.644936311773202;9.256699339058496;9.656042711650974;8.363318515709013;5.422267705515426;9.076522586772144;;9.679596523788675;10.034044979393467;13.65614153148686;13.700927827110188;15.975748916234132;10.870837115962297;7.919876301347988;8.396757189571954;7.845053934953635;8.017106088520851;7.159047191011235;7.89431152954306;12.456257679808084;10.10200366126324;6.739288856221222;10.780872912144797;8.065724315175828;8.787487514019785;1.0;enero
CARNE CERTIFICADA;9.818780200029824;11.419888900537448;9.174016250107151;11.441671463970867;;6.762490429037226;8.030262370692952;;11.447363709220275;11.662525314537545;;;;7.29981651228065;9.00908164362237;9.00995101218326;9.008936725323414;9.22414544496162;7.866607310412226;9.347380687746677;11.663187543632773;9.946665129593502;9.887269005775115;10.423127923202742;9.398570010826417;10.457297644555428;2.0;enero
