Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2.8898907969349494;3.7005176803264397;2.8267674796773687;3.7509206329130924;11.34324326882576;8.963923912482164;4.874101017819461;27.8796299828625;9.602533660741523;4.275681600023463;3.090981962991447;3.091533612554853;2.1213383722344514;1.9257784402046434;2.8101866986742308;2.9771517452083303;2.780487935749288;2.871880539286084;2.448107927561366;2.5115927720419315;1.962881082455772;3.360545400812442;2.432703128702545;2.854107571955279;2.787388879275013;2.884073296234435;0.0;enero
T.HUEVOS KGS;3.231261149047008;3.786523740545181;3.7804612852165014;3.7872806064015356;;3.3873257740835845;5.413363318388352;;3.7137992825573214;3.903018489256451;4.3207528507417345;3.579238239373534;3.538454829356148;3.592105121708286;3.0506683860226294;3.168710437063363;3.0335866107966085;3.0716668755524283;2.8922674590702386;3.9361292570433237;3.6667723335924967;3.3994937847662317;3.996158546949468;4.03986249263404;3.574218001337015;3.6315550772797898;1.0;enero
T.HUEVOS UNDS.;0.20373083656679156;0.2406362919177807;0.2419495222538561;0.24047381025683767;;0.21678884817848257;0.3087429442671222;;0.23768315408366855;0.2437746451186413;0.276528182447471;0.22907124731990616;0.22646110811105366;0.2298947277893303;0.19225473065385837;0.20001708152456202;0.19113352635765873;0.19275255794619472;0.18500889524996583;0.2519122724507727;0.23467342934991978;0.21756760222503885;0.25202146017301574;0.2585511995285785;0.2204535717560947;0.22340859908336083;1.0;enero
TOTAL HUEVOS GALLINA;0.20520247736666195;0.24129840186932286;0.2419495222538561;0.24121710085744824;;0.21678884817848257;0.31744386142643694;;0.23768315408366855;0.24696028674475912;0.276528182447471;0.22907124731990616;0.22646110811105366;0.2298947277893303;0.19407451426825806;0.20181539124733266;0.19295394775306715;0.19508653797761624;0.18506814086042525;0.2519122724507727;0.23467342934991978;0.21756760222503885;0.251880839055601;0.2585511995285785;0.21994285514827244;0.22311402692223634;2.0;enero
OTRAS AVES;0.12155619043382342;0.16171872511165264;;0.16171872511165264;;;0.24999992993656459;;;0.1354024035188117;;;;;0.09374672905877379;0.09114393016008467;0.09407852735321841;0.09411497652597309;0.0889039486762447;;;;0.26001036947180534;;0.23182421433401887;0.22952477453668277;2.0;enero
MIEL;7.895871345069553;9.836258131743863;7.804624678393702;10.235899795338801;;;9.522423760106488;;10.94894276793162;10.799856048452286;;;9.870169180020797;8.711399956860193;6.368911024617648;7.784481343273198;6.05246913388253;6.2019735334051544;5.491046989500919;;12.500191598473023;7.5;11.999998636188666;12.705856097748082;6.929651333268173;9.284371809197943;1.0;enero
GRANEL;10.561785589218049;10.135953961390902;7.670862562623208;10.652573639428066;;;9.522423760106488;;10.94894276793162;10.799856048452286;;;9.870169180020797;10.397508517329046;;;;;;;12.500191598473023;7.5;11.999998636188666;12.839864520789664;9.000257643347501;9.539220401226567;2.0;enero
ENVASADA;6.429142671704921;7.816385217032172;9.299772230150678;7.643333631240875;;;;;;;;;;7.643333631240875;6.368911024617648;7.784481343273198;6.05246913388253;6.2019735334051544;5.491046989500919;;;;;5.599790002380057;6.734994297120045;6.900588392597497;2.0;enero
TOTAL CARNE;8.44440215315347;10.139359895651554;10.559308211230011;10.12667622099785;13.121476938036388;6.497858928018176;7.200659482575594;;10.174400444715248;10.58849949499794;;8.203486522241512;14.978356692455739;11.9091857040133;8.040711826389767;8.741146706937192;7.940384465717177;8.090678425602226;7.309969586841282;8.518548072978582;12.397560979827189;12.196581026464788;7.0833925058584715;12.14975882226822;8.452363499228078;8.647870455088341;1.0;enero
CARNE CERTIFICADA;10.185527092747657;11.854526112737314;9.262811229574902;11.886916186653279;13.000005609531717;7.565775643097954;16.237529925290843;;11.842920035566912;13.15053367420581;;7.95128494513891;;12.900067490547336;9.2813085696375;10.05158489077775;9.117264702944224;9.394973811145386;7.939893029105738;11.279923954609492;11.847554324436588;9.904637272852119;10.725747275952711;11.854152667103117;13.604092233146995;11.340458086341206;2.0;enero
CARNE FRESCA;7.516770000395386;9.32589850793803;8.469668785796387;9.341131868015495;11.53752929224871;7.429817339683424;5.892126129081309;;9.360513514452707;9.423349952511064;;7.676570838548388;;8.547053099292235;6.997923941239116;7.552322154028442;6.921652069618183;7.02341580891704;6.49134508281118;7.040174578757199;10.802226354744178;11.833505191611563;7.095265102552987;9.760323746643397;7.440813692611701;7.800913477645864;2.0;enero
SALCHICHAS FRESCAS;9.123029031304954;10.097014365862494;9.281288673216569;10.109419443263304;11.980469890164374;;11.224337106719522;;10.143073090826386;9.663019843234537;;11.969490175371078;;;8.355155962227812;9.218272528133127;8.211216379981858;8.225173679354612;8.019128258205209;8.704846175517456;12.142520502243139;8.951848774713437;;7.19776140908047;8.31615216717417;9.20222068591303;3.0;enero
