Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;99.656;56.735;4.32;56.089;9.944;6.139;2.321;0.838;24.542;9.96;0.538;26.841;1.685;35.518;99.238;45.201;97.937;94.379;56.258;2.322;8.309;4.859;4.419;4.038;7.443;22.933;0.0;enero
T.HUEVOS KGS;79.219;8.553;0.584;8.16;0.036;0.004;0.157;0.0;2.342;1.756;0.361;0.81;0.217;3.145;71.209;13.57;64.649;55.584;16.88;0.609;0.896;0.208;2.925;1.783;2.144;2.653;1.0;enero
T.HUEVOS UNDS.;79.219;8.553;0.584;8.16;0.036;0.004;0.157;0.0;2.342;1.756;0.361;0.81;0.217;3.145;71.209;13.57;64.649;55.584;16.88;0.609;0.896;0.208;2.925;1.783;2.144;2.653;1.0;enero
TOTAL HUEVOS GALLINA;79.049;8.558;0.571;8.157;0.036;0.004;0.157;0.0;2.323;1.756;0.361;0.841;0.217;3.145;70.978;13.467;64.358;55.238;16.818;0.605;0.816;0.208;2.949;1.783;2.136;2.655;2.0;enero
OTRAS AVES;2.614;0.088;0.013;0.077;0.0;0.0;0.0;0.0;0.033;0.0;0.0;0.044;0.0;0.0;2.225;0.257;2.009;1.86;0.15;0.017;0.093;0.0;0.121;0.0;0.046;0.011;2.0;enero
MIEL;9.84;1.548;0.41;1.138;0.052;0.0;0.324;0.0;0.204;0.065;0.0;0.031;0.0;0.47;7.244;1.111;6.212;4.79;1.505;0.212;0.321;0.089;0.0;0.096;0.234;0.476;1.0;enero
GRANEL;2.348;1.313;0.364;0.949;0.0;0.0;0.248;0.0;0.204;0.042;0.0;0.012;0.0;0.455;0.031;0.0;0.031;0.031;0.0;0.212;0.302;0.089;0.0;0.096;0.018;0.278;2.0;enero
ENVASADA;7.853;0.233;0.045;0.188;0.052;0.0;0.074;0.0;0.0;0.021;0.0;0.019;0.0;0.015;7.216;1.111;6.185;4.762;1.505;0.0;0.016;0.0;0.0;0.0;0.213;0.191;2.0;enero
TOTAL CARNE;97.608;28.606;1.381;28.029;0.103;1.34;0.098;0.011;23.841;4.212;0.029;0.182;0.044;1.031;95.797;28.569;92.598;84.742;38.98;0.799;0.761;0.403;0.725;0.648;3.897;5.792;1.0;enero
CARNE CERTIFICADA;47.896;13.791;0.194;13.718;0.016;0.131;0.0;0.0;11.985;1.842;0.0;0.0;0.017;0.198;38.658;6.689;34.969;29.962;8.151;0.238;0.014;0.118;0.127;0.239;1.058;1.466;2.0;enero
CARNE FRESCA;91.202;25.574;0.505;25.279;0.052;0.145;0.0;0.0;22.263;3.705;0.0;0.038;0.036;0.456;85.346;19.206;80.922;71.665;29.116;0.577;0.061;0.289;0.688;0.451;3.032;4.006;2.0;enero
SALCHICHAS FRESCAS;7.793;3.593;0.061;3.53;0.0;0.0;0.0;0.0;3.156;0.454;0.0;0.0;0.0;0.0;4.314;0.796;3.581;3.25;0.346;0.055;0.0;0.01;0.011;0.0;0.116;0.055;3.0;enero
CARNE VACUNO;50.495;14.026;0.031;13.997;0.061;0.015;0.0;0.0;12.558;1.681;0.0;0.04;0.0;0.172;39.162;7.931;34.169;28.689;7.646;0.123;0.014;0.049;0.145;0.069;1.185;1.559;3.0;enero
TERNERA;40.881;12.61;0.031;12.581;0.061;0.015;0.0;0.0;11.363;1.456;0.0;0.04;0.0;0.172;29.788;5.261;26.089;21.342;6.048;0.123;0.014;0.042;0.145;0.035;0.838;0.936;4.0;enero
AÑOJO;15.67;2.178;0.0;2.178;0.0;0.0;0.0;0.0;1.85;0.331;0.0;0.0;0.0;0.0;13.338;3.109;10.951;9.296;1.836;0.0;0.0;0.005;0.07;0.034;0.395;0.453;4.0;enero
MAYOR;4.661;0.745;0.0;0.745;0.0;0.0;0.0;0.0;0.685;0.06;0.0;0.0;0.0;0.0;3.65;0.978;2.712;2.162;0.562;0.0;0.0;0.0;0.0;0.0;0.089;0.252;4.0;enero
CARNE POLLO;78.002;16.098;0.307;15.88;0.0;0.147;0.0;0.0;14.088;1.917;0.0;0.0;0.0;0.122;70.429;11.725;65.499;54.295;21.321;0.434;0.0;0.152;0.385;0.108;1.85;1.399;3.0;enero
POLLO ENTERO;19.46;4.288;0.027;4.26;0.0;0.0;0.0;0.0;3.617;0.553;0.0;0.0;0.0;0.095;14.824;1.851;13.346;11.128;2.635;0.097;0.0;0.0;0.382;0.063;0.175;0.275;4.0;enero
POLLO FILETES;33.236;5.116;0.101;5.057;0.0;0.0;0.0;0.0;4.62;0.458;0.0;0.0;0.0;0.0;28.608;2.659;26.741;20.665;7.431;0.05;0.0;0.032;0.0;0.0;0.741;0.57;4.0;enero
POLLO POR PIEZAS;68.591;13.12;0.306;12.901;0.0;0.147;0.0;0.0;11.279;1.681;0.0;0.0;0.0;0.027;61.078;9.569;56.246;45.341;17.57;0.284;0.0;0.153;0.011;0.045;1.348;0.996;4.0;enero
CARNE CONEJO;9.485;2.212;0.113;2.099;0.0;0.0;0.0;0.0;1.477;0.621;0.0;0.0;0.019;0.0;6.916;1.24;5.73;4.894;0.876;0.044;0.0;0.032;0.106;0.123;0.244;0.175;3.0;enero
CARNE OVINO/CAPRINO;11.904;4.081;0.051;4.025;0.0;0.0;0.0;0.0;3.247;0.757;0.0;0.0;0.0;0.0;7.456;1.927;5.605;5.575;0.066;0.019;0.0;0.0;0.028;0.167;0.227;0.115;3.0;enero
CORDERO;11.091;3.97;0.051;3.915;0.0;0.0;0.0;0.0;3.177;0.717;0.0;0.0;0.0;0.0;6.731;1.68;5.071;5.041;0.066;0.019;0.0;0.0;0.028;0.157;0.227;0.111;4.0;enero
