Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;3.092246702096321;3.7688498827801484;3.2974137417939535;3.7889077592544793;11.323114272750793;8.818900744634167;5.928365263182783;31.081960861034375;9.663892731103523;4.255384414472069;4.161313431936222;2.924400301758085;2.7689825427850403;2.0317724098664733;3.0154362710718483;3.146815015127796;2.9901958073687784;3.0679164587521752;2.710962684372967;2.9892796059620785;1.9806768879938088;3.336445684874297;2.758551338708831;2.8930021344695875;3.01291425516343;3.2068869897221197;0.0;enero
T.HUEVOS KGS;3.203647963478913;3.6602644334752314;3.5228550886481798;3.67076068823747;;4.557293170439699;4.290488734130809;;3.9902695220922966;3.8004352969369775;3.6086646793557597;3.8310522838181713;3.4074053200951577;3.4009317241866963;3.0632438371572115;3.1256137741853;3.0534170963490057;3.097758672186115;2.883822419792713;3.258282603634584;3.6983799942710838;3.3896412833787872;3.9790982901812457;3.66093391354399;3.253280339426416;3.5155153172124045;1.0;enero
T.HUEVOS UNDS.;0.20143951122487283;0.2327520718649229;0.22546272567348352;0.23330503676425818;;0.2916666937610342;0.2745912818276644;;0.2517694410653165;0.23872896351481035;0.23095453947876865;0.24518734616436294;0.21807393904359165;0.21765963034794855;0.19243704886372665;0.19724745537959895;0.1916831110335735;0.19352242219863622;0.18447946154556785;0.20853008663261338;0.23669631963334936;0.21693704213624238;0.2494662435055431;0.22856609115158907;0.2058094524689009;0.22045035230430648;1.0;enero
TOTAL HUEVOS GALLINA;0.203419693129834;0.23337291292006013;0.22546272567348352;0.2339779283518607;;0.2916666937610342;0.2745912818276644;;0.25421181647172963;0.2401726073738239;0.23095453947876865;0.24518734616436294;0.21807393904359165;0.21765963034794855;0.19468396574971653;0.19898016419705286;0.19400640528604657;0.19651060633199416;0.1844710762543776;0.20853008663261338;0.23669631963334936;0.21693704213624238;0.24945297263273955;0.23132360293955795;0.207390894772071;0.22330578926775282;2.0;enero
OTRAS AVES;0.10810264503460108;0.1518287468694038;;0.1518287468694038;;;;;0.1083421634802147;0.17431874281391688;;;;;0.0917430173581702;0.0942272090041073;0.09145875704361074;0.09092413933082631;0.19980229863378973;;;;0.2500017609244864;0.13624788195926732;0.09165479733054523;0.10397619658054105;2.0;enero
MIEL;7.558557963275818;9.256186565404931;3.590274626158397;9.439830817856215;;;10.273341527692322;;7.86200007657702;10.88875049939534;;;;9.742516073152066;6.151260288976238;7.123209916446229;5.9767052236899705;6.2340123605352895;5.214818888395129;5.780224839811226;9.840762582251807;;;11.503379295717757;7.389432634913085;9.852472546643234;1.0;enero
GRANEL;10.16788505599452;9.503560324942333;;9.503560324942333;;;10.273341527692322;;7.86200007657702;10.88875049939534;;;;9.880143947647591;13.000163130864527;;13.000163130864527;13.000163130864527;;;9.794764203577463;;;11.503379295717757;;10.067045759636725;2.0;enero
ENVASADA;6.371100593029093;5.006809993085772;3.590274626158397;6.889768704904607;;;;;;;;;;6.889768704904607;6.122079443641346;7.123209916446229;5.941378378618113;6.188409944651867;5.214818888395129;5.780224839811226;9.899825924417856;;;;7.389432634913085;8.496357496136737;2.0;enero
TOTAL CARNE;8.377359025708817;10.036763273320537;11.211378920410414;10.008308152643737;13.294388626573651;6.374022970261109;11.796822769451945;;9.956422099157935;10.976445144651718;;10.306077384002002;11.65034288306026;9.861057200952933;7.98732670745153;8.63434620347585;7.888283668881625;8.068799328651451;7.198456684535999;8.42875147277347;13.006115535752555;8.634962764782996;6.247760248759495;7.485804860631944;8.3451602550823;8.69311127509784;1.0;enero
CARNE CERTIFICADA;10.04162860142034;11.90810961410934;9.493561079847556;11.939585905927457;9.500981580387666;8.007623460413155;13.272432979806414;;11.907465644624132;12.60415283315394;;13.869176609124436;;8.745373532511977;9.194862232663501;9.309236940867045;9.173935845113464;9.43141520567618;7.899261250421183;9.809176465440581;12.315165695765506;10.326006777969553;12.425988230950862;10.857211915627778;8.319978098586747;9.520757147930265;2.0;enero
CARNE FRESCA;7.511984791172608;9.256016649020834;8.575003777028542;9.265908923179603;10.87691582009106;7.405556576777849;10.583538470130103;;9.252269301662025;9.451486453585575;;8.369235312574983;13.447708374498061;7.0191199160504905;7.005275354074085;7.358994624217307;6.953336295839652;7.094921561819176;6.409906493526425;7.602594049286522;10.965785943707777;8.40251729355941;6.251322074473596;6.809119113620954;7.192446417325041;8.110960980441174;2.0;enero
SALCHICHAS FRESCAS;8.775781734764868;9.424749704676222;8.902488938359609;9.439997226347389;;;;;9.631788923004603;7.698622024359372;;;;;8.28833137980234;8.277361722316604;8.290277111369205;8.395065890411523;6.874082959078357;8.890965718777771;9.501142809254182;;;9.0546189026563;11.616393074559193;6.82327036096139;3.0;enero
CARNE VACUNO;12.367174992277056;13.07063910204504;13.0206539338679;13.071101727606747;10.402994992339123;;12.719375526920464;;13.055490868352274;13.419598687852464;;19.986269574029883;13.599602128822113;8.533986569823215;12.0338873357648;11.851877026507788;12.077056864742154;12.419274813394502;10.422338123931562;13.482506681119725;11.18698539096754;10.978570972980938;;11.78168181903761;11.127179094439288;11.097087849174754;3.0;enero
TERNERA;12.317378305932019;13.109780836501264;13.075635171824908;13.110061667157932;10.402994992339123;;14.809751555657984;;13.094581248391291;13.573186980054496;;;13.599602128822113;8.533986569823215;11.804022065282034;12.278596636780657;11.714208682866227;12.008055065785442;10.343190478802073;13.06136339771101;11.280844428949047;11.11546399120887;;10.405054063325881;11.071351281832493;10.797257341931882;4.0;enero
AÑOJO;12.472727173171727;13.441497295887107;12.843056208206807;13.453769288729756;;;6.597576153540872;;13.324449302303956;14.21102621628188;;19.986269574029883;;;12.305790768732004;11.371167693185615;12.599822179741214;12.972530973885124;10.581618768565857;15.675611989143421;10.000000000000002;9.000514229527104;;30.001618587267604;11.352626694186469;10.896284001094783;4.0;enero
MAYOR;12.585554830312184;11.130232008135657;;11.130232008135657;;;;;11.310801443698162;10.241447948185442;;;;;12.970231374811506;11.316343985188835;13.655411852344645;14.308107004708527;10.664142824275224;;10.499531457634419;;;;11.297540353407594;13.710510795203872;4.0;enero
CARNE POLLO;5.486152631191909;6.014467861354493;6.297694030309719;6.0107282409013765;9.898024549682372;5.7337207288001055;7.022399728477761;;5.948950968530381;6.661727984624922;;3.2520321817569977;13.940764327568026;4.4364219611994;5.358624252448511;5.330266203411993;5.36236672146955;5.348681951774614;5.409140000837857;5.695994123930894;4.325382883706129;6.780178625099242;5.292015785067964;5.405664127388214;5.797758896419454;5.827004079347017;3.0;enero
POLLO ENTERO;4.032593452341923;4.545203316070183;3.8513121145922624;4.546216868383152;;;;;4.504126343516654;5.199035375748054;;3.2520321817569977;;3.7514409528522403;3.7059440691728534;4.050232260703306;3.672036921058411;3.678165093972151;3.637449766828033;4.343094041858028;;4.3452390098711255;5.578809159542364;5.590445553963394;3.924373154314884;4.9321904144709245;4.0;enero
POLLO FILETES;7.40475075728944;7.78946890053625;7.331155988716836;7.791802927736725;;;6.399904334055138;;7.812736091754211;7.565249662003731;;;;10.071001401329141;7.32250536154407;7.0826184042983265;7.348070736755591;7.430078741255888;7.105230385575992;6.252530168642676;7.283900627255664;6.9898082514604045;;7.936504478434789;7.960404178374341;7.441129433082621;4.0;enero
POLLO POR PIEZAS;5.5242775482971025;6.383515541988101;6.330369317901508;6.384646728366277;9.898024549682372;5.7337207288001055;8.243249136429004;;6.307905988337027;7.030744382287934;;;13.940764327568026;4.773434455883346;5.362538873507048;5.27771215473031;5.374972800839979;5.3953427262944516;5.310792554748005;5.741055731442013;3.9931444482514897;7.348406382810657;3.7603505309727354;4.477325077701336;5.69328630779902;5.716561026224128;4.0;enero
