Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;3.21481681672031;4.062318473354832;3.5122221236978683;4.0826956842634;11.761730332068097;9.167314197928329;5.878929932753542;21.079748329434228;9.889529463032494;4.187536420541313;3.9240713914793304;2.9595057179325788;2.682325506273938;2.1471448423153454;3.1226880439220848;3.250382530748243;3.09935964267832;3.18036339419195;2.8132254884967263;3.0503248950484685;2.1526060880047693;3.9127516853543622;2.6409895906146383;4.1007966363634;3.090166238137384;3.4267335229788447;0.0;enero
T.HUEVOS KGS;3.236646118375224;3.870221125521085;3.4820105184830066;3.9017652637526057;3.1250008706311725;2.7121537050721574;5.1898350994677624;;4.066112369823581;3.9798714034318317;4.116013670231292;3.9851570923058497;3.864189610185595;3.712163009668443;3.0953067895418314;3.2812506464036613;3.06824256504515;3.0942789428073674;2.972544010665941;3.368208377988936;3.0575743290476733;3.5924238226885077;4.045254865684777;3.6861650692843573;3.4514349298454894;3.880959387771205;1.0;enero
T.HUEVOS UNDS.;0.20335165062335928;0.2465238820375401;0.22284867318291243;0.24843779246464487;0.20000005572039506;0.17357783565559262;0.33214944876991415;;0.2543522385640796;0.25419623923604584;0.26342487489480276;0.2550500539075744;0.2473081376965436;0.23757843261878037;0.19437545992869182;0.20603392055378336;0.19267839222281194;0.1942023139979471;0.1870620933783675;0.2155653361912919;0.1956847570590511;0.22597421914421245;0.2561422066724939;0.2359145644341989;0.21862698891536655;0.2272820415009081;1.0;enero
TOTAL HUEVOS GALLINA;0.20521676886400472;0.24637788459318472;0.22284867318291243;0.2482915746933076;0.20000005572039506;0.17357783565559262;0.33214944876991415;;0.25347961761703985;0.25444678483000766;0.26342487489480276;0.2550500539075744;0.2473081376965436;0.23757843261878037;0.19665976831802676;0.2089120253608258;0.1948764806088306;0.1964822574139308;0.18897732036272905;0.2155653361912919;0.1956847570590511;0.22547601430692532;0.25610390692114965;0.2359145644341989;0.22018434702646844;0.22519722867143288;2.0;enero
OTRAS AVES;0.11928925359102754;0.2724507475681863;;0.2724507475681863;;;;;0.2860706992678004;0.1499999769878049;;;;;0.0941365664762257;0.08033190397457324;0.09615664713795663;0.09705530803266564;0.09232408093565744;;;0.25000011941821354;0.2591416787606608;;0.09202710646456766;0.24590487127096233;2.0;enero
MIEL;7.450022550579281;9.511296610185155;9.233400098257814;9.537312037437115;;;11.239945005783122;;9.964854384932929;8.425022512188946;11.911716822826719;10.976533661810404;11.000001510079024;8.32457326197519;6.1088891660460485;6.954710933729874;5.9630469802714225;6.375404490269305;5.196764016044345;8.871316567086573;11.212700539280299;10.499999288667334;9.776573868123565;9.589112972336805;10.156709936274051;8.824884710447568;1.0;enero
GRANEL;9.998098823914543;9.600664316526982;9.843456658441992;9.574870292358728;;;14.999998743107517;;9.954960352164049;9.000375808425101;11.911716822826719;11.000001095519433;11.000001510079024;8.19740072208458;15.999668386505284;;15.999668386505284;15.999668386505284;;10.0;11.301622267553443;10.499999288667334;9.776573868123565;9.589112972336805;10.795763545184965;9.37948146955177;2.0;enero
ENVASADA;6.276034459292353;9.28973177916908;6.797306087613346;9.447810562425712;;;9.99966832476644;;9.993733457086018;6.8997431962292195;;10.949876694958107;;8.678135925435079;6.059411261291036;6.954710933729874;5.904131569430403;6.288232229421037;5.196764016044345;6.304130245411674;9.703406281254065;;;;5.0914483334778655;5.945164555925081;2.0;enero
TOTAL CARNE;8.42750239714374;10.195882016423795;10.200545412435424;10.195789615281141;8.967453766438362;6.3383032638099275;9.920475444616757;;10.210392378932333;10.402170186576566;14.787442903628184;9.439336060820148;19.313752782856568;13.04636574858653;8.033119837636633;8.992580275657485;7.897527543387745;8.084188396992914;7.183356565296095;9.994279776507694;13.396804465429078;7.767163638065904;6.831600146636412;8.501987121216178;8.770442500064316;8.500637686731311;1.0;enero
CARNE CERTIFICADA;9.939224629076687;11.477648259783972;8.869440227232268;11.505367934262306;;7.098931213578646;;;11.510840088524802;11.727771421363327;;4.989792360349554;;10.190075426722979;9.270341295552;9.846354553572386;9.147710088880231;9.471980611489528;7.948503377000397;9.748328493039251;10.918820953453714;8.05674216489138;8.192016236014142;9.135814086967274;10.798723988334912;8.6244697564333;2.0;enero
