Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;7259365.0317;995303.6233049999;30737.160465;964566.595955;117775.16656;38091.022582000005;8672.195706;3235.54773;291435.073904;133641.66620100001;1591.363266;99014.449011;11303.211862;259806.74503299998;5634327.727600001;905906.0018;4728421.3607;3781476.2795;946945.08525;19259.796584;60733.436895000006;42067.856469;136221.552238;32524.143434999998;159529.22972099998;179397.54584;0.0;enero
T.HUEVOS KGS;118188.99;9556.59702;646.1319;8910.46502;35.89351;64.0928;143.4124;0.0;1855.6938799999998;2302.446141;401.5957;932.5288;72.26967;3102.532;91510.62340000001;12325.5594;79185.06390000001;62777.2881;16407.7759;288.4303;665.6671;465.74002;8533.6397;2183.792;1964.87963;3019.5867000000003;1.0;enero
T.HUEVOS UNDS.;118188.99;9556.59702;646.1319;8910.46502;35.89351;64.0928;143.4124;0.0;1855.6938799999998;2302.446141;401.5957;932.5288;72.26967;3102.532;91510.62340000001;12325.5594;79185.06390000001;62777.2881;16407.7759;288.4303;665.6671;465.74002;8533.6397;2183.792;1964.87963;3019.5867000000003;1.0;enero
TOTAL HUEVOS GALLINA;116684.1;9497.456;646.1319;8851.324;35.89351;64.0928;143.4124;0.0;1799.812;2299.187;401.5957;932.5288;72.26967;3102.532;90523.16;12217.99;78305.17;62057.86;16247.31;288.4303;665.6671;455.27259999999995;8424.789;2183.792;1954.829;2690.67;2.0;enero
OTRAS AVES;1504.89;59.14102;0.0;59.14102;0.0;0.0;0.0;0.0;55.881879999999995;3.259141;0.0;0.0;0.0;0.0;987.4634;107.56939999999999;879.8939;719.4281;160.4659;0.0;0.0;10.46742;108.8507;0.0;10.05063;328.9167;2.0;enero
MIEL;10274.49;2058.256;171.0275;1887.229;0.0;0.0;180.2668;0.0;874.2946999999999;132.7626;68.5938;75.35184;36.42194;519.5372;5285.001;884.8743000000001;4400.127;3058.534;1341.594;48.35359;590.2009;59.0441;256.2528;839.2104;593.822;544.3525999999999;1.0;enero
GRANEL;4349.112;1480.457;145.8126;1334.645;0.0;0.0;59.670970000000004;0.0;650.5476;102.98230000000001;68.5938;40.163599999999995;36.42194;376.2643;68.89806;0.0;68.89806;68.89806;0.0;37.86005;561.7833;59.0441;256.2528;839.2104;560.4734;485.1322;2.0;enero
ENVASADA;5925.383;577.7993;25.21494;552.5843000000001;0.0;0.0;120.5959;0.0;223.74710000000002;29.78023;0.0;35.18825;0.0;143.2729;5216.103;884.8743000000001;4331.229;2989.635;1341.594;10.493540000000001;28.41758;0.0;0.0;0.0;33.348620000000004;59.22045;2.0;enero
TOTAL CARNE;1468660.0;309220.2;6038.271;303182.0;94.83181;2962.805;410.1692;0.0;266494.1;30220.26;52.58811;405.7694;1213.418;1327.97;1094809.0;151752.4;943056.4;765317.1;177739.3;1857.256;2460.575;1294.185;8833.218;5712.713;21477.77;22994.99;1.0;enero
CARNE CERTIFICADA;232112.8;83202.62;676.1051;82526.52;0.0;257.9041;0.0;0.0;74548.54;7660.972;0.0;11.047540000000001;0.0;48.058769999999996;137929.7;25714.07;112215.6;91461.71;20753.9;245.90879999999999;293.5204;87.02909;3875.008;2349.376;1988.098;2141.505;2.0;enero
CARNE FRESCA;951274.0;243363.9;2404.814;240959.1;24.45016;270.7668;296.3118;0.0;216002.4;23718.6;0.0;213.9771;104.0275;328.5915;665392.6;85745.46;579647.1;468619.5;111027.6;967.8508;681.1913000000001;708.3145999999999;8350.359;4633.901;12754.41;14421.61;2.0;enero
SALCHICHAS FRESCAS;10894.17;4089.489;85.21838000000001;4004.271;0.0;0.0;0.0;0.0;3712.322;274.60209999999995;0.0;0.0;0.0;17.34723;6156.757;536.1285;5620.628;5389.949;230.6798;0.0;0.0;0.0;0.0;275.4868;119.3804;253.0555;3.0;enero
CARNE VACUNO;212496.2;75262.66;288.0055;74974.66;0.0;0.0;257.7688;0.0;68598.78;6106.097;0.0;0.0;0.0;12.007879999999998;128482.8;24210.38;104272.4;89014.74;15257.69;114.95689999999999;308.0415;56.78041;297.26090000000005;790.2869000000001;3262.616;3920.762;3.0;enero
TERNERA;150455.8;65515.2;269.7495;65245.45;0.0;0.0;257.7688;0.0;59617.83;5357.839;0.0;0.0;0.0;12.007879999999998;79642.65;13098.74;66543.91;54939.94;11603.98;114.95689999999999;308.0415;0.0;297.26090000000005;626.6525;1398.094;2552.974;4.0;enero
AÑOJO;48034.96;8503.366;18.25597;8485.11;0.0;0.0;0.0;0.0;7997.083;488.02709999999996;0.0;0.0;0.0;0.0;37350.92;8435.666;28915.25;26343.75;2571.501;0.0;0.0;56.78041;0.0;163.6344;991.9865;968.2784;4.0;enero
MAYOR;14005.4;1244.1;0.0;1244.1;0.0;0.0;0.0;0.0;983.8685;260.2313;0.0;0.0;0.0;0.0;11489.25;2675.978;8813.275;7731.06;1082.215;0.0;0.0;0.0;0.0;0.0;872.5353;399.5098;4.0;enero
CARNE POLLO;290103.2;50096.06;855.9545;49240.11;0.0;75.24877000000001;38.542970000000004;0.0;44778.42;4291.462;0.0;13.398100000000001;0.0;43.03197;229181.6;22995.77;206185.8;159652.5;46533.29;324.7596;17.11214;455.0924;2163.266;824.1165;3556.889;3484.345;3.0;enero
POLLO ENTERO;43398.42;9459.626;96.04409;9363.582;0.0;0.0;0.0;0.0;8327.632;1035.951;0.0;0.0;0.0;0.0;29828.74;3249.266;26579.48;22150.78;4428.702;44.4786;17.11214;304.5387;2163.266;353.88620000000003;513.2048;713.5591999999999;4.0;enero
POLLO FILETES;54243.59;10515.47;47.01037;10468.46;0.0;0.0;0.0;0.0;9287.55;1180.907;0.0;0.0;0.0;0.0;42298.04;3518.91;38779.13;30617.05;8162.074;10.69699;0.0;80.17304;0.0;0.0;710.8413;628.3743000000001;4.0;enero
POLLO POR PIEZAS;192461.2;30120.97;712.9;29408.07;0.0;75.24877000000001;38.542970000000004;0.0;27163.24;2074.605;0.0;13.398100000000001;0.0;43.03197;157054.8;16227.6;140827.2;106884.7;33942.52;269.584;0.0;70.38066;0.0;470.23040000000003;2332.843;2142.412;4.0;enero
CARNE CONEJO;19234.44;4994.633;92.89964;4901.733;0.0;0.0;0.0;0.0;3842.12;859.4841;0.0;96.10114999999999;104.0275;0.0;12578.65;1840.635;10738.02;9021.486;1716.532;3.131999;0.0;27.8119;475.3236;419.56309999999996;365.51340000000005;369.8138;3.0;enero
CARNE OVINO/CAPRINO;34406.21;17287.17;0.0;17287.17;0.0;0.0;0.0;0.0;14995.1;2246.62;0.0;8.847162;0.0;36.600319999999996;15289.76;3105.605;12184.15;12049.93;134.2246;0.0;0.0;0.0;0.0;1157.324;492.1088;179.849;3.0;enero
CORDERO;30774.08;15207.54;0.0;15207.54;0.0;0.0;0.0;0.0;12915.47;2246.62;0.0;8.847162;0.0;36.600319999999996;14175.35;2611.986;11563.36;11429.14;134.2246;0.0;0.0;0.0;0.0;719.2355;492.1088;179.849;4.0;enero
CABRITO;2479.013;1513.918;0.0;1513.918;0.0;0.0;0.0;0.0;1513.918;0.0;0.0;0.0;0.0;0.0;527.0059;162.5129;364.493;364.493;0.0;0.0;0.0;0.0;0.0;438.0885;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;1153.12;565.7173;0.0;565.7173;0.0;0.0;0.0;0.0;565.7173;0.0;0.0;0.0;0.0;0.0;587.4023000000001;331.10679999999996;256.2954;256.2954;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;8041.121;5388.92;0.0;5388.92;0.0;0.0;0.0;0.0;5388.92;0.0;0.0;0.0;0.0;0.0;1307.286;69.67138;1237.614;1237.614;0.0;0.0;0.0;0.0;0.0;1157.324;187.59120000000001;0.0;4.0;enero
OVINO/CAPRINO PIEZ;26365.09;11898.25;0.0;11898.25;0.0;0.0;0.0;0.0;9606.184;2246.62;0.0;8.847162;0.0;36.600319999999996;13982.47;3035.934;10946.54;10812.31;134.2246;0.0;0.0;0.0;0.0;0.0;304.51759999999996;179.849;4.0;enero
CARNE CERDO;295826.9;76761.3;1062.139;75699.16;0.0;195.518;0.0;0.0;67947.68;7372.159;0.0;11.047540000000001;0.0;172.755;204535.0;25957.27;178577.8;143432.1;35145.67;379.742;349.8788;159.37679999999997;4121.883;1442.61;3393.844;4683.272;3.0;enero
CARNE CERDO ADOBAD;33404.56;7247.62;111.3963;7136.223;0.0;0.0;0.0;0.0;6547.728;588.4956;0.0;0.0;0.0;0.0;24468.48;2135.155;22333.32;17808.7;4524.618;75.95413;9.96179;24.77832;0.0;187.20839999999998;470.4349;920.1256;4.0;enero
CARN.CERDO IBERICO;13858.31;6776.392;19.97235;6756.42;0.0;0.0;0.0;0.0;5949.017;721.3530999999999;0.0;0.0;0.0;86.04896000000001;6743.272;1143.057;5600.215;4979.545;620.6703;79.39741000000001;0.0;0.0;0.0;0.0;74.71104;184.5412;4.0;enero
CARNE DESPOJOS;16221.67;6527.417;27.28542;6500.132;24.45016;0.0;0.0;0.0;5268.671;1177.81;0.0;8.846035;0.0;20.354380000000003;9347.462;1359.71;7987.753;7807.885;179.8676;76.96293;6.158816;9.253034;65.1761;0.0;126.67989999999999;62.56108999999999;3.0;enero
DESPOJOS CERDO;8141.564;3303.068;23.13484;3279.933;24.45016;0.0;0.0;0.0;2631.679;594.6037;0.0;8.846035;0.0;20.354380000000003;4670.37;698.9986;3971.371;3911.805;59.56558999999999;76.96293;0.0;9.253034;18.72455;0.0;37.53646;25.65036;4.0;enero
DESPOJOS CORDERO;793.8489000000001;579.8358000000001;0.0;579.8358000000001;0.0;0.0;0.0;0.0;412.01779999999997;167.818;0.0;0.0;0.0;0.0;211.9627;82.00474;129.958;129.958;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0503519999999997;4.0;enero
