Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;2258096.0115500004;245008.762812;8751.485351;236257.284537;10013.421769999999;4155.090767;1475.131666;153.490814;29469.053608;31914.150178;405.538816;33456.414161;4213.959803000001;121001.03351800001;1804319.7554000001;278707.50388;1525612.35411;1189007.61039;336604.758176;6314.014817;28213.911144;10751.476161;51579.738414;7931.176871000001;51624.805084;52352.347983;0.0;enero
T.HUEVOS KGS;36515.8827;2469.263825;185.56288;2283.700945;11.48592;23.631699;27.633325;0.0;456.380373;578.522748;97.56908800000001;234.000512;18.702413;835.77472;29564.3145;3756.36022;25807.9543;20288.17998;5519.7756;85.633152;217.710848;129.645065;2109.5431519999997;592.429248;569.293546;778.05161;1.0;enero
T.HUEVOS UNDS.;581204.97;38765.4005;2899.42;35865.9805;179.4675;369.2453;431.77070000000003;0.0;7295.7639;9057.75061;1524.517;3656.258;292.22520000000003;13058.98;470793.09;59822.962;410970.13;323257.158;87712.992;1338.018;3401.732;2061.03166;33316.023199999996;9256.707;8987.3608;13285.637;1.0;enero
TOTAL HUEVOS GALLINA;568589.5;38548.33;2899.42;35648.91;179.4675;369.2453;431.77070000000003;0.0;7100.421;9036.023;1524.517;3656.258;292.22520000000003;13058.98;460303.4;58483.9;401819.5;315844.6;85974.92;1338.018;3401.732;2019.162;32895.98;9256.707;8878.147;11948.06;2.0;enero
OTRAS AVES;12615.47;217.0705;0.0;217.0705;0.0;0.0;0.0;0.0;195.3429;21.727610000000002;0.0;0.0;0.0;0.0;10489.69;1339.062;9150.63;7412.558;1738.072;0.0;0.0;41.86966;420.0432;0.0;109.2138;1337.577;2.0;enero
MIEL;1379.122;216.40120000000002;18.5227;197.8785;0.0;0.0;16.03805;0.0;87.73783;15.75813;5.758515;6.864812;3.311085;62.41007;865.1329000000001;127.2338;737.8991;479.7396;258.1595;5.450554;52.63682;5.623247999999999;26.210900000000002;87.517;58.46598;61.68382;1.0;enero
GRANEL;434.9939;154.2036;14.81315;139.3904;0.0;0.0;3.978065;0.0;65.34908999999999;11.442;5.758515;3.651236;3.311085;45.90044;4.306217999999999;0.0;4.306217999999999;4.306217999999999;0.0;3.7860050000000003;49.7082;5.623247999999999;26.210900000000002;87.517;51.916050000000006;51.72271;2.0;enero
ENVASADA;944.1285;62.19763;3.709549;58.488080000000004;0.0;0.0;12.059989999999999;0.0;22.388740000000002;4.316136;0.0;3.2135749999999996;0.0;16.50964;860.8267;127.2338;733.5929;475.4333;258.1595;1.66455;2.9286190000000003;0.0;0.0;0.0;6.5499279999999995;9.961112;2.0;enero
TOTAL CARNE;174269.9;30327.95;591.9557;29736.0;10.57511;467.4445;41.34572;0.0;26100.28;2905.188;3.556268;42.98707;62.826629999999994;101.7885;136286.9;16875.29;119411.6;94668.39;24743.21;185.8319;183.66879999999998;166.6226;1292.994;671.9268000000001;2448.881;2705.09;1.0;enero
CARNE CERTIFICADA;23353.21;7249.1;76.22861;7172.871;0.0;36.329989999999995;0.0;0.0;6476.377;653.2334000000001;0.0;2.214028;0.0;4.716233;14878.6;2611.532;12267.07;9656.028;2611.045;25.225740000000002;26.882060000000003;10.80202;473.0225;257.16110000000003;184.1049;248.3057;2.0;enero
