Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
.TOTAL ALIMENTACION;3.0294475837060797;3.783205969733671;3.360431026108828;3.798324689601089;11.087526994015978;9.176001439013541;6.005860862790061;15.492772427571353;9.64634861792688;3.9663879379179994;3.427630582477011;2.9269176530904506;1.6784150309637544;1.975043474899709;2.9703740908043375;3.094049596867997;2.9478740492347844;3.0290760950273556;2.652421949475047;2.0992517117102403;1.9690422486468735;3.5416680185331724;2.331989137479392;2.8372492008544143;3.0455372510200305;3.267772289368359;0.0;enero
T.HUEVOS KGS;3.176996177846834;3.87088150406712;3.4538482925183844;3.8924840450343186;3.645832740321971;5.729168546724435;4.904545781040204;;4.185759253159913;3.919168150715848;3.617051843089286;3.62911264160884;4.4174074869107365;3.757280299744883;3.0414969331616555;3.2061358482623454;3.018732252465955;3.065282628397298;2.849951974321248;3.5177846445753276;3.81414375287788;3.646583642272738;3.938524891687737;3.64062506368209;3.370937149024381;3.155285414162708;1.0;enero
T.HUEVOS UNDS.;0.2005777365164991;0.2463286329016512;0.2210462907211766;0.24763044384815902;0.23333330475716113;0.3666667724457369;0.31389092326632795;;0.2678885922022344;0.2482173805076946;0.23149131795771427;0.23226320906296574;0.28271407916228714;0.23854476254646137;0.19196237855937792;0.20291445971702457;0.19045279561322637;0.19264528991878313;0.18235921859049078;0.22513821725282096;0.24410520018418433;0.2333813531054552;0.24588248932990778;0.23300000407565377;0.20912837382560726;0.2012770128419361;1.0;enero
TOTAL HUEVOS GALLINA;0.2021701095968826;0.24689279166647907;0.2210462907211766;0.24823314467935043;0.23333330475716113;0.3666667724457369;0.31389092326632795;;0.2678885922022344;0.24881930341145336;0.23149131795771427;0.23226320906296574;0.28271407916228714;0.23981320491409486;0.19375874676993665;0.20459467145189134;0.19225957242943345;0.19499299380311083;0.1823821261985205;0.22513821725282096;0.24410520018418433;0.2333813531054552;0.2461312319561228;0.23300000407565377;0.21355523742474153;0.20165817232193;2.0;enero
OTRAS AVES;0.10283115026388931;0.16312652706696912;;0.16312652706696912;;;;;;0.20000006420055225;;;;0.10585454382282407;0.08421903583546504;0.07690926727981308;0.08500606822368056;0.08499398804478887;0.08888890532522495;;;;0.23757522681869986;;0.09167487390834314;0.103444709292817;2.0;enero
MIEL;7.5896253093477934;10.79838817955026;13.100091199885597;9.710078965279898;;;14.433152315265998;;6.9999990414229885;9.867186325261649;;10.500186966432658;;9.575793445631861;6.595831706134824;7.207011730774226;6.436378404629134;6.80796820715339;5.528445170277151;;11.92082854359149;8.999645237833171;7.000000478831575;8.261959587373951;9.830336098250326;10.417799376672178;1.0;enero
GRANEL;10.078980308482675;11.94352459418288;13.100091199885597;10.780985830738432;;;;;;11.148737287100417;;10.500186966432658;;10.62811914221807;6.5001889239964195;;6.5001889239964195;6.5001889239964195;;;12.042487601187872;8.999645237833171;7.000000478831575;8.261959587373951;12.500002245263616;8.348523141566194;2.0;enero
ENVASADA;6.947737789650022;8.758875958359594;;8.758875958359594;;;14.433152315265998;;6.9999990414229885;6.899741485415434;;;;8.838644063283104;6.59698704565914;7.207011730774226;6.435403000608182;6.81463807087432;5.528445170277151;;10.989148092257707;;;;8.995118878297328;11.494602122047457;2.0;enero
TOTAL CARNE;8.367044591604785;9.916858516555182;10.241534677121747;9.908608672719739;18.422210771589032;5.693273587033788;11.596740231962109;4.6450450138885175;9.938741784004769;10.284650907772688;13.04263798594553;11.471594931843876;12.000003627433554;10.397815912636505;8.00643952491617;8.644533047278548;7.916624316822092;8.066218941398901;7.303520291168006;8.125173412099167;16.325875328241438;10.033302213083433;6.4376852219030285;10.976586089998532;8.671155702423698;8.785777807987946;1.0;enero
CARNE CERTIFICADA;9.769117341579943;11.554822018898811;7.558125513094304;11.581928660047723;11.901912856861946;9.32495137432848;;;11.583113105461942;11.728806800853166;;14.498706258731723;;11.118861447416059;8.982134741728109;9.499765889612902;8.877691699940081;9.06680396405717;8.025830410884401;11.556104971210024;11.70812842020965;10.809110113831437;6.602791988763353;10.123704791676753;11.395064072314966;9.464495260028215;2.0;enero
