Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;43.03260600073205;109.1343590206908;99.197;2.536085288881511;238030.336557;93857.386264;0.0;enero
T.HUEVOS KGS;0.61720212542071;1.67451571533848;69.769;2.713075095451187;3652.2461200000002;1346.164773;1.0;enero
T.HUEVOS UNDS.;9.73091942944805;1.67451571533848;69.769;0.1720819628072353;3652.2461200000002;21223.8753;1.0;enero
TOTAL HUEVOS GALLINA;9.62764687270806;1.66577226963844;69.648;0.1730196684259878;3633.176;20998.63;2.0;enero
OTRAS AVES;0.10327255673999;0.00874344570003;1.481;0.08466378654737747;19.07012;225.2453;2.0;enero
MIEL;0.02558786064873;0.16829569065617;7.066;6.57716926657262;367.0657;55.80907;1.0;enero
GRANEL;0.01429778205932;0.09178011014959;1.978;6.419185141360065;200.1794;31.184549999999998;2.0;enero
ENVASADA;0.0112900785894;0.07651558050657;4.771;6.777240734032581;166.88629999999998;24.62452;2.0;enero
TOTAL CARNE;3.53309872178674;23.77698385594608;97.57;6.729781907685185;51859.41;7705.957;1.0;enero
CARNE CERTIFICADA;0.55128751731632;4.36483083907346;50.59;7.917521623419827;9520.028;1202.4;2.0;enero
CARNE FRESCA;2.57617197859277;15.91552941022235;92.259;6.177976292916654;34712.98;5618.827;2.0;enero
SALCHICHAS FRESCAS;0.0378429766568;0.28358392195959;14.671;7.493700205758749;618.5181;82.53841;3.0;enero
CARNE VACUNO;0.24981242644396;2.42609330518483;47.854;9.711659823011383;5291.494;544.8599;3.0;enero
TERNERA;0.16302842819344;1.53530822636882;36.607;9.417426416864513;3348.624;355.5774;4.0;enero
AÑOJO;0.06031311933147;0.6376659817935;14.972;10.572591649404206;1390.798;131.5475;4.0;enero
MAYOR;0.02647085599457;0.25311905117357;9.593;9.562178541767162;552.0719;57.73495;4.0;enero
CARNE POLLO;0.94120010219973;4.33070456454843;73.288;4.601258068743182;9445.596;2052.829;3.0;enero
POLLO ENTERO;0.27570762621568;0.98347143888803;26.81;3.5670810139965896;2145.026;601.3393000000001;4.0;enero
POLLO FILETES;0.10196765038351;0.6544214727452;28.276;6.417932258749132;1427.343;222.3992;4.0;enero
POLLO POR PIEZAS;0.56352459635589;2.69281211140447;61.285;4.778517439731835;5873.228;1229.09;4.0;enero
CARNE CONEJO;0.09350870645513;0.56163974690172;7.57;6.006282924801029;1224.979;203.9496;3.0;enero
CARNE OVINO/CAPRINO;0.12869610858335;1.49044459125827;20.893;11.581116225382619;3250.773;280.696;3.0;enero
CORDERO;0.12339335904989;1.45360726958597;20.614;11.780271489312055;3170.428;269.1303;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00530275870324;0.03683718871041;1.082;6.946797086562706;80.34471;11.565719999999999;4.0;enero
OVINO/CAPRINO ENTE;0.04780892443397;0.55049754027679;2.291;11.514535137410824;1200.677;104.27489999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.08088713830045;0.93994705098148;19.95;11.620476020428407;2050.096;176.421;4.0;enero
CARNE CERDO;0.87898218913015;5.39876177480594;79.495;6.142060489472008;11775.11;1917.127;3.0;enero
CARNE CERDO ADOBAD;0.08278780563497;0.59136269032536;28.161;7.143113478967583;1289.807;180.5665;4.0;enero
CARN.CERDO IBERICO;0.02075927614981;0.21570054848251;4.827;10.390562123930707;470.4593;45.27756;4.0;enero
CARNE DESPOJOS;0.07336672194022;0.33670948815237;19.288;4.589403468601112;734.389;160.01839999999999;3.0;enero
DESPOJOS CERDO;0.0352757484287;0.16884551100777;10.465;4.786447305264463;368.2649;76.93909;4.0;enero
DESPOJOS CORDERO;0.01095362998166;0.05448870068857;4.771;4.974487980678673;118.844;23.890700000000002;4.0;enero
DESPOJOS POLLO;0.02118657440955;0.08303401438148;8.932;3.919180740423025;181.1035;46.20953;4.0;enero
DESPOJOS TERNERA;0.00200262480644;0.00874167593139;1.249;4.365109182332744;19.06626;4.367877;4.0;enero
DESPOJOS OT.PROCED;0.00394816127795;0.02159956321868;1.097;5.470790501716361;47.11029;8.61124;4.0;enero
OTRAS CARNES FRESCA;0.21060595308484;1.37117960728503;47.118;6.510640308123956;2990.647;459.3476;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.09699886444587;0.60462953630097;26.63;6.233367161100369;1318.743;211.56189999999998;4.0;enero
OTRAS AVES;0.02436756390506;0.14058482746352;9.245;5.769342721794493;306.62620000000004;53.147510000000004;2.0;enero
CARNE CABALLO;0.00298869358714;0.03529343236046;0.707;11.808983199991163;76.97766;6.518568;4.0;enero
CARNE CONGELADA;0.0860952556453;0.38626406469332;17.024;4.486473288199029;842.4713;187.78029999999998;2.0;enero
C.CONG.POLLO;0.06663820827454;0.25468754302049;12.079;3.8219446412967955;555.4929000000001;145.343;3.0;enero
C.CONG.CERDO;0.00450593733564;0.03489396898526;2.01;7.743997837968081;76.1064;9.827791999999999;3.0;enero
C.CONG.VACA;0.00382144767704;0.02353207263411;1.155;6.157894762100612;51.32524;8.334868;3.0;enero
RESTO CARNES CONG.;0.01112963484871;0.07315045254408;3.296;6.57258333614835;159.54670000000002;24.27458;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.87083162509544;7.47519097706647;92.589;8.583968199647249;16303.96;1899.35;2.0;enero
JAMON CURADO+PALETA;0.1258160622853;1.72223568368121;50.047;13.688519990204597;3756.327;274.4144;3.0;enero
