Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.94428853015943;145.87155735975483;99.149;2.980359133627387;1035325.55366;347382.817721;0.0;enero
T.HUEVOS KGS;0.70296556492799;2.21779007078049;81.066;3.154905704389204;15740.7981;4989.30858;1.0;enero
T.HUEVOS UNDS.;11.15651224083284;2.21779007078049;81.066;0.19878883497867586;15740.7981;79183.512;1.0;enero
TOTAL HUEVOS GALLINA;10.95186004666041;2.20096754888752;81.014;0.20096746484252934;15621.4;77730.99;2.0;enero
OTRAS AVES;0.20465219417243;0.01682252189296;2.785;0.08220054498313967;119.3981;1452.522;2.0;enero
MIEL;0.02919507779225;0.2051178501155;9.876;7.025768233094046;1455.827;207.2125;1.0;enero
GRANEL;0.00347936007246;0.04048233833181;0.875;11.634995369472371;287.324;24.69481;2.0;enero
ENVASADA;0.02571571912873;0.16463551178368;9.047;6.402135244965282;1168.503;182.51770000000002;2.0;enero
TOTAL CARNE;3.36339272189463;27.92374548631878;96.55;8.302255429330007;198189.2;23871.73;1.0;enero
CARNE CERTIFICADA;0.58549648028541;5.54133390140972;50.361;9.464333412744821;39329.7;4155.57;2.0;enero
CARNE FRESCA;2.4706055874986;18.19404419621281;90.713;7.364204261609247;129132.5;17535.16;2.0;enero
SALCHICHAS FRESCAS;0.04137319943996;0.36118937848387;13.902;8.730032566323704;2563.547;293.6469;3.0;enero
CARNE VACUNO;0.37136829334229;4.28320480831495;57.418;11.533577004558783;30400.11;2635.792;3.0;enero
TERNERA;0.30157372353694;3.5441193587283;48.61;11.75208276491013;25154.44;2140.424;4.0;enero
AÑOJO;0.04589417620378;0.47857609908675;12.956;10.42781761593641;3396.701;325.7346;4.0;enero
MAYOR;0.02390039360156;0.26050935049989;6.597;10.899793319004395;1848.969;169.6334;4.0;enero
CARNE POLLO;0.8420402174196;4.50246324161179;75.284;5.347088118201062;31956.3;5976.393;3.0;enero
POLLO ENTERO;0.19988151028972;0.79060038185677;19.769;3.9553452478462097;5611.298;1418.662;4.0;enero
POLLO FILETES;0.12738334630573;0.93219599840704;33.674;7.318036662105251;6616.275;904.1052;4.0;enero
POLLO POR PIEZAS;0.51477538900301;2.77966728403112;63.968;5.399767244923262;19728.73;3653.626;4.0;enero
CARNE CONEJO;0.08307483778125;0.60545712873039;17.239;7.288092819689263;4297.241;589.6249;3.0;enero
CARNE OVINO/CAPRINO;0.09924835786769;1.36189076307173;17.337;13.722048327360781;9666.04;704.4167;3.0;enero
