Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.62102968009904;126.4071572006652;99.253;2.7113763481423963;639396.91801;235820.054434;0.0;enero
T.HUEVOS KGS;0.69550404612602;2.06545980659787;80.774;2.9697308277392827;10447.578;3518.02187;1.0;enero
T.HUEVOS UNDS.;11.05488802137684;2.06545980659787;80.774;0.18683679134550188;10447.578;55918.205;1.0;enero
TOTAL HUEVOS GALLINA;10.83250307244927;2.0421042221139;80.341;0.1885163759895593;10329.44;54793.33;2.0;enero
OTRAS AVES;0.22238494892756;0.02335558448396;2.34;0.10502322480275586;118.138;1124.875;2.0;enero
MIEL;0.03134738635477;0.21065516224925;9.091;6.720023158075306;1065.543;158.5624;1.0;enero
GRANEL;0.01645673136551;0.11869036872894;2.91;7.212268711980577;600.3636;83.24199;2.0;enero
ENVASADA;0.01489065894321;0.09196477375056;5.434;6.176004305870268;465.1793;75.32042999999999;2.0;enero
TOTAL CARNE;3.52050572145849;25.17084271359748;97.817;7.149780373931492;127320.0;17807.54;1.0;enero
CARNE CERTIFICADA;0.45436059783724;3.7092455253404;49.54;8.163660191918936;18762.23;2298.262;2.0;enero
CARNE FRESCA;2.62291568450334;16.80146040931046;90.863;6.4056425864454924;84985.71;13267.32;2.0;enero
SALCHICHAS FRESCAS;0.02045637076019;0.15446491329446;7.902;7.550944158433447;781.3195999999999;103.4731;3.0;enero
CARNE VACUNO;0.29481636189642;3.08151847479227;50.628;10.452331936295055;15587.04;1491.25;3.0;enero
TERNERA;0.2115455916836;2.19202612647637;44.273;10.36195606361216;11087.78;1070.047;4.0;enero
AÑOJO;0.07160414787825;0.7639255868788;13.004;10.668733718857894;3864.114;362.1905;4.0;enero
MAYOR;0.01166655709439;0.1255670975228;3.37;10.762995158456299;635.1477;59.01217;4.0;enero
CARNE POLLO;1.0677968885959;5.16111800030753;75.167;4.833426708233;26106.14;5401.166;3.0;enero
