Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;42.83557020999828;103.45646709758849;99.638;2.415199951591648;120583.060106;49926.740031;0.0;enero
T.HUEVOS KGS;0.48810542087512;1.37389210032096;63.385;2.8147446054946452;1601.331636;568.908324;1.0;enero
T.HUEVOS UNDS.;7.64420901629512;1.37389210032096;63.385;0.17972979249942625;1601.331636;8909.66163;1.0;enero
TOTAL HUEVOS GALLINA;7.62339501795498;1.37215760031629;63.451;0.17999298174691478;1599.31;8885.402;2.0;enero
OTRAS AVES;0.02081399834013;0.00173450000467;0.259;0.08333334020345734;2.021636;24.25963;2.0;enero
MIEL;0.01270760309185;0.07782517287674;4.868;6.124299941868591;90.70866000000001;14.81127;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01270760309185;0.07782517287674;4.868;6.124299941868591;90.70866000000001;14.81127;2.0;enero
TOTAL CARNE;2.7692486231853;19.18219373293206;95.61;6.926858633179672;22357.69;3227.681;1.0;enero
CARNE CERTIFICADA;0.359453538623;2.67148568661688;36.807;7.432075079440966;3113.734;418.9589;2.0;enero
CARNE FRESCA;1.86845119456516;11.74638666356012;87.208;6.286697077091068;13690.93;2177.762;2.0;enero
SALCHICHAS FRESCAS;0.02349301355829;0.18442856538191;9.897;7.850357934040217;214.9596;27.38214;3.0;enero
CARNE VACUNO;0.15976197103241;1.55808194797956;40.553;9.752520815253348;1816.013;186.2096;3.0;enero
TERNERA;0.13407362199732;1.31815277313962;33.22;9.831559358975916;1536.365;156.26870000000002;4.0;enero
AÑOJO;0.02255110142123;0.21038339943282;9.311;9.329185102894124;245.21110000000002;26.284299999999998;4.0;enero
MAYOR;0.00313721243714;0.02954574108836;2.787;9.417832448485038;34.43686;3.656559;4.0;enero
CARNE POLLO;0.73707078515332;3.75427024545786;66.704;5.093500273080163;4375.767;859.0884;3.0;enero
POLLO ENTERO;0.13247599885512;0.59474316300713;12.023;4.489440865869724;693.1993;154.4066;4.0;enero
POLLO FILETES;0.14117271074953;0.99746731332069;29.015;7.065581641273102;1162.592;164.543;4.0;enero
POLLO POR PIEZAS;0.46342207554865;2.16205916855209;56.295;4.665421184332619;2519.975;540.1388000000001;4.0;enero
CARNE CONEJO;0.03765234224908;0.27422337690537;7.096;7.283036340510047;319.61940000000004;43.88546;3.0;enero
