Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.81265664826289;150.8769452863591;99.368;3.2229947217054122;330740.99221;102619.154162;0.0;enero
T.HUEVOS KGS;0.89324652307009;2.78978933731136;81.489;3.123202011156839;6115.56452;1958.107256;1.0;enero
T.HUEVOS UNDS.;14.15041474862514;2.78978933731136;81.489;0.19715247834572622;6115.56452;31019.465600000003;1.0;enero
TOTAL HUEVOS GALLINA;13.92115510340444;2.76887148900068;81.207;0.19889667692327856;6069.71;30516.9;2.0;enero
OTRAS AVES;0.22925964522069;0.02091784831067;2.053;0.09124086487415772;45.854519999999994;502.56559999999996;2.0;enero
MIEL;0.01921127524247;0.16687887115019;6.651;8.686506702126398;365.8192;42.1135;1.0;enero
GRANEL;0.00641204565776;0.06412045657765;1.857;10.0;140.56;14.056;2.0;enero
ENVASADA;0.01279923414649;0.10275841457254;4.895;8.028481501031276;225.25920000000002;28.057509999999997;2.0;enero
TOTAL CARNE;3.69156239578893;30.4070098634927;97.927;8.236894464571103;66655.94;8092.363;1.0;enero
CARNE CERTIFICADA;0.53236082062162;5.61096875837875;52.855;10.539785312951746;12299.94;1167.001;2.0;enero
CARNE FRESCA;2.81206019294554;21.43831153861425;91.9;7.6237029322470935;46995.44;6164.385;2.0;enero
SALCHICHAS FRESCAS;0.0251598754289;0.22519847008745;6.244;8.950698930277769;493.663;55.15357;3.0;enero
CARNE VACUNO;0.51612770702376;6.18421184421119;60.672;11.98194121348823;13556.56;1131.416;3.0;enero
TERNERA;0.33588298691552;3.98221017056168;46.252;11.855944854876537;8729.499;736.2972;4.0;enero
AÑOJO;0.13606838960894;1.65352041553114;28.835;12.152127472686628;3624.722;298.2788;4.0;enero
MAYOR;0.04417643542035;0.54848125811836;10.904;12.41569748440292;1202.339;96.84022999999999;4.0;enero
CARNE POLLO;1.05674718406173;6.05871256412384;73.622;5.733360500509169;13281.45;2316.521;3.0;enero
POLLO ENTERO;0.1839263546903;0.68865032792272;15.938;3.744163413026235;1509.607;403.18940000000003;4.0;enero
