Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;55.27757305267762;150.43596088880747;98.009;2.721464647976624;1067821.4329;392370.12823000003;0.0;enero
T.HUEVOS KGS;0.67856859122375;2.18142615311413;82.118;3.214746720268996;15484.1541;4816.601570000001;1.0;enero
T.HUEVOS UNDS.;10.91877466688445;2.18142615311413;82.118;0.1997867178017858;15484.1541;77503.421;1.0;enero
TOTAL HUEVOS GALLINA;10.54408971397989;2.15143619524742;82.067;0.2040419091270571;15271.28;74843.84;2.0;enero
OTRAS AVES;0.37468495290455;0.0299899578667;3.785;0.0800404650206179;212.8741;2659.581;2.0;enero
MIEL;0.02011142473548;0.16045903349243;7.231;7.978501553366094;1138.967;142.7545;1.0;enero
GRANEL;0.00358315966707;0.03549343953533;0.874;9.905625993014837;251.9388;25.43391;2.0;enero
ENVASADA;0.01652826647721;0.12496560804521;6.309;7.560720794131637;887.0283000000001;117.3206;2.0;enero
TOTAL CARNE;3.02093239774491;26.39188028975563;94.684;8.73633594364999;187334.3;21443.12;1.0;enero
CARNE CERTIFICADA;0.42702922050413;4.31163801852787;46.826;10.0968219772824;30604.78;3031.13;2.0;enero
CARNE FRESCA;2.13431349465059;16.18431912459648;87.467;7.582915614393382;114879.2;15149.74;2.0;enero
SALCHICHAS FRESCAS;0.04179328034222;0.34696854987166;13.87;8.302017621745305;2462.845;296.6562;3.0;enero
CARNE VACUNO;0.27664051580354;3.48362146665343;50.795;12.592593158434013;24727.37;1963.644;3.0;enero
TERNERA;0.23227759061727;2.97938653295961;44.355;12.826835877890375;21148.22;1648.748;4.0;enero
AÑOJO;0.02971064680694;0.3376537669355;9.798;11.364739688417977;2396.727;210.8915;4.0;enero
MAYOR;0.0146522642912;0.1665818711643;5.894;11.369019003042181;1182.428;104.00439999999999;4.0;enero
CARNE POLLO;0.82796653904976;4.65840158625894;72.654;5.626316241723107;33066.17;5877.055;3.0;enero
POLLO ENTERO;0.19155771228581;0.77385604389232;17.797;4.0398062529463985;5492.969;1359.711;4.0;enero
POLLO FILETES;0.13091837393692;0.99314551526143;33.94;7.5859903036978755;7049.525;929.2821;4.0;enero
POLLO POR PIEZAS;0.50549032603394;2.89140059062996;63.808;5.719991939936361;20523.68;3588.061;4.0;enero
CARNE CONEJO;0.07473234655518;0.58633288730581;16.901;7.845771133024019;4161.896;530.4635999999999;3.0;enero
CARNE OVINO/CAPRINO;0.05215945964628;0.71730083733571;13.483;13.752075696337373;5091.53;370.23720000000003;3.0;enero
CORDERO;0.04801128326218;0.65328667584163;12.044;13.606940524254185;4637.146;340.7927;4.0;enero
CABRITO;0.00414816652241;0.06401417558219;1.616;15.431920400564724;454.3841;29.44443;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.01093197086765;0.10252097937741;0.559;9.378087503023632;727.7123;77.59709;4.0;enero
OVINO/CAPRINO PIEZ;0.0412274873698;0.61477990022265;12.926;14.911893482813875;4363.818;292.64009999999996;4.0;enero
CARNE CERDO;0.70404335324023;5.289766302671;67.429;7.513409903418279;37547.71;4997.426;3.0;enero
CARNE CERDO ADOBAD;0.04787120508871;0.38187440211352;12.929;7.9771211400642255;2710.613;339.7984;4.0;enero
CARN.CERDO IBERICO;0.02171820295538;0.27954506342741;6.363;12.871463813175556;1984.261;154.15970000000002;4.0;enero
CARNE DESPOJOS;0.03716386787972;0.22566504990711;7.977;6.07216263488653;1601.811;263.7958;3.0;enero
DESPOJOS CERDO;0.02212696974641;0.13617880736572;5.299;6.154426427405367;966.6216;157.0612;4.0;enero
DESPOJOS CORDERO;0.00302287374062;0.02525657508134;1.75;8.355153819983315;179.2757;21.4569;4.0;enero
DESPOJOS POLLO;0.0100966313112;0.04644891079534;2.681;4.600436458823152;329.7027;71.6677;4.0;enero
DESPOJOS TERNERA;0.00176459474479;0.01688785164261;0.661;9.57038532072004;119.873;12.525409999999999;4.0;enero
DESPOJOS OT.PROCED;0.00015280199959;0.00089297419474;0.098;5.843995478584126;6.338491;1.084616;4.0;enero
OTRAS CARNES FRESCA;0.16160806052936;1.2232370523559;39.274;7.5691586691226656;8682.756;1147.123;3.0;enero
AVESTRUZ;0.00022176658544;0.00205091605288;0.024;9.248084190786201;14.55777;1.574139;4.0;enero
PAVO;0.08189976194504;0.63460963300615;22.408;7.748613890135054;4504.573;581.3392;4.0;enero
OTRAS AVES;0.0147432031034;0.09995349001566;4.263;6.779631896447107;709.4878;104.64989999999999;2.0;enero
CARNE CABALLO;0.00138978426674;0.01808704647354;0.549;13.014283516024124;128.3851;9.864938;4.0;enero
CARNE CONGELADA;0.0404490342316;0.21970197151183;7.358;5.431575207800372;1559.484;287.1145;2.0;enero
C.CONG.POLLO;0.02654606067097;0.09832047971701;3.885;3.703769117974066;697.8964;188.42870000000002;3.0;enero
C.CONG.CERDO;0.00832363300304;0.06467589456116;2.632;7.770152112363293;459.0811;59.08264;3.0;enero
C.CONG.VACA;0.00190471659143;0.0187327613486;0.419;9.834933676133614;132.9685;13.52002;3.0;enero
RESTO CARNES CONG.;0.00367462537495;0.03797284997316;0.865;10.333801707232446;269.5381;26.08315;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00043384308044;0.00258130276304;0.094;5.949853482517918;18.32255;3.0794960000000002;3.0;enero
CARNE TRANSFORMADA;0.84616909401613;9.98784707786443;90.658;11.803606570478134;70895.53;6006.26;2.0;enero
JAMON CURADO+PALETA;0.15293161029357;3.22502980443111;56.187;21.088052353860213;22891.84;1085.536;3.0;enero
JAMON C.+P.ENTERO;0.03416135147195;0.42254863493739;5.398;12.369201355639191;2999.326;242.4834;4.0;enero
JAMON C.+P.LONCHA;0.11877021655726;2.80248060596893;54.227;23.59581961878284;19892.51;843.0523000000001;4.0;enero
JAMON CURADO NORMAL;0.10054051378436;1.70258165981437;44.525;16.934284456374275;12085.23;713.6546;3.0;enero
JAMON C.N.ENTER/PI;0.01675977654707;0.20641969232581;3.794;12.316374967532168;1465.204;118.9639;4.0;enero
JAMON C.N.LONCHA;0.0837807513254;1.49616253101334;42.966;17.85807010971079;10620.03;594.6908000000001;4.0;enero
JAMON IBERICO;0.02572035597952;0.9982054043073;13.715;38.809937354745664;7085.441;182.5677;3.0;enero
JAMON IBE.ENTER/PI;0.00042222334025;0.02076671953189;0.398;49.184205494997194;147.4059;2.997017;4.0;enero
JAMON IBE.LONCHA;0.02529813503425;0.97743867068729;13.366;38.63678762738019;6938.035;179.57070000000002;4.0;enero
PALETA CURADA NORM.;0.0078315927457;0.11401050307631;4.636;14.557767082418525;809.267;55.590050000000005;3.0;enero
PALETA C.N.ENTR/PI;0.00337841279807;0.03675545329168;0.205;10.879503331445692;260.8968;23.980580000000003;4.0;enero
PALETA C.N.LONCHA;0.00445317994762;0.07725504978463;4.445;17.348288345233247;548.3702;31.60947;4.0;enero
