Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;43.44260661356345;118.16885209077562;97.91;2.720114222010828;755134.5569;277611.34102;0.0;enero
T.HUEVOS KGS;0.64052433432517;1.91306818319801;80.267;2.98672209731659;12225.081900000001;4093.14342;1.0;enero
T.HUEVOS UNDS.;10.1716013066812;1.91306818319801;80.267;0.18807935206243437;12225.081900000001;64999.596;1.0;enero
TOTAL HUEVOS GALLINA;9.97793187515494;1.89656944600884;80.224;0.19007640759016461;12119.65;63761.99;2.0;enero
OTRAS AVES;0.19366943152625;0.01649873718916;2.204;0.08519019784971954;105.4319;1237.606;2.0;enero
MIEL;0.04090498897685;0.32440129757081;8.041;7.930604693582744;2073.022;261.3952;1.0;enero
GRANEL;0.02119516683736;0.19073983565519;1.02;8.999213694271043;1218.885;135.4435;2.0;enero
ENVASADA;0.01970982213949;0.13366147756433;6.893;6.781465434765867;854.1371;125.9517;2.0;enero
TOTAL CARNE;2.730115445836;21.96721182371837;94.479;8.046257478680246;140377.1;17446.26;1.0;enero
CARNE CERTIFICADA;0.33401023431921;3.04011491833306;41.003;9.101861577773134;19427.25;2134.426;2.0;enero
CARNE FRESCA;1.87879563590065;13.13640741167279;86.403;6.991929915451101;83945.6;12006.07;2.0;enero
SALCHICHAS FRESCAS;0.01266621517696;0.09664863689713;5.855;7.630427522886135;617.6139000000001;80.94093;3.0;enero
CARNE VACUNO;0.3005966293207;3.21338061676577;52.968;10.690008813563205;20534.47;1920.903;3.0;enero
TERNERA;0.19256854445009;2.01537448768991;39.849;10.46575126506313;12878.85;1230.571;4.0;enero
AÑOJO;0.09033735378854;0.99469677634618;20.873;11.010913366739253;6356.412;577.2829;4.0;enero
MAYOR;0.01769074673078;0.2033104481397;6.483;11.49247407323537;1299.215;113.0492;4.0;enero
CARNE POLLO;0.80960894345104;4.40078317678959;73.589;5.435689924608279;28122.33;5173.645;3.0;enero
POLLO ENTERO;0.14689532952218;0.57708594424983;13.639;3.9285520249484023;3687.753;938.7054;4.0;enero
POLLO FILETES;0.1571656748443;1.09791069063951;40.523;6.98569004795208;7015.98;1004.336;4.0;enero
POLLO POR PIEZAS;0.50554784519227;2.72578701136168;61.946;5.391748846887098;17418.6;3230.603;4.0;enero
CARNE CONEJO;0.02935201240653;0.21334784669543;7.231;7.268593503589627;1363.357;187.56820000000002;3.0;enero
CARNE OVINO/CAPRINO;0.04970260246511;0.61841576453221;7.593;12.44232160612264;3951.863;317.6146;3.0;enero
CORDERO;0.04830395164644;0.59999816630301;7.388;12.421306039196985;3834.169;308.6768;4.0;enero
CABRITO;0.00063022741435;0.00702930247245;0.334;11.15359680066982;44.91936;4.027343;4.0;enero
OTRO OVINO/CAPRINO;0.00076840853803;0.01138826289444;0.288;14.820583492622335;72.77443;4.910362;4.0;enero
OVINO/CAPRINO ENTE;0.01176269438467;0.14638618294207;0.526;12.444953354629867;935.4518;75.16716000000001;4.0;enero
OVINO/CAPRINO PIEZ;0.03793990182095;0.4720295502927;7.063;12.441506900053373;3016.411;242.4474;4.0;enero
CARNE CERDO;0.52040066622245;3.49324692431801;63.477;6.712610400127259;22322.9;3325.517;3.0;enero
CARNE CERDO ADOBAD;0.09448246357064;0.70658077940069;26.868;7.478433062579645;4515.264;603.7714;4.0;enero
CARN.CERDO IBERICO;0.01306043133713;0.13753390849352;3.706;10.530579346367828;878.8831;83.46009;4.0;enero
CARNE DESPOJOS;0.01987939161152;0.12636261972241;5.693;6.356463124816488;807.4952;127.0353;3.0;enero
DESPOJOS CERDO;0.0071692833548;0.05512441263255;2.333;7.6889711153039215;352.2616;45.81388;4.0;enero
DESPOJOS CORDERO;0.00196655049795;0.01000012957689;0.491;5.085112020912161;63.903839999999995;12.56685;4.0;enero
DESPOJOS POLLO;0.00368541314031;0.01747797115758;1.736;4.742472686818762;111.6895;23.550900000000002;4.0;enero
DESPOJOS TERNERA;0.00564486225156;0.03723912108115;1.563;6.596993765588454;237.9692;36.07237;4.0;enero
DESPOJOS OT.PROCED;0.00141328440121;0.0065209977932;0.392;4.614073280374625;41.67114;9.031313;4.0;enero
OTRAS CARNES FRESCA;0.14925546866685;1.07086939873675;37.502;7.17474145705846;6843.178;953.7874;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.07271641597385;0.56631806369388;21.088;7.788035976601523;3618.943;464.6798;4.0;enero
OTRAS AVES;0.01167928047606;0.06905430376966;3.857;5.912547773056077;441.2778;74.63412;2.0;enero
CARNE CABALLO;0.00028086172229;0.0029576399326;0.116;10.53059102703323;18.900209999999998;1.794791;4.0;enero
CARNE CONGELADA;0.06959812790144;0.35340337342017;10.12;5.077771257304616;2258.354;444.753;2.0;enero
C.CONG.POLLO;0.04582168993258;0.18688993887511;7.506;4.078634793917238;1194.283;292.81440000000003;3.0;enero
C.CONG.CERDO;0.01524585727727;0.09173817977855;2.284;6.017252956665813;586.2346;97.42562;3.0;enero
C.CONG.VACA;0.00387402083859;0.03460638132714;0.647;8.932936287372517;221.14520000000002;24.75616;3.0;enero
RESTO CARNES CONG.;0.00465655202864;0.04016896733164;1.921;8.626332763939097;256.6918;29.75677;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00043894190802;0.00557436322715;0.274;12.699546626328756;35.62186;2.804971;3.0;enero
CARNE TRANSFORMADA;0.78172215149533;8.47740166457398;89.262;10.844520202424613;54173.15;4995.44;2.0;enero
JAMON CURADO+PALETA;0.12983531988439;2.66509816617629;53.312;20.526757807886057;17030.78;829.6868000000001;3.0;enero
JAMON C.+P.ENTERO;0.0325609065368;0.48975829210267;5.328;15.041297807510789;3129.703;208.074;4.0;enero
JAMON C.+P.LONCHA;0.09727439769886;2.17533877866359;51.021;22.36291182596495;13901.07;621.6126999999999;4.0;enero
JAMON CURADO NORMAL;0.08018902149461;1.31056154358408;43.391;16.34340361257689;8374.883;512.432;3.0;enero
JAMON C.N.ENTER/PI;0.0119765215515;0.1359399460672;4.747;11.350536587991833;868.6972;76.53358;4.0;enero
JAMON C.N.LONCHA;0.06821249681336;1.17462162881431;41.138;17.220035678038734;7506.186;435.89840000000004;4.0;enero
JAMON IBERICO;0.03772970828566;0.98413264205507;9.206;26.08375963587528;6288.904;241.10420000000002;3.0;enero
JAMON IBE.ENTER/PI;0.02058439750427;0.35381837733289;1.121;17.188668128827242;2261.006;131.5405;4.0;enero
JAMON IBE.LONCHA;0.0171453264301;0.63031426472217;8.337;36.76303669642711;4027.898;109.5638;4.0;enero
PALETA CURADA NORM.;0.00401261211509;0.06632421336177;4.406;16.528937126098793;423.8317;25.6418;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00401261211509;0.06632421336177;4.406;16.528937126098793;423.8317;25.6418;4.0;enero
PALETA IBERICA;0.00790396077542;0.30407909428062;3.969;38.47173624974237;1943.157;50.50869;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00790396077542;0.30407909428062;3.969;38.47173624974237;1943.157;50.50869;4.0;enero
HUESOS JAMON CURADO;0.00584989327587;0.02876928557011;3.611;4.917916312892261;183.8444;37.382580000000004;3.0;enero
LOMO EMBUCHADO N+IB;0.02291757391359;0.49883282524551;16.347;21.76638884753998;3187.692;146.45020000000002;3.0;enero
LOMO EMB.AL CORTE;0.0079702549902;0.18957823156615;5.451;23.78571724482269;1211.462;50.93233;4.0;enero
LOMO EMB.ENVASADO;0.01494731109903;0.30925459367936;11.8;20.68964723022364;1976.23;95.51782;4.0;enero
LOMO EMB.NORMAL;0.0164590676975;0.26403231211302;13.034;16.04175382017601;1687.246;105.1784;4.0;enero
LOMO E.N.AL CORTE;0.00556514300447;0.08989471424574;3.769;16.153172375512263;574.4543000000001;35.562940000000005;5.0;enero
LOMO E.N.ENVASADO;0.01089391999841;0.17413748832628;10.21;15.98483267287152;1112.791;69.61542999999999;5.0;enero
LOMO EMB.IBERICO;0.00645850152147;0.23480051313249;4.45;36.35526172005708;1500.446;41.27177;4.0;enero
LOMO E.I.AL CORTE;0.00240511042085;0.09968351732041;2.078;41.446545013526894;637.0077;15.36938;5.0;enero
LOMO E.I.ENVASADO;0.00405339110061;0.13511701146079;2.074;33.33431393782581;863.4384;25.90239;5.0;enero
OTRAS SALAZONES;0.02901720815643;0.20956023179968;10.37;7.2219295071367045;1339.153;185.42870000000002;3.0;enero
O.SALAZONES AL COR;0.01379725889115;0.09813302702341;4.058;7.1125016786013715;627.0996;88.16864;4.0;enero
O.SALAZONES ENVASA;0.01521995395989;0.11142722042498;6.66;7.321127298977412;712.0535;97.26008999999999;4.0;enero
TOCINO Y MANTECA;0.02922456927436;0.20184682385777;18.958;6.906751027288335;1289.862;186.75379999999998;3.0;enero
TOCINO;0.00097409993811;0.00712050631122;0.782;7.309831396775988;45.50218;6.224792000000001;4.0;enero
CHORIZOS;0.06275115799269;0.66350644040827;33.238;10.573612689115281;4240.006;400.99879999999996;3.0;enero
CHOR.IBERICO;0.01045004733689;0.16511271809605;8.812;15.800188532464198;1055.12;66.77895;4.0;enero
CHOR.NORMAL;0.05230111848016;0.49839356582507;28.734;9.52930989447367;3184.885;334.2199;4.0;enero
CHORIZO DE PAVO;0.0010786823325;0.01445440788474;1.269;13.400059914943993;92.36802;6.893104999999999;4.0;enero
CHORIZO DE CERDO;0.06167249209134;0.64905203565327;32.323;10.524173965468156;4147.638;394.1058;4.0;enero
SALCHICHON/SALAMI;0.02567329691609;0.29700196307669;18.077;11.568516659443704;1897.932;164.0601;3.0;enero
SALCHICHON DE PAVO;0.00080389168555;0.01184395033553;1.072;14.733266369612489;75.68641000000001;5.13711;4.0;enero
SALCHICHON DE CERD;0.024780146527;0.2839755035342;17.376;11.45979920759116;1814.689;158.3526;4.0;enero
FUET/LONGANIZAS;0.03603294945276;0.38408299148084;24.488;10.659216004071894;2454.406;230.26139999999998;3.0;enero
FUET/LONGANIZ.PAVO;0.00122164507743;0.01583072485785;1.179;12.958530386796948;101.1631;7.80668;4.0;enero
FUET/LONGANIZ.CERD;0.03456574161517;0.36223331715291;23.821;10.479547095667213;2314.78;220.8855;4.0;enero
OTROS PROD.CURADOS;0.03263750699505;0.42513551653949;16.46;13.025980097188626;2716.744;208.5635;3.0;enero
O.PROD.CURAD.CORTE;0.01947914443672;0.28497091827358;6.871;14.629539772617722;1821.05;124.47760000000001;4.0;enero
O.PROD.CURAD.ENVAS;0.01315836255833;0.14016458261719;11.428;10.652129548473644;895.6939;84.0859;4.0;enero
SALCHICHAS;0.10369157565954;0.37599370141285;31.977;3.626077615479391;2402.713;662.6204;3.0;enero
JAMON COCIDO;0.07804965441633;0.78970753409799;41.251;10.118014487104842;5046.469;498.76079999999996;3.0;enero
J.COC.SIN/BAJO SAL;0.00206481973139;0.02014089728216;2.055;9.754312677247587;128.7064;13.19482;4.0;enero
PALETA COCIDA;0.00103428802443;0.01260002737345;1.086;12.182319698030629;80.51797;6.609412;3.0;enero
FIAMBRES;0.16465780996095;1.37724259458619;56.985;8.364271302483434;8800.995;1052.213;3.0;enero
