Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.76923252644082;121.27192179899764;98.493;2.436684586899541;613464.7637100001;251762.073355;0.0;enero
T.HUEVOS KGS;0.70188568763359;2.06979797401737;82.465;2.9489103574624855;10470.25648;3550.5509530000004;1.0;enero
T.HUEVOS UNDS.;11.11363574060149;2.06979797401737;82.465;0.18623950094529174;10470.25648;56219.311299999994;1.0;enero
TOTAL HUEVOS GALLINA;10.9398024116218;2.05298765668104;82.333;0.1876622245480481;10385.22;55339.96;2.0;enero
OTRAS AVES;0.17383332897968;0.01681031733633;2.782;0.09670364961079832;85.03648;879.3513;2.0;enero
MIEL;0.02479561185681;0.16092921581982;8.355;6.490229672456844;814.0747;125.4308;1.0;enero
GRANEL;0.00594691370486;0.03918786737483;1.675;6.589614263741735;198.2353;30.082990000000002;2.0;enero
ENVASADA;0.0188486902446;0.12174132867662;6.813;6.458874706770804;615.8393000000001;95.34777;2.0;enero
TOTAL CARNE;2.75184068952728;20.7934283398001;95.305;7.556188997035292;105185.4;13920.43;1.0;enero
CARNE CERTIFICADA;0.34825563647156;2.99145495562272;43.655;8.589824951381692;15132.54;1761.682;2.0;enero
CARNE FRESCA;1.9989567756478;13.37371845450151;86.015;6.690348994748762;67652.14;10111.9;2.0;enero
SALCHICHAS FRESCAS;0.01353866762559;0.107595505532;4.53;7.947274318826105;544.2814000000001;68.48655000000001;3.0;enero
CARNE VACUNO;0.20970631917138;2.27497843000569;38.246;10.848401893633026;11508.18;1060.818;3.0;enero
TERNERA;0.14459084435192;1.52171575435224;29.512;10.524288458046861;7697.734;731.4256;4.0;enero
AÑOJO;0.05462711453347;0.64850005515568;11.405;11.871395014983566;3280.495;276.3361;4.0;enero
MAYOR;0.01048840179953;0.10476333215871;3.851;9.988493400715576;529.9546;53.05651;4.0;enero
CARNE POLLO;0.88162931081538;4.54335422783477;70.451;5.153361137270729;22982.96;4459.8;3.0;enero
POLLO ENTERO;0.23495525905536;0.86335682279202;19.512;3.6745584085375196;4367.367;1188.542;4.0;enero
POLLO FILETES;0.10553285510104;0.78128096506323;25.119;7.403201252492988;3952.179;533.8473;4.0;enero
POLLO POR PIEZAS;0.54114145364764;2.89871564924512;62.703;5.356668999770586;14663.41;2737.412;4.0;enero
CARNE CONEJO;0.06071195406157;0.44237872803587;14.618;7.2865177027111505;2237.812;307.1168;3.0;enero
CARNE OVINO/CAPRINO;0.04903719566158;0.70320780482882;14.213;14.34029404294946;3557.239;248.059;3.0;enero
CORDERO;0.04672609648453;0.66790408409458;13.994;14.294026985874998;3378.652;236.3681;4.0;enero
CABRITO;0.00165397616334;0.02446156611274;0.642;14.789551781239748;123.741;8.366785;4.0;enero
OTRO OVINO/CAPRINO;0.0006571206415;0.01084221590341;0.172;16.49958199249542;54.846309999999995;3.324103;4.0;enero
OVINO/CAPRINO ENTE;0.00082782873117;0.00762150134856;0.099;9.20661612911314;38.55404;4.187645000000001;4.0;enero
OVINO/CAPRINO PIEZ;0.04820937582617;0.6955863113876;14.117;14.428444663867923;3518.685;243.8714;4.0;enero
CARNE CERDO;0.59767856733762;3.98497911347179;69.412;6.667428499608058;20158.37;3023.41;3.0;enero
CARNE CERDO ADOBAD;0.05151571307787;0.38123143515455;16.4;7.400294247665359;1928.493;260.5968;4.0;enero
CARN.CERDO IBERICO;0.01568366908984;0.15628205002727;4.471;9.964635770621184;790.5666;79.33722999999999;4.0;enero
CARNE DESPOJOS;0.03715437527459;0.19225299244183;7.234;5.174437492783936;972.5288;187.9487;3.0;enero
DESPOJOS CERDO;0.00540790960628;0.03692128654407;1.698;6.827275090024671;186.7696;27.35639;4.0;enero
DESPOJOS CORDERO;0.00616728742635;0.05295455314665;1.766;8.586360499484417;267.8753;31.197770000000002;4.0;enero
DESPOJOS POLLO;0.02331304417612;0.08923245865234;3.797;3.827576440820106;451.39029999999997;117.9311;4.0;enero
DESPOJOS TERNERA;0.00112091265456;0.00538295600569;0.577;4.802297470510927;27.23016;5.670236;4.0;enero
DESPOJOS OT.PROCED;0.00114521132939;0.00776172820888;0.483;6.7775510158285135;39.26339;5.793153;4.0;enero
OTRAS CARNES FRESCA;0.16303828235961;1.23256533919361;43.685;7.55997500314037;6235.041;824.7436;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.0661441609589;0.52030184641932;19.998;7.866179552003147;2631.993;334.5961;4.0;enero
OTRAS AVES;0.01305435071758;0.08806586843487;5.404;6.746093340071013;445.489;66.03658999999999;2.0;enero
CARNE CABALLO;0.00230127825589;0.03200580480382;0.854;13.907837838302173;161.9042;11.641219999999999;4.0;enero
CARNE CONGELADA;0.04394597320263;0.21186284954308;7.159;4.8209843610973415;1071.727;222.3046;2.0;enero
C.CONG.POLLO;0.03104427178266;0.1139714341583;4.433;3.6712548761399946;576.5346;157.0402;3.0;enero
C.CONG.CERDO;0.00811697354201;0.05376703273485;1.766;6.624024638806753;271.9853;41.060430000000004;3.0;enero
C.CONG.VACA;0.00116751517903;0.01268409922252;0.63;10.86418356719521;64.16364;5.905979;3.0;enero
RESTO CARNES CONG.;0.0036172164549;0.03144027156637;1.818;8.691841353240052;159.0434;18.298009999999998;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.7089388500214;7.20785039637666;90.621;10.16709748119892;36461.55;3586.23;2.0;enero
JAMON CURADO+PALETA;0.13158039718464;2.39338497476085;60.567;18.18952538501837;12107.15;665.6111;3.0;enero
JAMON C.+P.ENTERO;0.0227842405512;0.31292522845157;6.552;13.73428391208795;1582.96;115.2561;4.0;enero
JAMON C.+P.LONCHA;0.10879617640179;2.08045974630928;58.751;19.122544698868058;10524.19;550.3551;4.0;enero
JAMON CURADO NORMAL;0.11624064418092;1.86368169178299;55.392;16.03296080226716;9427.599;588.0136;3.0;enero
JAMON C.N.ENTER/PI;0.02184633072001;0.29364633323027;6.337;13.441448680500507;1485.436;110.5116;4.0;enero
JAMON C.N.LONCHA;0.09439429369255;1.57003516086912;53.407;16.632733817394232;7942.162;477.50190000000003;4.0;enero
JAMON IBERICO;0.0108213484228;0.44032716765477;6.362;40.69060069509461;2227.434;54.74075;3.0;enero
JAMON IBE.ENTER/PI;0.0009379048891;0.01927878451848;0.208;20.555159422275384;97.52344000000001;4.744475;4.0;enero
JAMON IBE.LONCHA;0.00988344254528;0.42104827243347;6.155;42.601378062803484;2129.91;49.996269999999996;4.0;enero
PALETA CURADA NORM.;0.00365843941561;0.05909905358466;4.094;16.15417036355796;298.95779999999996;18.50654;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00365843941561;0.05909905358466;4.094;16.15417036355796;298.95779999999996;18.50654;4.0;enero
PALETA IBERICA;0.00085998097998;0.03027743733726;1.756;35.20710113578635;153.1611;4.35029;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00085998097998;0.03027743733726;1.756;35.20710113578635;153.1611;4.35029;4.0;enero
HUESOS JAMON CURADO;0.00304132855058;0.01444902234004;2.448;4.750891625061831;73.09166;15.38483;3.0;enero
LOMO EMBUCHADO N+IB;0.01639005584461;0.29208799342643;14.155;17.821049311577358;1477.553;82.91055;3.0;enero
LOMO EMB.AL CORTE;0.0066209218631;0.12752021329994;4.737;19.260190036461875;645.0723;33.49252;4.0;enero
LOMO EMB.ENVASADO;0.00976913398151;0.16456783943156;10.907;16.84569376804377;832.481;49.41803;4.0;enero
