Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.9143794527279;111.88031424918984;99.067;2.2414445591805388;130409.461253;58180.989005;0.0;enero
T.HUEVOS KGS;0.53183400700348;1.54024470434758;64.821;2.8961004449974475;1795.3335530000002;619.914118;1.0;enero
T.HUEVOS UNDS.;8.3661205053121;1.54024470434758;64.821;0.1841050106043294;1795.3335530000002;9751.68219;1.0;enero
TOTAL HUEVOS GALLINA;8.2994963308255;1.53432203837185;64.192;0.18486929534183502;1788.43;9674.024;2.0;enero
OTRAS AVES;0.06662417448659;0.00592266597572;1.153;0.08889665082330658;6.903553;77.65819;2.0;enero
MIEL;0.00736816972543;0.06324303464402;2.297;8.583276037424659;73.71708;8.588455;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.00736816972543;0.06324303464402;2.297;8.583276037424659;73.71708;8.588455;2.0;enero
TOTAL CARNE;2.59853033675349;17.64948632087684;96.84;6.7921032405291974;20572.52;3028.888;1.0;enero
CARNE CERTIFICADA;0.30304788423207;2.34398419754142;40.818;7.734699100378385;2732.185;353.23740000000004;2.0;enero
CARNE FRESCA;1.74242234156385;10.52260107494434;84.344;6.0390645964170275;12265.31;2030.995;2.0;enero
SALCHICHAS FRESCAS;0.02559000158573;0.17089979488758;10.022;6.678381566917917;199.2035;29.828110000000002;3.0;enero
CARNE VACUNO;0.11813215022174;1.29343305796881;28.235;10.949035089439324;1507.646;137.69670000000002;3.0;enero
TERNERA;0.10147005615016;1.09741392258565;24.754;10.81515044163987;1279.163;118.27510000000001;4.0;enero
AÑOJO;0.01456320349891;0.17301532902334;3.832;11.880307037955594;201.6694;16.975099999999998;4.0;enero
MAYOR;0.00209888285142;0.02300410663028;1.833;10.960167031066128;26.813950000000002;2.446491;4.0;enero
CARNE POLLO;0.81786992373027;3.94326846483337;64.853;4.8213882799947685;4596.336;953.3221;3.0;enero
POLLO ENTERO;0.22883020419197;0.90879001987626;17.001;3.971460074885248;1059.3;266.7281;4.0;enero
POLLO FILETES;0.09892101724989;0.62442299096921;22.442;6.312338958179212;727.8373;115.3039;4.0;enero
POLLO POR PIEZAS;0.49011878807997;2.41005485344695;53.063;4.91728722110059;2809.198;571.2901999999999;4.0;enero
CARNE CONEJO;0.04380973584233;0.25471858025237;8.072;5.814200322253929;296.904;51.06532;3.0;enero
CARNE OVINO/CAPRINO;0.02084378071982;0.21260204384271;3.861;10.199783172757146;247.8123;24.295840000000002;3.0;enero
