Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;43.42188521586501;119.84375257697796;99.41;2.7599850163389665;37939.128961999995;13746.135844;0.0;enero
T.HUEVOS KGS;0.7592331184921;2.24026956437459;70.9;2.9507005290074027;709.205729;240.35164600000002;1.0;enero
T.HUEVOS UNDS.;11.93004544418308;2.24026956437459;70.9;0.1877838248694112;709.205729;3776.71362;1.0;enero
TOTAL HUEVOS GALLINA;11.8506049015193;2.23320756332026;71.01;0.18844671490431325;706.9701;3751.565;2.0;enero
OTRAS AVES;0.07944054266378;0.00706200105432;1.137;0.08889668697526942;2.235629;25.148619999999998;2.0;enero
MIEL;0.0112592979184;0.05103701596939;2.011;4.532877301876852;16.15687;3.564374;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.0112592979184;0.05103701596939;2.011;4.532877301876852;16.15687;3.564374;2.0;enero
TOTAL CARNE;3.06510529772193;24.3325867098218;96.952;7.93858100989431;7703.006;970.3253000000001;1.0;enero
CARNE CERTIFICADA;0.43572069741025;3.81136521852244;48.706;8.747266864245075;1206.57;137.93679999999998;2.0;enero
CARNE FRESCA;2.34298430760127;16.83796315131457;92.656;7.186545422727617;5330.421;741.7223;2.0;enero
SALCHICHAS FRESCAS;0.03162276678945;0.25397612744764;13.659;8.031432832511062;80.40163000000001;10.01087;3.0;enero
CARNE VACUNO;0.20345709855611;2.51785090754485;42.981;12.375340675815115;797.0801;64.40874;3.0;enero
TERNERA;0.1319020388915;1.6452022029234;37.585;12.472909567961251;520.8243;41.756440000000005;4.0;enero
AÑOJO;0.04321290929003;0.53396197876328;11.584;12.356538532951074;169.0372;13.679979999999999;4.0;enero
MAYOR;0.02834214089804;0.33868672585815;6.226;11.949934448370474;107.21860000000001;8.972316999999999;4.0;enero
CARNE POLLO;0.84556415282862;4.37435001515352;83.837;5.173291701783014;1384.795;267.6816;3.0;enero
POLLO ENTERO;0.16685662694112;0.74790567801214;18.643;4.4823252856239835;236.7657;52.82207;4.0;enero
POLLO FILETES;0.11871181604929;0.74863568663328;37.212;6.3063283129492484;236.99679999999998;37.58079;4.0;enero
POLLO POR PIEZAS;0.55999589936878;2.87780896639239;77.422;5.138982213327257;911.0326;177.2788;4.0;enero
CARNE CONEJO;0.13316475479895;1.03605660152235;13.967;7.780261399396244;327.98609999999996;42.15618;3.0;enero
CARNE OVINO/CAPRINO;0.10931359471791;1.411537846722;19.405;12.912738350289171;446.8528;34.60558;3.0;enero
CORDERO;0.10931359471791;1.411537846722;19.405;12.912738350289171;446.8528;34.60558;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.02677270449253;0.45244140114994;2.292;16.899353641175164;143.2301;8.475477999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.08254091549612;0.95909644557205;19.648;11.619648750043531;303.6227;26.130110000000002;4.0;enero
CARNE CERDO;0.68131000188357;4.70141346224784;70.97;6.900549601870148;1488.334;215.6834;3.0;enero
CARNE CERDO ADOBAD;0.08041150783021;0.57209742696532;23.769;7.114621307353865;181.10979999999998;25.456;4.0;enero
CARN.CERDO IBERICO;0.00787245593056;0.05233375261613;3.231;6.64770347115556;16.56738;2.492196;4.0;enero
CARNE DESPOJOS;0.12456019277549;0.76134939800643;17.693;6.112301057358677;241.0216;39.43222;3.0;enero
DESPOJOS CERDO;0.02814551555563;0.19214256510872;7.252;6.826755925962879;60.826879999999996;8.910071;4.0;enero
DESPOJOS CORDERO;0.05531740619901;0.35624389122863;12.512;6.439996299663314;112.77669999999999;17.51192;4.0;enero
DESPOJOS POLLO;0.01595570145562;0.06493905249695;2.495;4.06995911007495;20.55786;5.051122;4.0;enero
DESPOJOS TERNERA;0.02514158851827;0.1480236680531;4.987;5.887602048117673;46.86009;7.959113;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.24561435409844;2.03540302481174;46.374;8.286987266208156;644.3508;77.75453;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.09596779885714;0.78138056922751;25.746;8.14211202645892;247.3629;30.38068;4.0;enero
OTRAS AVES;0.00978064666118;0.06604726939246;3.74;6.752853025005854;20.90869;3.096275;2.0;enero
CARNE CABALLO;0.02891288381312;0.32544643535413;4.143;11.256104284082658;103.0271;9.152998;4.0;enero
CARNE CONGELADA;0.04997046421327;0.23295067879867;9.58;4.661767355301111;73.74557;15.81923;2.0;enero
C.CONG.POLLO;0.0362844609596;0.1414066816441;9.054;3.8971691436043465;44.765339999999995;11.48663;3.0;enero
C.CONG.CERDO;0.00415254553505;0.03661490752757;1.982;8.817460812519302;11.591239999999999;1.314578;3.0;enero
C.CONG.VACA;0.00953347351281;0.05492908962698;1.833;5.761707897245453;17.388990000000003;3.018027;3.0;enero
RESTO CARNES CONG.;0.0;0.0;0.0;;0.0;0.0;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.67215062067268;7.26167468024908;84.063;10.80364200658133;2298.84;212.78379999999999;2.0;enero
JAMON CURADO+PALETA;0.128405262849;2.53817048113334;42.941;19.766872671863293;803.5127;40.64946;3.0;enero
JAMON C.+P.ENTERO;0.054980420826;0.4562617058942;7.687;8.298621564540333;144.4395;17.405240000000003;4.0;enero
JAMON C.+P.LONCHA;0.07342481043456;2.08190909112343;39.448;28.35429984499366;659.0733;23.24421;4.0;enero
JAMON CURADO NORMAL;0.10599289258515;1.32591077318709;32.122;12.509430970777553;419.7457;33.554339999999996;3.0;enero
JAMON C.N.ENTER/PI;0.054980420826;0.4562617058942;7.687;8.298621564540333;144.4395;17.405240000000003;4.0;enero
JAMON C.N.LONCHA;0.05101247175915;0.86964906729289;28.57;17.047773560136477;275.3062;16.1491;4.0;enero
JAMON IBERICO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
JAMON IBE.LONCHA;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA CURADA NORM.;0.00125513784305;0.02719466590152;1.013;21.666676733586513;8.609058999999998;0.397341;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00125513784305;0.02719466590152;1.013;21.666676733586513;8.609058999999998;0.397341;4.0;enero
PALETA IBERICA;0.02115721978541;1.18506491253215;10.237;56.01231752335664;375.15790000000004;6.697775;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.02115721978541;1.18506491253215;10.237;56.01231752335664;375.15790000000004;6.697775;4.0;enero
HUESOS JAMON CURADO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
LOMO EMBUCHADO N+IB;0.00786520322699;0.11784562970571;10.965;14.983163982489257;37.306580000000004;2.4899;3.0;enero
LOMO EMB.AL CORTE;0.0046980840417;0.0609824120881;4.711;12.980272712602872;19.3053;1.48728;4.0;enero
LOMO EMB.ENVASADO;0.00316711918528;0.05686318602918;6.54;17.954229917615848;18.00127;1.00262;4.0;enero
LOMO EMB.NORMAL;0.00786520322699;0.11784562970571;10.965;14.983163982489257;37.306580000000004;2.4899;4.0;enero
LOMO E.N.AL CORTE;0.0046980840417;0.0609824120881;4.711;12.980272712602872;19.3053;1.48728;5.0;enero
LOMO E.N.ENVASADO;0.00316711918528;0.05686318602918;6.54;17.954229917615848;18.00127;1.00262;5.0;enero
LOMO EMB.IBERICO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.0;0.0;0.0;;0.0;0.0;5.0;enero
OTRAS SALAZONES;0.02906182957904;0.2333342886946;9.951;8.028891920240431;73.86701;9.200149999999999;3.0;enero
O.SALAZONES AL COR;0.01780767425707;0.13372434383934;4.104;7.509366013150735;42.333330000000004;5.637404;4.0;enero
O.SALAZONES ENVASA;0.01125415532197;0.09960991326683;6.138;8.850945310162441;31.533669999999997;3.562746;4.0;enero
TOCINO Y MANTECA;0.00963100279095;0.05378590433928;7.05;5.584662937673956;17.02709;3.048902;3.0;enero
TOCINO;0.00286767666153;0.01621261015816;1.467;5.6535697959408475;5.132452;0.907825;4.0;enero
CHORIZOS;0.0707101955114;0.70558065631721;27.641;9.978485439252635;223.36679999999998;22.38484;3.0;enero
CHOR.IBERICO;0.00259151165196;0.03288917854323;3.534;12.6911173709378;10.41178;0.820399;4.0;enero
CHOR.NORMAL;0.06811868070059;0.67269141459711;23.73;9.875285423595514;212.955;21.564439999999998;4.0;enero
CHORIZO DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZO DE CERDO;0.0707101955114;0.70558065631721;27.641;9.978485439252635;223.36679999999998;22.38484;4.0;enero
SALCHICHON/SALAMI;0.03372339739548;0.37352497371947;23.617;11.076137120440768;118.2474;10.675870000000002;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.03372339739548;0.37352497371947;23.617;11.076137120440768;118.2474;10.675870000000002;4.0;enero
FUET/LONGANIZAS;0.02917990081331;0.32487342123092;17.312;11.13346557650488;102.8457;9.237528000000001;3.0;enero
FUET/LONGANIZ.PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
FUET/LONGANIZ.CERD;0.0287614994204;0.31567095340128;17.507;10.97546928229249;99.93246;9.105074;4.0;enero
OTROS PROD.CURADOS;0.01683635845906;0.2026391477454;12.351;12.035806212971957;64.1498;5.3299129999999995;3.0;enero
O.PROD.CURAD.CORTE;0.00813279513661;0.10814529662823;10.062;13.297432778220564;34.235730000000004;2.574612;4.0;enero
O.PROD.CURAD.ENVAS;0.00870356332244;0.09449381952874;5.458;10.856911821975169;29.914060000000003;2.755301;4.0;enero
