Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.75945244984345;137.70595961707468;98.748;2.712912629487976;144236.567694;53166.683706;0.0;enero
T.HUEVOS KGS;0.74973205854944;2.40351972986015;76.187;3.2058382757573574;2517.504959;785.287573;1.0;enero
T.HUEVOS UNDS.;11.73919808484769;2.40351972986015;76.187;0.20474309339429994;2517.504959;12295.921279999999;1.0;enero
TOTAL HUEVOS GALLINA;11.71000143537075;2.40047802172462;75.728;0.2049938281368474;2514.319;12265.34;2.0;enero
OTRAS AVES;0.02919664947693;0.00304170813552;0.635;0.10418004086159899;3.185959;30.58128;2.0;enero
MIEL;0.00782104065916;0.05715738146947;1.982;7.30815552051844;59.86803;8.191948;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.00782104065916;0.05715738146947;1.982;7.30815552051844;59.86803;8.191948;2.0;enero
TOTAL CARNE;2.98879643560493;24.62824293718231;94.174;8.240187469374273;25796.22;3130.538;1.0;enero
CARNE CERTIFICADA;0.49930272040341;5.01083565098902;54.912;10.035666633140961;5248.471;522.9818;2.0;enero
CARNE FRESCA;2.19552478454283;15.50158810972559;86.88;7.060538882941113;16236.74;2299.646;2.0;enero
SALCHICHAS FRESCAS;0.01590423296142;0.13198433589536;9.806;8.298692317666438;138.24360000000001;16.65848;3.0;enero
CARNE VACUNO;0.28775215677826;3.6540578804717;55.587;12.698628991640971;3827.349;301.3986;3.0;enero
TERNERA;0.27063607489769;3.46009636847041;52.463;12.785052287572476;3624.189;283.4708;4.0;enero
AÑOJO;0.00982104391442;0.11489059453153;5.361;11.698409612318699;120.33919999999999;10.2868;4.0;enero
MAYOR;0.00729499691305;0.07907029689985;2.566;10.838976060197695;82.82015;7.640957;4.0;enero
CARNE POLLO;0.88294868111787;4.52149145460305;71.088;5.120899494270194;4735.92;924.8219;3.0;enero
POLLO ENTERO;0.10898477391187;0.42799675552967;10.439;3.9271243144087817;448.2942;114.1533;4.0;enero
POLLO FILETES;0.24490190000406;1.50055140713525;38.042;6.127152982930512;1571.714;256.5162;4.0;enero
POLLO POR PIEZAS;0.52906200720193;2.59294252815977;55.128;4.901018203656611;2715.911;554.1524000000001;4.0;enero
CARNE CONEJO;0.03526252939707;0.20148444233263;4.057;5.713839755049637;211.0397;36.934830000000005;3.0;enero
CARNE OVINO/CAPRINO;0.0674646944177;0.90597421156526;6.809;13.42886408046172;948.9394;70.66416000000001;3.0;enero
CORDERO;0.0674646944177;0.90597421156526;6.809;13.42886408046172;948.9394;70.66416000000001;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
