Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.3262775626953;170.61586623264478;99.598;3.6050979502163902;223808.37905000002;62081.08133;0.0;enero
T.HUEVOS KGS;0.82773265907154;2.49585239022602;82.177;3.0152880436366805;3273.9785;1085.79295;1.0;enero
T.HUEVOS UNDS.;14.37340566082872;2.49585239022602;82.177;0.17364377302923234;3273.9785;18854.569;1.0;enero
TOTAL HUEVOS GALLINA;12.66664078635662;2.34189791867493;81.196;0.18488705554809942;3072.026;16615.69;2.0;enero
OTRAS AVES;1.7067648744721;0.15395447155108;15.44;0.09020250759420227;201.9525;2238.879;2.0;enero
MIEL;0.04660614141033;0.33990637727757;12.676;7.293167101840916;445.8782;61.13643;1.0;enero
GRANEL;0.0159149293853;0.13878585572022;3.745;8.720482030436818;182.0548;20.87669;2.0;enero
ENVASADA;0.03069121202502;0.20112052155735;8.88;6.55303288098731;263.82340000000005;40.25974;2.0;enero
TOTAL CARNE;4.09232067621983;36.29167780185415;98.028;8.868238995233762;47606.25;5368.174;1.0;enero
CARNE CERTIFICADA;0.68869435773537;8.12818470914914;49.289;11.802310586479848;10662.29;903.407;2.0;enero
CARNE FRESCA;3.06165417907465;25.13971071116782;89.501;8.211152939149375;32977.46;4016.179;2.0;enero
SALCHICHAS FRESCAS;0.06082434504638;0.45743099869436;13.836;7.520524854735853;600.0432;79.78741000000001;3.0;enero
CARNE VACUNO;0.36336243620088;4.85830997080412;46.221;13.370424366370845;6372.974;476.64709999999997;3.0;enero
TERNERA;0.27197415014134;3.55162203673029;42.975;13.058675006005322;4658.903;356.7669;4.0;enero
AÑOJO;0.06750763975813;0.86754310019539;10.225;12.851035872437198;1138.015;88.55434;4.0;enero
MAYOR;0.02388063105479;0.43914491011143;5.947;18.389166898637036;576.0561;31.32584;4.0;enero
CARNE POLLO;0.99975401118241;5.56339137658525;70.531;5.56476024537819;7297.877;1311.445;3.0;enero
POLLO ENTERO;0.25547450593832;1.3289738925112;13.721;5.201982435116399;1743.305;335.1232;4.0;enero
POLLO FILETES;0.12634897360573;0.99530581499023;29.986;7.877434905771371;1305.61;165.7405;4.0;enero
POLLO POR PIEZAS;0.61793060787135;3.23911243141393;59.587;5.241870834934035;4248.963;810.5814;4.0;enero
CARNE CONEJO;0.07326787467943;0.52401496879795;9.802;7.152042707539651;687.3859;96.11043;3.0;enero
CARNE OVINO/CAPRINO;0.34241276621341;5.00010565826486;30.939;14.602567870230605;6558.977;449.166;3.0;enero
CORDERO;0.29109369423359;4.1829243721301;27.481;14.369683902439537;5487.025;381.84729999999996;4.0;enero
CABRITO;0.03200487451727;0.47813413112423;2.233;14.939415896354141;627.2009;41.98296;4.0;enero
OTRO OVINO/CAPRINO;0.01931413647614;0.33904715501053;3.791;17.554352245017494;444.75109999999995;25.33566;4.0;enero
OVINO/CAPRINO ENTE;0.06363007052324;0.8005594404151;3.095;12.581463981290046;1050.148;83.46786999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.27878267282027;4.19954698017987;29.314;15.063873725348861;5508.83;365.69809999999995;4.0;enero
CARNE CERDO;0.92682417654368;6.72099041103542;74.061;7.251634755687305;8816.378;1215.778;3.0;enero
CARNE CERDO ADOBAD;0.06149255788105;0.494154117222;20.671;8.035998733015182;648.2154;80.66395;4.0;enero
CARN.CERDO IBERICO;0.02320970432493;0.23300093806086;5.342;10.038944693083499;305.6431;30.44574;4.0;enero
CARNE DESPOJOS;0.05295311894743;0.3001670996695;11.235;5.668544282868132;393.7495;69.46219;3.0;enero
DESPOJOS CERDO;0.02555400663277;0.14386396528234;5.293;5.62980073339276;188.7161;33.52092;4.0;enero
DESPOJOS CORDERO;0.00746898032939;0.05829084002852;3.192;7.804390620651025;76.46404;9.797566999999999;4.0;enero
DESPOJOS POLLO;0.01095778636505;0.04596083659547;3.988;4.194354139085172;60.28994;14.37407;4.0;enero
DESPOJOS TERNERA;0.00850949460689;0.04798258178714;1.635;5.638711110792584;62.942;11.16248;4.0;enero
DESPOJOS OT.PROCED;0.00046285025098;0.0040688378595;0.264;8.79082997338393;5.33737;0.607152;4.0;enero
OTRAS CARNES FRESCA;0.30307988678701;2.17273305560295;52.175;7.168846071035469;2850.121;397.5704;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.17963104561896;1.2766437421064;36.985;7.1070328500701505;1674.66;235.63420000000002;4.0;enero
OTRAS AVES;0.03585875053235;0.22488844972867;11.993;6.271508248057171;295.00140000000005;47.03835;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.0509725548283;0.30671963189747;7.309;6.017348609082745;402.3449;66.86415;2.0;enero
C.CONG.POLLO;0.03629836343691;0.13944405153724;5.291;3.841607123130475;182.9182;47.615019999999994;3.0;enero
C.CONG.CERDO;0.01007671571705;0.08100275803819;1.747;8.0386070533979;106.2568;13.218309999999999;3.0;enero
C.CONG.VACA;0.00102587449007;0.01231100616671;0.578;12.000499365018738;16.14918;1.345709;3.0;enero
RESTO CARNES CONG.;0.00357160042192;0.0739617627922;0.765;20.708297137100303;97.02064999999999;4.68511;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.97969405666639;10.84524357090529;93.072;11.070030992949357;14226.44;1285.131;2.0;enero
JAMON CURADO+PALETA;0.28232491590966;4.20723050535913;54.756;14.902087163661314;5518.909;370.3447;3.0;enero
JAMON C.+P.ENTERO;0.18145621636845;2.30202500459856;13.904;12.686393724446328;3019.722;238.0284;4.0;enero
JAMON C.+P.LONCHA;0.10086862330819;1.90520473843045;49.372;18.887981970461666;2499.186;132.3162;4.0;enero
JAMON CURADO NORMAL;0.23695964208937;3.10404354484432;50.309;13.099460808915312;4071.784;310.836;3.0;enero
JAMON C.N.ENTER/PI;0.15678172523025;1.80183811181762;13.188;11.49265393764113;2363.593;205.6612;4.0;enero
JAMON C.N.LONCHA;0.08017791685911;1.30220543302669;44.168;16.241447571091175;1708.191;105.1748;4.0;enero
JAMON IBERICO;0.03200119246284;0.80766664403115;7.048;25.238642121504697;1059.471;41.97813;3.0;enero
JAMON IBE.ENTER/PI;0.02108671407134;0.42842997924954;0.745;20.31753158884735;562.0006;27.66087;4.0;enero
JAMON IBE.LONCHA;0.0109144860148;0.37923643608257;6.789;34.7461562155355;497.4701;14.31727;4.0;enero
PALETA CURADA NORM.;0.00851428203998;0.16382992449578;6.34;19.241777959236295;214.90679999999998;11.16876;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00851428203998;0.16382992449578;6.34;19.241777959236295;214.90679999999998;11.16876;4.0;enero
PALETA IBERICA;0.00484980160444;0.13169031575485;1.799;27.153753183251382;172.74710000000002;6.361813;3.0;enero
PALETA IB.ENTER/PI;0.00358783957792;0.07175678393527;0.239;19.999997875239142;94.12823;4.706412;4.0;enero
PALETA IBE.LONCHA;0.00126196202651;0.05993350132637;1.558;47.492317571392064;78.61883;1.6554010000000001;4.0;enero
HUESOS JAMON CURADO;0.00184000950508;0.00384840782119;0.538;2.091515185413054;5.048216999999999;2.413665;3.0;enero
LOMO EMBUCHADO N+IB;0.01846391732769;0.42906080741561;12.254;23.237799422552172;562.8281;24.22037;3.0;enero
LOMO EMB.AL CORTE;0.0045259058366;0.14579936896575;5.114;32.214406182851526;191.2549;5.9369369999999995;4.0;enero
LOMO EMB.ENVASADO;0.0139380092041;0.28326151468287;7.993;20.3229536252224;371.57329999999996;18.28343;4.0;enero
LOMO EMB.NORMAL;0.01209147034162;0.22322756111789;9.701;18.461572894862936;292.8227;15.8612;4.0;enero
LOMO E.N.AL CORTE;0.00287987046569;0.0769499824741;3.797;26.719945702713353;100.9405;3.777721;5.0;enero
LOMO E.N.ENVASADO;0.00921159301495;0.14627757864379;6.623;15.87972660171292;191.8822;12.08347;5.0;enero
LOMO EMB.IBERICO;0.00637244851073;0.20583324629771;3.086;32.300495790731425;270.0054;8.359172000000001;4.0;enero
LOMO E.I.AL CORTE;0.00164603537091;0.06884934075183;1.165;41.827376232854895;90.31434;2.159216;5.0;enero
LOMO E.I.ENVASADO;0.00472641390215;0.13698393603908;1.839;28.9826364924789;179.6911;6.199957;5.0;enero
OTRAS SALAZONES;0.02451023186939;0.16198874481397;11.674;6.609025393034838;212.4916;32.15173;3.0;enero
O.SALAZONES AL COR;0.00650588601087;0.05001578480037;2.943;7.687774534751953;65.60909;8.534210999999999;4.0;enero
O.SALAZONES ENVASA;0.01800434662085;0.1119729523903;8.755;6.219217767149133;146.8825;23.61752;4.0;enero
TOCINO Y MANTECA;0.03931431668822;0.31381540056187;23.628;7.982216835930873;411.65290000000005;51.57125;3.0;enero
TOCINO;0.00562414679936;0.0453334999013;3.992;8.060511490633642;59.46702;7.377573999999999;4.0;enero
CHORIZOS;0.07587537145776;0.74387569898478;35.762;9.803915087240279;975.7921;99.53086;3.0;enero
CHOR.IBERICO;0.00571327996049;0.08377260826007;5.277;14.662787197431287;109.8902;7.494496;4.0;enero
