Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.86562628368362;173.6790803662511;99.275;3.414468533182356;434320.79398400005;127200.116142;0.0;enero
T.HUEVOS KGS;0.78731998637385;2.42740304230588;77.185;3.0831213284521484;6070.228;1968.85797;1.0;enero
T.HUEVOS UNDS.;12.81871515270447;2.42740304230588;77.185;0.1893639895566095;6070.228;32055.873;1.0;enero
TOTAL HUEVOS GALLINA;12.20616360827423;2.3725609897777;76.176;0.19437401184508218;5933.084;30524.06;2.0;enero
OTRAS AVES;0.61255154443024;0.05484205252817;7.495;0.0895305105779883;137.144;1531.813;2.0;enero
MIEL;0.02606879361587;0.19363426556863;5.503;7.427818426193036;484.22290000000004;65.19046;1.0;enero
GRANEL;0.00926268207186;0.09031195697199;2.488;9.750087099101291;225.8439;23.16327;2.0;enero
ENVASADA;0.01680611554287;0.10332230859663;3.45;6.147899455590665;258.379;42.0272;2.0;enero
TOTAL CARNE;4.45672453891481;39.71515693410076;97.659;8.911288231372538;99316.04;11144.97;1.0;enero
CARNE CERTIFICADA;1.0183477030696;11.02751774900099;55.69;10.828833526860027;27576.61;2546.591;2.0;enero
CARNE FRESCA;3.17461521106314;26.1411251102285;90.897;8.23442318903087;65371.34;7938.788;2.0;enero
SALCHICHAS FRESCAS;0.04045005259453;0.33267104927443;13.097;8.224242687867386;831.9134;101.1538;3.0;enero
CARNE VACUNO;0.48869985581922;5.98589102718801;57.356;12.248604037653342;14968.97;1222.096;3.0;enero
TERNERA;0.39101886793389;4.73481770077146;48.918;12.108923862906659;11840.4;977.8243;4.0;enero
AÑOJO;0.08364688648909;1.04125121002981;17.818;12.448176539907685;2603.866;209.1765;4.0;enero
MAYOR;0.0140342373577;0.20982179647743;2.864;14.95070883650743;524.7031999999999;35.09554;4.0;enero
CARNE POLLO;0.90891232749957;4.90938821082786;69.83;5.4013880792371065;12276.95;2272.925;3.0;enero
POLLO ENTERO;0.21392507321718;0.92862034036779;17.02;4.340867231701255;2322.209;534.9643000000001;4.0;enero
