Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.13974678397496;171.428694504159;98.341;3.488595398299119;54267.217606;15555.606601;0.0;enero
T.HUEVOS KGS;0.80714982229384;2.49354086220056;72.371;3.0893160022189488;789.35166;255.510171;1.0;enero
T.HUEVOS UNDS.;13.28333164580418;2.49354086220056;72.371;0.18771953668628;789.35166;4204.9520999999995;1.0;enero
TOTAL HUEVOS GALLINA;12.48734270066305;2.42293035252402;71.401;0.1940309007772627;766.9993000000001;3952.975;2.0;enero
OTRAS AVES;0.79598894514112;0.07061050967653;2.422;0.08870790242446636;22.35236;251.9771;2.0;enero
MIEL;0.03301452530939;0.27312726874144;11.206;8.272942475526335;86.46077000000001;10.451030000000001;1.0;enero
GRANEL;0.01567749196438;0.16461666033282;3.956;10.500191019504138;52.11081;4.9628440000000005;2.0;enero
ENVASADA;0.01733703966295;0.10851060840862;7.222;6.25888909053407;34.349959999999996;5.488188;2.0;enero
TOTAL CARNE;4.45390919055824;43.08596416197031;98.287;9.673741048270012;13639.23;1409.923;1.0;enero
CARNE CERTIFICADA;0.58175053113236;7.08013432569495;48.433;12.17039598041031;2241.277;184.15810000000002;2.0;enero
CARNE FRESCA;3.06791910767438;26.46966954190094;95.322;8.62789031030421;8379.2;971.176;2.0;enero
SALCHICHAS FRESCAS;0.02983049497706;0.28339446917286;8.23;9.500159799252323;89.71094000000001;9.443097999999999;3.0;enero
CARNE VACUNO;0.30724648703332;3.87619614327176;52.389;12.615916883864632;1227.043;97.2615;3.0;enero
TERNERA;0.19112859693822;2.28232160538676;40.444;11.941287917916668;722.4884000000001;60.503389999999996;4.0;enero
AÑOJO;0.06090292137506;0.72605622478778;16.449;11.921533620964201;229.83929999999998;19.27934;4.0;enero
MAYOR;0.05521496872003;0.86781768130254;6.559;15.717072768850436;274.71509999999995;17.47877;4.0;enero
CARNE POLLO;1.06080820872633;5.84283080071616;85.049;5.507904965904613;1849.598;335.8079;3.0;enero
POLLO ENTERO;0.19189155218308;0.70891689894921;22.321;3.6943622107597163;224.4137;60.744910000000004;4.0;enero
POLLO FILETES;0.13169033355951;1.0721318646171;30.629;8.141310266577431;339.3925;41.6877;4.0;enero
POLLO POR PIEZAS;0.73722635457346;4.06177950997116;76.126;5.509541926673474;1285.791;233.37529999999998;4.0;enero
CARNE CONEJO;0.08771622403859;0.66524030153893;19.698;7.584005226287593;210.5875;27.767319999999998;3.0;enero
CARNE OVINO/CAPRINO;0.40904440342005;6.50850546109151;36.132;15.911488842466202;2060.323;129.4865;3.0;enero
CORDERO;0.35687237896435;5.54144894771766;33.984;15.527816873356878;1754.193;112.971;4.0;enero
CABRITO;0.0521721192249;0.96705588157917;5.938;18.535875021873352;306.1298;16.51553;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.15290296600183;2.35546826523216;11.275;15.404987403605663;745.6436;48.40274;4.0;enero
OVINO/CAPRINO PIEZ;0.25614146900796;4.15303593227;32.924;16.213836628464612;1314.679;81.08377;4.0;enero
CARNE CERDO;0.87666501797979;6.95912353335897;85.367;7.938178655053153;2202.97;277.5158;3.0;enero
CARNE CERDO ADOBAD;0.04473681204791;0.33119908660541;10.527;7.4032786746336265;104.84389999999999;14.16182;4.0;enero
CARN.CERDO IBERICO;0.04519088287805;0.47818990761316;9.501;10.581557100875465;151.3751;14.30556;4.0;enero
CARNE DESPOJOS;0.06267940163136;0.47150330871119;13.051;7.52246027306128;149.2584;19.8417;3.0;enero
DESPOJOS CERDO;0.0428268335776;0.31030146698613;6.846;7.245491694450182;98.22858000000001;13.5572;4.0;enero
DESPOJOS CORDERO;0.00624261151477;0.05936750237553;3.563;9.510042749747996;18.793290000000002;1.9761520000000001;4.0;enero
DESPOJOS POLLO;0.00210441328035;0.01405817063253;1.129;6.680327844243963;4.450234;0.6661699999999999;4.0;enero
DESPOJOS TERNERA;0.00357238819873;0.02782374135799;2.213;7.7885548294675795;8.807843;1.1308699999999998;4.0;enero
DESPOJOS OT.PROCED;0.00793314874195;0.05995248106154;2.821;7.5572112677626695;18.97847;2.5113060000000003;4.0;enero
OTRAS CARNES FRESCA;0.26375942802437;2.14627157269907;47.434;8.137231676513528;679.4205999999999;83.4953;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.09542392948805;0.75785950494341;23.353;7.9420278436375895;239.9069;30.207259999999998;4.0;enero
OTRAS AVES;0.0383172411637;0.32997435263542;7.405;8.611641720907034;104.4562;12.12965;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.09391210801949;0.66997907746979;12.001;7.134107535215152;212.0876;29.72868;2.0;enero
C.CONG.POLLO;0.03863642383156;0.13337750963905;5.879;3.4521184005154244;42.22179;12.230690000000001;3.0;enero
C.CONG.CERDO;0.01971521589225;0.12703015288575;3.932;6.443254468019651;40.212480000000006;6.241020000000001;3.0;enero
C.CONG.VACA;0.01944265967112;0.23957243262929;3.591;12.321998979648209;75.8387;6.154739999999999;3.0;enero
RESTO CARNES CONG.;0.01611781494249;0.16999885595676;1.872;10.54726441290792;53.814589999999995;5.102232;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;1.29207633219822;15.94629848414345;93.303;12.341607137880064;5047.937;409.01779999999997;2.0;enero
JAMON CURADO+PALETA;0.45620376895497;6.51333553135234;58.862;14.277250594120286;2061.852;144.4152;3.0;enero
JAMON C.+P.ENTERO;0.33319745315021;2.79082944388371;18.593;8.375902689224615;883.4609;105.4765;4.0;enero
JAMON C.+P.LONCHA;0.12300631580475;3.72250577157129;46.679;30.262720635254905;1178.391;38.9387;4.0;enero
JAMON CURADO NORMAL;0.18705443741167;2.39280733029628;41.685;12.792037245447334;757.4635999999999;59.213680000000004;3.0;enero
JAMON C.N.ENTER/PI;0.12531391425134;1.26826999309249;9.377;10.120743579589096;401.4817;39.66919;4.0;enero
JAMON C.N.LONCHA;0.06174055475005;1.12453765310112;34.725;18.213922075264144;355.982;19.5445;4.0;enero
JAMON IBERICO;0.22813151564756;2.61719457800483;22.253;11.47230609754105;828.4953;72.21697999999999;3.0;enero
JAMON IBE.ENTER/PI;0.2078836652578;1.52255945079121;9.222;7.324093737249714;481.9792;65.80735;4.0;enero
JAMON IBE.LONCHA;0.02024782827694;1.09463512721361;13.031;54.06185355987396;346.5161;6.409623;4.0;enero
PALETA CURADA NORM.;0.00807151809288;0.17531439724289;3.71;21.72012689874557;55.49727;2.555108;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00807151809288;0.17531439724289;3.71;21.72012689874557;55.49727;2.555108;4.0;enero
PALETA IBERICA;0.03294641784384;1.32801944693646;6.554;40.30846246261795;420.39590000000004;10.429469999999998;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.03294641784384;1.32801944693646;6.554;40.30846246261795;420.39590000000004;10.429469999999998;4.0;enero
HUESOS JAMON CURADO;0.0017112948411;0.00247113217926;1.589;1.444013106280862;0.782258;0.541725;3.0;enero
LOMO EMBUCHADO N+IB;0.05976436419821;0.81072839892138;13.294;13.565414939119146;256.643;18.91892;3.0;enero
LOMO EMB.AL CORTE;0.00115980127267;0.02382039969613;2.387;20.53834588514075;7.540551000000001;0.367145;4.0;enero
LOMO EMB.ENVASADO;0.05860454713067;0.78690784443555;11.233;13.427419593925539;249.1024;18.55177;4.0;enero
LOMO EMB.NORMAL;0.02420743395269;0.378735633559;8.892;15.645426702352975;119.892;7.663069999999999;4.0;enero
LOMO E.N.AL CORTE;0.00115980127267;0.02382039969613;2.387;20.53834588514075;7.540551000000001;0.367145;5.0;enero
LOMO E.N.ENVASADO;0.02304763268002;0.3549153949705;7.025;15.399212574142414;112.3515;7.295925;5.0;enero
LOMO EMB.IBERICO;0.03555693024551;0.43199276536238;5.357;12.149326794511298;136.751;11.25585;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.03555693024551;0.43199276536238;5.357;12.149326794511298;136.751;11.25585;5.0;enero
OTRAS SALAZONES;0.04047766304165;0.32709463252438;16.176;8.08086751914965;103.5446;12.81355;3.0;enero
O.SALAZONES AL COR;0.01067631907071;0.07193629920417;2.959;6.737930810017517;22.77205;3.37968;4.0;enero
O.SALAZONES ENVASA;0.02980133765298;0.25515830173047;13.45;8.561974791252114;80.77253999999999;9.433868;4.0;enero
TOCINO Y MANTECA;0.01623647545864;0.1126605832957;13.192;6.93873393783215;35.663669999999996;5.139795;3.0;enero
TOCINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZOS;0.14361662679734;1.44930159508369;51.322;10.091461047395171;458.7888;45.46307;3.0;enero
CHOR.IBERICO;0.00630321641859;0.10433236070999;13.004;16.55224155117657;33.027300000000004;1.995337;4.0;enero
CHOR.NORMAL;0.13731340090182;1.34496923437369;39.615;9.794886919560787;425.7615;43.46773;4.0;enero
CHORIZO DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZO DE CERDO;0.14361662679734;1.44930159508369;51.322;10.091461047395171;458.7888;45.46307;4.0;enero
SALCHICHON/SALAMI;0.02419091252204;0.29973880777674;19.644;12.39055399433783;94.88488000000001;7.65784;3.0;enero
