Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.31396575294715;172.46140302831796;99.01;3.4972122074366156;239556.3948;68499.24471;0.0;enero
T.HUEVOS KGS;0.72157972992758;2.42733387744177;81.514;3.363916386184194;3371.6724;1002.30565;1.0;enero
T.HUEVOS UNDS.;11.98476989914744;2.42733387744177;81.514;0.20253487533494036;3371.6724;16647.367;1.0;enero
TOTAL HUEVOS GALLINA;11.14318575807614;2.34025856409163;81.988;0.21001701083512023;3250.721;15478.37;2.0;enero
OTRAS AVES;0.84158414107129;0.08707531335013;9.464;0.10346596270135851;120.95139999999999;1168.997;2.0;enero
MIEL;0.02166251057456;0.14683542787553;8.771;6.778319962964649;203.96079999999998;30.090169999999997;1.0;enero
GRANEL;0.00339195275227;0.03131034361979;0.706;9.230772332789282;43.49143;4.71157;2.0;enero
ENVASADA;0.01827055782229;0.11552510585333;8.095;6.323020182358365;160.4694;25.3786;2.0;enero
TOTAL CARNE;4.0126892417202;36.04651631149203;96.571;8.983131795184613;50070.18;5573.8;1.0;enero
CARNE CERTIFICADA;0.71510905434915;7.45903913761099;50.409;10.430631652957725;10360.93;993.3176;2.0;enero
CARNE FRESCA;2.60215460553538;20.09415079006419;87.944;7.7221202565440485;27911.65;3614.506;2.0;enero
SALCHICHAS FRESCAS;0.03712186058655;0.31367267682078;12.312;8.449810215988402;435.705;51.56388;3.0;enero
CARNE VACUNO;0.22748106508251;3.17785938865095;41.69;13.96977540745317;4414.185;315.98109999999997;3.0;enero
TERNERA;0.17372263435139;2.50524979456589;35.248;14.42097515916361;3479.901;241.30829999999997;4.0;enero
AÑOJO;0.03151054612997;0.37423766173483;9.937;11.876584435927102;519.8324;43.76952;4.0;enero
MAYOR;0.02224787740194;0.29837193235023;3.21;13.411253889960513;414.4516;30.90327;4.0;enero
CARNE POLLO;0.93176562059214;4.93310964544769;73.978;5.2943675280835505;6852.304;1294.263;3.0;enero
POLLO ENTERO;0.29751731550017;1.24197260327076;27.39;4.174454858813181;1725.154;413.2645;4.0;enero
POLLO FILETES;0.09754395580942;0.78830647281382;28.885;8.081551196816363;1094.992;135.4928;4.0;enero
POLLO POR PIEZAS;0.53670420529858;2.90282984944325;62.819;5.408621398500749;4032.157;745.5055;4.0;enero
CARNE CONEJO;0.04535117076498;0.37138605922192;11.83;8.18911734708051;515.8714;62.99475;3.0;enero
CARNE OVINO/CAPRINO;0.25760092764615;3.52828109396807;22.033;13.696694053891505;4900.936;357.81890000000004;3.0;enero
CORDERO;0.24069634574105;3.25805629981747;18.784;13.535960796523995;4525.582;334.3377;4.0;enero
CABRITO;0.01690463229949;0.27022472215862;3.275;15.985246964921402;375.3539;23.481270000000002;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
